Position,Track Name,Artist,Streams,URL,Year,Month,Track ID
1,Hobby Hobby,MERO,7774110,https://open.spotify.com/track/260R90ctQ1SiPax90PuEsT,2019,01,0dmrz4V5kiezQAqQ3VqGob
2,DODI,Shindy,3942856,https://open.spotify.com/track/63THFs9ovzO3WQsz4lzh0H,2019,01,45h4w81P5iJJTSeR0jJUQ8
3,Benzema,Capital Bra,3592118,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E,2019,01,0gyO8zq1Hw5GTQ33EXcc40
4,Wenn die Sonne untergeht,Azet,3366951,https://open.spotify.com/track/23N0z3XkwS2ErcNKsgCWAb,2019,01,23N0z3XkwS2ErcNKsgCWAb
5,Warnung,Kontra K,3063451,https://open.spotify.com/track/3OgD9c7c6GhEWUK660Ezbr,2019,01,64SCQtbRtmO28ks1QhS3w5
6,7 rings,Ariana Grande,2921478,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF,2019,01,6ocbgoVGwYJhOv1GgI9NsF
7,JAJA,Fero47,2921165,https://open.spotify.com/track/5z3vuYzS9UF6rD6TmBEdUf,2019,01,1FmOWhvlAerXKE8xCZUOgy
8,Sweet but Psycho,Ava Max,2793523,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,01,7DnAm9FOTWE3cUvso43HhI
9,Baller los,MERO,2582320,https://open.spotify.com/track/1IPRghUN3LFPNbCTsfBJx9,2019,01,1uNzKXVNwq7jwV0rhjXqLB
10,#niemalsantäuschen,Farid Bang,2337977,https://open.spotify.com/track/4mI0sGmXHviRF9QbY4bfq7,2019,01,4mI0sGmXHviRF9QbY4bfq7
11,HaifischNikez Allstars,LX,2292040,https://open.spotify.com/track/0kLA41xkWzzYzMIEGFuDkP,2019,01,0kLA41xkWzzYzMIEGFuDkP
12,Tausend Tattoos,Sido,1936998,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu,2019,01,1rGZd7EVl4aOClpzDLNPwy
13,High Hopes,Panic! At The Disco,1936201,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019,01,1rqqCSm0Qe4I9rUvWncaom
14,Without Me,Halsey,1868884,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,01,7lQ8MOhq6IN2w8EYcFNSUk
15,Lelele,Azet,1790073,https://open.spotify.com/track/31Zs71Yb7YoPlFx2p1uKRX,2019,01,4sd72yN6saIBXtNzQhgRf7
16,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,1765548,https://open.spotify.com/track/4Nip6oiJU24LqcUEi7u19S,2019,01,5WxzuqQCeCsFlUEStzTp3K
17,Wow.,Post Malone,1650375,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,01,7xQAfvXzm3AkraOtGPWIZg
18,Shem Shem & Sex,Nimo,1630472,https://open.spotify.com/track/6ujq8IjOGkbJrp09qarW1E,2019,01,6sOEMx5vECgoCAyIU9eb7b
19,500 PS,Bonez MC,1542901,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG,2019,01,4UOXo3xWnxYdTf3sFyRaUG
20,Speechless (feat. Erika Sirola),Robin Schulz,1528587,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5,2019,01,1rCcsYnmqbMYdkG7kS9GC5
21,Be Alright,Dean Lewis,1417160,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019,01,3EPXxR3ImUwfayaurPi3cm
22,Zoey,Nimo,1373606,https://open.spotify.com/track/0dGSOCj6hdV5Nr0V8FjONc,2019,01,0B6ndWg43dAgJUYQwUyXft
23,Cataleya,Samra,1325238,https://open.spotify.com/track/3MrTi2XjvQCZm8V1P1ryuR,2019,01,6kxKGDfvFIdxOd7up9MKTv
25,Fading,Alle Farben,1254160,https://open.spotify.com/track/2RP8Svo0pMwZXnVcmOffDw,2019,01,4pfEpQwqTU5F5YHyoAQ8DS
26,In My Mind,Dynoro,1253730,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019,01,0E9ZjEAyAwOXZ7wJC0PD33
28,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,1204044,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,01,4w8niZpiMy6qz1mntFA5uM
29,Feuer,Capital Bra,1161690,https://open.spotify.com/track/3yuMTMJQ2gkvLhMVZLrcRV,2019,01,73JZKk0nb1WOUmh1Eo3Unc
30,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1149985,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,01,3KkXRkHbMCARz0aVfEt68P
31,Meer,Luciano,1139640,https://open.spotify.com/track/1LcvTvRfWrQjrF6aymfugd,2019,01,003BM9TvvtvlvP6QizUj5W
32,Deine Mutter,Kool Savas,1137428,https://open.spotify.com/track/4CJKZGVo4QZH9r6fNXPWDV,2019,01,1PP5LML5URD6coZl8aNLRW
33,Farben,Kontra K,1133881,https://open.spotify.com/track/6hFmSZIw5gmn9mK4hfqozy,2019,01,2MYpDZd8sfPcvqaW5BBbmq
34,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,1125072,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2019,01,2LskIZrCeLxRvCiGP8gxlh
35,"Crack, Koks, Piece Unternehmen",Nash,1099801,https://open.spotify.com/track/7Kl0tRgiMu5USwbZM5274a,2019,01,7Kl0tRgiMu5USwbZM5274a
36,Happier,Marshmello,1096906,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,01,2dpaYNEQHiRxtZbfNsse99
37,Let You Love Me,Rita Ora,1092452,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP,2019,01,5Fla3zyOCcIRqrDoKLU0DP
38,Dior 2001,RIN,1077838,https://open.spotify.com/track/2eNSyVH3sNPiAj9WpRYK73,2019,01,6WusSsncC0Oo9sFHKwQii6
39,"thank u, next",Ariana Grande,1074507,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,01,3e9HZxeyfWwjeyPAMmWSSQ
41,MILLIONDOLLAR$MILE,Loredana,991749,https://open.spotify.com/track/4nBcGqwztDJ29cyHVJtXsB,2019,01,4nBcGqwztDJ29cyHVJtXsB
43,Yapma,C ARMA,967952,https://open.spotify.com/track/40U9Hj3oyCRHRY1tq2zkbS,2019,01,1194zYf7UfSXP4omxVTmPa
44,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,963332,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019,01,27rdGxbavYJeBphck5MZAF
45,Say My Name,David Guetta,952835,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,2019,01,7H6ev70Weq6DdpZyyTmUXk
46,Facetime,Dardan,944709,https://open.spotify.com/track/0oZyouBDStcJEUbTmSfys2,2019,01,55GLc4nywcX4aIlOcx1u06
47,Kokain,Bonez MC,921000,https://open.spotify.com/track/4Bj3usjRTckEJARO0dLbDf,2019,01,4Bj3usjRTckEJARO0dLbDf
48,Melodien (feat. Juju),Capital Bra,918456,https://open.spotify.com/track/5d35jcJj7WjDQBOHCHPY6t,2019,01,5d35jcJj7WjDQBOHCHPY6t
49,UFF,Veysel,913106,https://open.spotify.com/track/3Rq0ElVcisouAl71RtnTUS,2019,01,0og9wKFGgFFNQnrBe7eisG
50,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,881961,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019,01,5JEx7HbmvHQQswJCsoo9rA
51,Lost in the Fire,Gesaffelstein,866596,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG,2019,01,2vXKRlJBXyOcvZYTdNeckS
52,100 K (feat. Kurdo),GENT,853702,https://open.spotify.com/track/1ozcq14sW7YmG8ZQVFnqd7,2019,01,1ozcq14sW7YmG8ZQVFnqd7
53,Eastside (with Halsey & Khalid),benny blanco,846003,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,01,0d2iYfpKoM0QCKvcLCkBao
54,ZEZE (feat. Travis Scott & Offset),Kodak Black,830290,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019,01,0FZ4Dmg8jJJAPJnvBIzD9z
55,Dancing With A Stranger (with Normani),Sam Smith,819761,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019,01,6Qs4SXO9dwPj5GKvVOv8Ki
56,Giant (with Rag'n'Bone Man),Calvin Harris,813221,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,2019,01,5itOtNx0WxtJmi1TQ3RuRd
57,Casanova,Summer Cem,786338,https://open.spotify.com/track/0jB0RNZIfaihaDKNmdrI40,2019,01,1O7hDH3rrF8eyLxrpeoOfb
58,Body (feat. brando),Loud Luxury,784819,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019,01,0BrDfbNc3HiIHPGfTT8DRc
59,Love Someone,Lukas Graham,747579,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019,01,2JqnpexlO9dmvjUMCaLCLJ
60,thank you,Lena,747393,https://open.spotify.com/track/3uCZ4IqMY54A0jxRkyPGPl,2019,01,751gBcu62kORDelX7FV0mM
61,Patron,JAZN,742817,https://open.spotify.com/track/10kMLLcMUyL7jACnt5m8RB,2019,01,7pzwwHCibZEkqwXRzbGizT
62,MIA (feat. Drake),Bad Bunny,741091,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019,01,116H0KvKr2Zl4RPuVBruDO
63,Allein,Capital Bra,740137,https://open.spotify.com/track/4tW7mc0pab35DznfVlr3px,2019,01,4bcC04aZpc8WZnlBVcRlBv
64,WTF (feat. Amber Van Day),HUGEL,737755,https://open.spotify.com/track/0gn93i7HJt0calph67R5Wu,2019,01,0gn93i7HJt0calph67R5Wu
65,Look Back at It,A Boogie Wit da Hoodie,720835,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,2019,01,3Ol2xnObFdKV9pmRD2t9x8
66,Promises (with Sam Smith),Calvin Harris,715546,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019,01,5N5k9nd479b1xpDZ4usjrg
67,Hayate,Luciano,699076,https://open.spotify.com/track/2vzQotgEoJMvqOQp9XxqFR,2019,01,2vzQotgEoJMvqOQp9XxqFR
68,Neymar,Capital Bra,692690,https://open.spotify.com/track/7ecGSqT8Ulbzhs5QwgWGVN,2019,01,0qoIfXZK0v0ztciAXPUsNz
69,Shallow,Lady Gaga,683218,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,01,2VxeLyX666F8uXCJ0dZF8B
70,Saturday Nights,Khalid,680192,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019,01,5kfNriitmkNE8mUbZ7gbq8
71,BONNIE & CLYDE,Loredana,677296,https://open.spotify.com/track/5UtiebKGhsSce9gX1qCqic,2019,01,3zls854dRathxLF4aoMJm2
72,Mercedes,Eno,675525,https://open.spotify.com/track/3FHppoOv1gMexzC9XyMCFz,2019,01,6aUN1ohc0Irtvw5wkunZVd
73,Ruin My Life,Zara Larsson,668929,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,2019,01,5tAa8Uaqr4VvA3693mbIhU
74,Better Now,Post Malone,667844,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019,01,7dt6x5M1jzdTEt8oCbisTK
75,Happy Now,Kygo,666259,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4,2019,01,4keoy2fqgwGnbWlm3ZVZFa
76,SICKO MODE,Travis Scott,661530,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,01,2xLMifQCjDGFmkHkpNLD9h
77,Abfahrt,FiNCH,660806,https://open.spotify.com/track/4Gq7MQyUxW3C7iGWooMffP,2019,01,7sIQ5eF9ZmZY6lGGwZKaP9
78,when the party's over,Billie Eilish,642977,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019,01,43zdsphuZLzwA9k4DJhU0I
79,Bad Liar,Imagine Dragons,637320,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2019,01,2RSHsoi04658QL5xgQVov3
80,Rückkehr,Kianush,635839,https://open.spotify.com/track/7wmZnYFNeYyBmK4ncNvhgP,2019,01,7fPwFEvbbx8ts8DHSxS6Vr
81,Valentino Camouflage,Luciano,628345,https://open.spotify.com/track/0RMrNZG8THmtHXU90tfsQY,2019,01,5phG3pqcfpBIKE63vpheYb
82,Kiss and Make Up,Dua Lipa,617273,https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,2019,01,7jr3iPu4O4bTCVwLMbdU2i
83,Going Bad (feat. Drake),Meek Mill,616239,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019,01,2IRZnDFmlqMuOrYOLnZZyc
84,SAD!,XXXTENTACION,608502,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019,01,3ee8Jmje8o58CHK66QrVC2
85,Moonlight,XXXTENTACION,597367,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019,01,0JP9xo3adEtGSdUEISiszL
88,Taste (feat. Offset),Tyga,588865,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,2019,01,5IaHrVsrferBYDm0bDyABy
89,Einmal,Mark Forster,586346,https://open.spotify.com/track/4MshU1BZjRZjXtoSpaOJlL,2019,01,2L6hCTpUlR2p7Su3hiSB0s
90,Nummer unterdrückt,Bonez MC,585969,https://open.spotify.com/track/2SRVj6ceeIffVEm9NFyRHI,2019,01,2SRVj6ceeIffVEm9NFyRHI
91,rockstar (feat. 21 Savage),Post Malone,583673,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019,01,0e7ipj03S05BNilyu5bRzt
92,One Night Stand,Capital Bra,582486,https://open.spotify.com/track/3AXtDUSO78KrGa9Rq8rWUS,2019,01,47qZzTLLJcuD69AIKnquo4
93,Copacabana,Leon Machère,573898,https://open.spotify.com/track/214Mx6MSJhtaO1uPtZGqLH,2019,01,5FMXrphygZ4z3gVDHGWxgl
94,Girls Like You (feat. Cardi B),Maroon 5,569342,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019,01,6V1bu6o1Yo5ZXnsCJU8Ovk
95,Solo (feat. Demi Lovato),Clean Bandit,563547,https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h,2019,01,6kPJZM97LwdG9QIsT7khp6
96,Calma - Remix,Pedro Capó,554198,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019,01,5iwz1NiezX7WWjnCgY5TH4
