,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Pachtaoge (From ""Jaani Ve"")","Arijit Singh",959764,https://open.spotify.com/track/5QVHNa0ppJUOoqSd36ovQS
2,Señorita,"Shawn Mendes",923496,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
3,"Pal Pal Dil Ke Paas- Title Track","Arijit Singh",777736,https://open.spotify.com/track/7lGhrfren1Zpwh0ds0zuUg
4,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",747864,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
5,"Ghungroo (From ""War"")","Arijit Singh",681487,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
6,"Bekhayali (From ""Kabir Singh"")","Sachet Tandon",543202,https://open.spotify.com/track/1feANd8EfcDP5UqSvbheM3
7,"Psycho Saiyaan (From ""Saaho"")","Sachet Tandon",515881,https://open.spotify.com/track/3ZjMdVOWxQ53FKrmkgCv95
8,"Ve Maahi","Arijit Singh",504759,https://open.spotify.com/track/7ltu5scschhmNWp5rp8rVF
9,"O Saki Saki (From ""Batla House"")","Neha Kakkar",500653,https://open.spotify.com/track/5djZm1zFGcJUSUqbBjrAZH
10,"Tera Ban Jaunga (From ""Kabir Singh"")","Akhil Sachdeva",495770,https://open.spotify.com/track/4OcvkkpF3xmyCGGY5IBlgi
11,"Mere Sohneya (From ""Kabir Singh"")","Sachet Tandon",471842,https://open.spotify.com/track/2IoZMG3RqiTmsy7Li3zGFg
12,"Duniyaa (From ""Luka Chuppi"")",Akhil,443409,https://open.spotify.com/track/2tjWCe2W7sgvS3C8NHcdtI
13,"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra",428902,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC
14,Circles,"Post Malone",405667,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
15,Memories,"Maroon 5",378670,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
16,"Bad Boy (From ""Saaho"")",Badshah,350981,https://open.spotify.com/track/5I3Xih0C2ID3fqngBrBbGv
17,"Goodbyes (Feat. Young Thug)","Post Malone",323951,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
18,Liar,"Camila Cabello",309555,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
19,"Ik Mulaqaat","Meet Bros.",304603,https://open.spotify.com/track/17uI7afUaul1hCzMTF9txd
20,Sakhiyaan,"Maninder Buttar",303502,https://open.spotify.com/track/3sqRODOZ1Z6hR4F2tnFAlg
21,changes,XXXTENTACION,302353,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
22,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",299061,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
23,"Kalank (Title Track)","Arijit Singh",297063,https://open.spotify.com/track/6vo7Y1iWyZvpjvFbf6BiZ5
24,"Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]","Arijit Singh",295354,https://open.spotify.com/track/6aPMWbbdhDhiJHlknZb9Yx
25,Kohinoor,DIVINE,292021,https://open.spotify.com/track/6SNFuJXjkgauo3Kg9XJcj6
26,Vaaste,"Dhvani Bhanushali",291749,https://open.spotify.com/track/0mJTAdmY8olbGQjopDYff3
27,"Chale Aana (From ""De De Pyaar De"")","Amaal Mallik",289035,https://open.spotify.com/track/6vuMdb0E8buJeSHArN3dXk
28,"The Wakhra Song","Navv Inder",287330,https://open.spotify.com/track/6N6mJlsjYRV0yoMSPS5JiQ
29,Prada,"The Doorbeen",276716,https://open.spotify.com/track/6NLzzwFbAD1imLXGBMj9jo
30,Paagal,Badshah,266418,https://open.spotify.com/track/4gyPGtExOjj1rsByKW33LR
31,"I Like Me Better",Lauv,256666,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
32,"Jai Jai Shivshankar (From ""War"")","Vishal Dadlani",249377,https://open.spotify.com/track/6lfSsCL894Qw15xbt7cSUy
33,"Hauli Hauli (From ""De De Pyaar De"")","Garry Sandhu",249134,https://open.spotify.com/track/1z0A545pZMaqYRkruladlk
34,"Proper Patola",Badshah,249075,https://open.spotify.com/track/39ujbBjTwwqUFySaCYDMMT
35,Yaari,Nikk,247415,https://open.spotify.com/track/04UzZSWfw8hkK832P27QLq
36,"Hoyna Hoyna (From ""Gang Leader"")","Anirudh Ravichander",246736,https://open.spotify.com/track/7hADNKBDHS8MblpUzLebLf
37,"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande",246632,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN
38,"bad guy","Billie Eilish",244659,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
39,"Someone You Loved","Lewis Capaldi",238754,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
40,"Pehla Pyaar","Armaan Malik",238203,https://open.spotify.com/track/0ojpEubhy4JNeVftmVuiN7
41,"The Hook Up Song",Vishal-Shekhar,236122,https://open.spotify.com/track/1bLNqR3bqpyWkwWKECjVrw
42,"Takeaway (feat. Lennon Stella)","The Chainsmokers",234323,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
43,"On My Way","Alan Walker",231857,https://open.spotify.com/track/7KhHA3mzt7A3LFlOJEAKpI
44,Pal,Javed-Mohsin,229785,https://open.spotify.com/track/5G7pZ8G8NFvS1MQ9H4L7dC
45,Graveyard,Halsey,222857,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
46,Saint-Tropez,"Post Malone",222018,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
