Position,Track Name,Artist,Streams,URL,Year,Month,yyyy-mm,Stream %,Track ID,Danceability,Valence,Energy,Tempo,Danceability_Stream%,Valence_Stream%,Energy_Stream%,Tempo_Stream%
1,7 rings,Ariana Grande,71486,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019,2,2019-02,0.0223225702900535,6ocbgoVGwYJhOv1GgI9NsF,0.778,0.327,0.317,140.048,0.017366959685661622,0.007299480484847494,0.007076254781946959,3.1262313239814126
2,Shallow,Lady Gaga,67267,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,2,2019-02,0.0210051245796523,2VxeLyX666F8uXCJ0dZF8B,0.572,0.323,0.385,95.799,0.012014931259561113,0.006784655239227693,0.008086972963166135,2.0122699296061106
3,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,65006,https://open.spotify.com/track/7dbka99KTWke5o9hRp0JoB,2019,2,2019-02,0.0202990935886078,3KkXRkHbMCARz0aVfEt68P,0.76,0.913,0.479,89.911,0.015427311127341928,0.018533072446398922,0.009723265828943135,1.8251118036453158
4,"break up with your girlfriend, i'm bored",Ariana Grande,62512,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,2019,2,2019-02,0.0195203048704896,4kV4N9D1iKVxx1KLvtTpjS,0.726,0.335,0.554,169.999,0.014171741335975449,0.006539302131614016,0.01081424889825124,3.3184323076783615
5,Con Calma,Daddy Yankee,59178,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,2019,2,2019-02,0.0184792136169989,18LvrdhDdxhqxPQa887QyX,0.737,0.656,0.86,93.989,0.01361918043572819,0.01212236413275128,0.015892123710619054,1.7368428086481098
6,Wow.,Post Malone,54174,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,2,2019-02,0.0169166399419936,7xQAfvXzm3AkraOtGPWIZg,0.829,0.388,0.539,99.96,0.014023894511912693,0.006563656297493516,0.00911806892873455,1.6909873286016799
7,Talk,Khalid,53779,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM,2019,2,2019-02,0.0167932952973839,161DnLWsx1i3u1JT05lzqU,0.523,0.065,0.606,145.837,0.00878289344053178,0.0010915641943299533,0.010176736950214642,2.4490838062845754
8,"Duniyaa (From ""Luka Chuppi"")",Akhil,47549,https://open.spotify.com/track/2tjWCe2W7sgvS3C8NHcdtI,2019,2,2019-02,0.0148478848267038,2tjWCe2W7sgvS3C8NHcdtI,0.435,0.524,0.658,77.17,0.0064588298996161525,0.0077802916491927915,0.009769908215971101,1.1458112720767322
9,i'm so tired...,Lauv,46823,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,2019,2,2019-02,0.0146211804925604,4vjpLMyL3ZO6aphdYr8XYw,0.599,0.534,0.733,102.211,0.008758087115043679,0.007807710383027254,0.010717325301046772,1.494445479325091
10,Don't Call Me Up,Mabel,46267,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,2019,2,2019-02,0.0144475611953376,5WHTFyqSii0lmT9R21abT8,0.674,0.234,0.881,98.994,0.009737656245657542,0.0033807293197089987,0.012728301413092426,1.4302218729712504
11,Dancing With A Stranger (with Normani),Sam Smith,44080,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019,2,2019-02,0.0137646378085997,6Qs4SXO9dwPj5GKvVOv8Ki,0.741,0.347,0.52,102.998,0.010199596616172379,0.0047763293195840955,0.007157611660471844,1.4177301650101521
12,Without Me,Halsey,43764,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,2,2019-02,0.0136659620929119,7lQ8MOhq6IN2w8EYcFNSUk,0.908,0.662,0.669,112.238,0.012408693580364007,0.009046866905507678,0.009142528640158062,1.533840253384246
13,bury a friend,Billie Eilish,41816,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP,2019,2,2019-02,0.0130576700227859,4SSnFejRGlZikf02HLewEF,0.905,0.196,0.389,120.046,0.01181719137062124,0.0025593033244660367,0.005079433638863716,1.5675210555553563
14,Apna Time Aayega,Ranveer Singh,41592,https://open.spotify.com/track/5uaIbU3oHHcSOK6WFNK5nj,2019,2,2019-02,0.0129877226800199,5uaIbU3oHHcSOK6WFNK5nj,0.766,0.513,0.618,95.054,0.009948595572895243,0.0066627017348502085,0.008026412616252298,1.2345349916266115
15,BIBA,Marshmello,37911,https://open.spotify.com/track/0GVBPuCT3pBrXCdY3Uiy5B,2019,2,2019-02,0.0118382754982264,1gt8YXWknKt4sRNZ6SirVW,0.587,0.491,0.963,127.842,0.006949067717458897,0.005812593269629162,0.011400259304792023,1.5134288162442595
16,No Sleep (feat. Bonn),Martin Garrix,35855,https://open.spotify.com/track/1ahVFh0ViDZr8LvkEVlq3B,2019,2,2019-02,0.0111962588164097,1ahVFh0ViDZr8LvkEVlq3B,0.44,0.327,0.635,128.133,0.004926353879220268,0.0036611766329659725,0.00710962434842016,1.4346102309230242
17,Happier,Marshmello,35115,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,2,2019-02,0.0109651827733434,2dpaYNEQHiRxtZbfNsse99,0.687,0.671,0.792,100.015,0.007533080565286916,0.007357637640913422,0.008684424756487973,1.0966827550759402
18,Who Do You Love,The Chainsmokers,34325,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8,2019,2,2019-02,0.0107184934841239,2fVHrSxsQbJUuj9MW9zG1e,0.51,0.475,0.846,139.927,0.005466431676903189,0.005091284404958852,0.009067845487568818,1.4998066377530048
19,Aankh Marey,Neha Kakkar,32044,https://open.spotify.com/track/2UE5pVmMGjfD5XUQTpYpD6,2019,2,2019-02,0.0100062171946181,63MvWd6T6yoS7h4AJ4Hjrm,0.796,0.8,0.978,129.999,0.007964948886916009,0.008004973755694481,0.009786080416336503,1.3007982290831583
20,She Move It Like,Badshah,31631,https://open.spotify.com/track/39vrbjCMTRXEdiIr2IsBgd,2019,2,2019-02,0.0098772517813933,39vrbjCMTRXEdiIr2IsBgd,0.832,0.844,0.477,101.997,0.008217873482119225,0.008336400503495945,0.004711449099724604,1.0074500499467725
21,MIDDLE CHILD,J. Cole,28370,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2019,2,2019-02,0.0088589558672861,2JvzF1RMd7lE3KmFlsyZD8,0.837,0.463,0.364,123.984,0.007414946060918466,0.004101696566553465,0.0032246599356921405,1.0983687842496
22,Lamberghini,The Doorbeen,27301,https://open.spotify.com/track/45P9g6kUb7itdonjjGjDdS,2019,2,2019-02,0.0085251446645322,45P9g6kUb7itdonjjGjDdS,0.953,0.861,0.584,104.007,0.008124462865299187,0.007340149556162225,0.004978684484086804,0.8866747211240006
23,"Coca Cola (From ""Luka Chuppi"")",Tony Kakkar,26603,https://open.spotify.com/track/352wEkChkiClswqwDoM0nj,2019,2,2019-02,0.0083071837482345,352wEkChkiClswqwDoM0nj,0.722,0.893,0.867,102.009,0.005997786666225308,0.007418315087173408,0.007202328309719311,0.8474075069736531
24,"thank u, next",Ariana Grande,26570,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,2019,2,2019-02,0.0082968790057734,3e9HZxeyfWwjeyPAMmWSSQ,0.717,0.412,0.653,106.966,0.005948862247139527,0.00341831415037864,0.00541786199077003,0.8874839597315574
25,Sakhiyaan,Maninder Buttar,26505,https://open.spotify.com/track/3sqRODOZ1Z6hR4F2tnFAlg,2019,2,2019-02,0.0082765817857743,3sqRODOZ1Z6hR4F2tnFAlg,0.706,0.359,0.674,83.001,0.005843266740756655,0.0029712928610929733,0.005578416123611879,0.6869645648010527
26,Eastside (with Halsey & Khalid),benny blanco,24639,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,2,2019-02,0.0076938954393395,0d2iYfpKoM0QCKvcLCkBao,0.56,0.319,0.68,89.391,0.0043085814460301205,0.0024543526451493007,0.00523184889875086,0.6877650072179973
27,Azadi,Dub Sharma,24325,https://open.spotify.com/track/07qSl2sNpFNILaYyZ6yIS9,2019,2,2019-02,0.0075958442534979,07qSl2sNpFNILaYyZ6yIS9,0.846,0.456,0.693,97.94,0.006426084238459223,0.0034637049795950424,0.005263920067674044,0.7439369861875843
28,Proper Patola,Badshah,22947,https://open.spotify.com/track/39ujbBjTwwqUFySaCYDMMT,2019,2,2019-02,0.0071655431895176,39ujbBjTwwqUFySaCYDMMT,0.77,0.49,0.824,172.006,0.005517468255928552,0.003511116162863624,0.005904407588162503,1.2325164218561644
29,The Humma Song,A.R. Rahman,22781,https://open.spotify.com/track/7heMX7gyHP0mhTlNgd7Lxd,2019,2,2019-02,0.0071137072122892,7heMX7gyHP0mhTlNgd7Lxd,0.721,0.391,0.65,130.491,0.005128982900060513,0.002781459520005077,0.00462390968798798,0.92827476783883
30,Bohemian Rhapsody - Remastered 2011,Queen,22739,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019,2,2019-02,0.0071005920855206,7tFiyTwD0nx5a1eklYtX2J,0.392,0.228,0.402,143.883,0.0027834320975240754,0.001618934995498697,0.0028544380183792815,1.0216544910409606
31,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,22168,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,2,2019-02,0.0069222888144518,4w8niZpiMy6qz1mntFA5uM,0.842,0.617,0.801,95.881,0.005828567181768415,0.00427105219851676,0.005544753340375892,0.663715973818453
32,Giant (with Rag'n'Bone Man),Calvin Harris,21674,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,2019,2,2019-02,0.0067680299424589,5itOtNx0WxtJmi1TQ3RuRd,0.807,0.606,0.887,122.015,0.005461800163564332,0.004101426145130094,0.006003242558961045,0.8258011734291227
