,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Khairiyat,Pritam,920028,https://open.spotify.com/track/5O932cZmzOZGOGZz9RHx20
2,Shayad,Pritam,864988,https://open.spotify.com/track/1smFN2CLqGROu0J0UyvDfL
3,"Play Date","Melanie Martinez",814897,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA
4,"death bed (coffee for your head)",Powfu,614850,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
5,Makhna,"Tanishk Bagchi",610095,https://open.spotify.com/track/0ZHILXmUaVSLEOCWxPQ1ga
6,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",604828,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
7,"Genda Phool (feat. Payal Dev)",Badshah,556059,https://open.spotify.com/track/0gzu5mm36VJH2Zqu8sQPTf
8,"Blinding Lights","The Weeknd",544862,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
9,Falling,"Trevor Daniel",533048,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
10,"Roses - Imanbek Remix","SAINt JHN",528060,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
11,"Ghungroo (From ""War"")","Arijit Singh",527946,https://open.spotify.com/track/0WdbnNKO0Jt4BZACSDQh44
12,"Malang (Title Track) [From ""Malang - Unleash The Madness""]","Ved Sharma",514062,https://open.spotify.com/track/25MPTnqXQB1H6OkwSYUXWx
13,"Stay Gold",BTS,490435,https://open.spotify.com/track/0UwQTbq7ZtBJ7v530mpaxP
14,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,481369,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
15,"Savage Love (Laxed - Siren Beat)","Jawsh 685",453554,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
