Position,Track Name,Artist,Streams,URL,Year,Month,yyyy-mm,Stream %,Track ID
1,7 rings,Ariana Grande,71486,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019,02,2019-02,0.02232257029005352,6ocbgoVGwYJhOv1GgI9NsF
2,Shallow,Lady Gaga,67267,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,02,2019-02,0.02100512457965238,2VxeLyX666F8uXCJ0dZF8B
3,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,65006,https://open.spotify.com/track/7dbka99KTWke5o9hRp0JoB,2019,02,2019-02,0.020299093588607826,3KkXRkHbMCARz0aVfEt68P
4,"break up with your girlfriend, i'm bored",Ariana Grande,62512,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,2019,02,2019-02,0.019520304870489686,4kV4N9D1iKVxx1KLvtTpjS
5,Con Calma,Daddy Yankee,59178,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,2019,02,2019-02,0.018479213616998953,5w9c2J52mkdntKOmRLeM2m
6,Wow.,Post Malone,54174,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,02,2019-02,0.016916639941993668,7xQAfvXzm3AkraOtGPWIZg
7,Talk,Khalid,53779,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM,2019,02,2019-02,0.016793295297383937,161DnLWsx1i3u1JT05lzqU
8,"Duniyaa (From ""Luka Chuppi"")",Akhil,47549,https://open.spotify.com/track/2tjWCe2W7sgvS3C8NHcdtI,2019,02,2019-02,0.014847884826703897,2tjWCe2W7sgvS3C8NHcdtI
9,i'm so tired...,Lauv,46823,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,2019,02,2019-02,0.014621180492560445,4vjpLMyL3ZO6aphdYr8XYw
10,Don't Call Me Up,Mabel,46267,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,2019,02,2019-02,0.014447561195337634,5WHTFyqSii0lmT9R21abT8
11,Dancing With A Stranger (with Normani),Sam Smith,44080,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019,02,2019-02,0.013764637808599713,6Qs4SXO9dwPj5GKvVOv8Ki
12,Without Me,Halsey,43764,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,02,2019-02,0.01366596209291193,7lQ8MOhq6IN2w8EYcFNSUk
13,bury a friend,Billie Eilish,41816,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP,2019,02,2019-02,0.013057670022785971,4SSnFejRGlZikf02HLewEF
14,Apna Time Aayega,Ranveer Singh,41592,https://open.spotify.com/track/5uaIbU3oHHcSOK6WFNK5nj,2019,02,2019-02,0.012987722680019947,5uaIbU3oHHcSOK6WFNK5nj
15,BIBA,Marshmello,37911,https://open.spotify.com/track/0GVBPuCT3pBrXCdY3Uiy5B,2019,02,2019-02,0.011838275498226492,1gt8YXWknKt4sRNZ6SirVW
16,No Sleep (feat. Bonn),Martin Garrix,35855,https://open.spotify.com/track/1ahVFh0ViDZr8LvkEVlq3B,2019,02,2019-02,0.011196258816409772,1ahVFh0ViDZr8LvkEVlq3B
