,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Per Un Milione",Boomdabash,1974466,https://open.spotify.com/track/5L1HQLXeih82ecmY0tOH7w
2,"Con Calma","Daddy Yankee",1942891,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
3,"È sempre bello",Coez,1793000,https://open.spotify.com/track/6IdiuMw1FSAvU3e6bgWQVX
4,"Calma - Remix","Pedro Capó",1741822,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
5,Mademoiselle,"Sfera Ebbasta",1691781,https://open.spotify.com/track/2aPnpV1hT7l3eP10uSGK6c
6,Soldi,Mahmood,1526404,https://open.spotify.com/track/4szQkW1CDHqbRZGltXJdd3
7,"IL CIELO NELLA STANZA (feat. NSTASIA)",Salmo,1423666,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad
8,"Sweet but Psycho","Ava Max",1270521,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
9,"Baila Baila Baila",Ozuna,1268141,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
10,"I Tuoi Particolari",Ultimo,1244137,https://open.spotify.com/track/0psAGFzUF64N2Ae4gMExzu
11,"bad guy","Billie Eilish",1192228,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
12,"Adan y Eva","Paulo Londra",1148803,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
13,"La Luna e la Gatta (feat. Tommaso Paradiso, Jovanotti, Calcutta)","Takagi & Ketra",1124319,https://open.spotify.com/track/0swoHiwTazywpoqiKDUtGQ
14,"Rondini Al Guinzaglio",Ultimo,1017374,https://open.spotify.com/track/1jhHPnmgZepKU8qX4VhRZ0
15,"Mon Cheri (feat. Sfera Ebbasta)",Rkomi,1003149,https://open.spotify.com/track/66UkKyxN5YbJl9z7YamQOR
16,"I Love You",Ghali,1001740,https://open.spotify.com/track/7GOFNyZcCTwm1SsC5jOFpA
17,"Blu (feat. Elisa)",Rkomi,972256,https://open.spotify.com/track/0Q4v8N758nx98YxObfqkNC
18,"Bad Liar","Imagine Dragons",944675,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3
19,HP,Maluma,931240,https://open.spotify.com/track/31UjYv5vLsDkzchJOtUMtW
20,"Stamm Fort (feat. Sfera Ebbasta)",Luche,867807,https://open.spotify.com/track/7iTTQvztpfrDneVSX9IGBD
21,"Don't Call Me Up",Mabel,865355,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
22,"Senza farlo apposta",Shade,857100,https://open.spotify.com/track/55t2S1tpx1Bj3C5bIEn2BF
23,"Te Robaré","Nicky Jam",851327,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
24,"La ragazza con il cuore di latta",Irama,818506,https://open.spotify.com/track/0NmyHZZMfVBiUSOfDmz9Bf
25,"Hola (I Say) (feat. Tom Walker)","Marco Mengoni",742035,https://open.spotify.com/track/42LrSpEHmXHfjEH8NeiQQi
26,Shallow,"Lady Gaga",728154,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
27,"Old Town Road","Lil Nas X",725554,https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O
28,90MIN,Salmo,725508,https://open.spotify.com/track/3Ls9yKzshQye18Tx2AvOb6
29,"2% (feat. Frah Quintale)","Guè Pequeno",722089,https://open.spotify.com/track/5ODlTG5qxhCsC05E36Rv25
30,"High Hopes","Panic! At The Disco",711662,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
31,"Posso (feat. Max Gazzé)","Carl Brave",695294,https://open.spotify.com/track/5N0nmOmc0MqPZTYKw4fVV6
32,Wow.,"Post Malone",691185,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
33,"bury a friend","Billie Eilish",682371,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
34,"Giant (with Rag'n'Bone Man)","Calvin Harris",668615,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd
35,Happier,Marshmello,658362,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
36,SOS,Avicii,657346,https://open.spotify.com/track/6nDKrPlXdpomGBgAlO7UdP
37,"Senza Di Me (feat. Venerus & Franco126)",Gemitaiz,636723,https://open.spotify.com/track/3xGD5KhnizETt7KQwxtUAc
38,Secreto,"Anuel AA",635058,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
39,"C'est la vie","Achille Lauro",617972,https://open.spotify.com/track/6qrzETcLAmhkNW5PbkwcJI
40,"7 rings","Ariana Grande",613609,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
41,"Happy Birthday","Sfera Ebbasta",606851,https://open.spotify.com/track/7Cw97917dvg5xm6XMAA4Y2
42,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",605009,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
43,"Anche Fragile",Elisa,595117,https://open.spotify.com/track/7fXTNTj6tiyaIvcezY8k5f
44,Domenica,Coez,582396,https://open.spotify.com/track/2tVNMtgZ2CQpTx7vgcuTkL
45,"CABRIOLET (feat. Sfera Ebbasta)",Salmo,571620,https://open.spotify.com/track/7wC76LWyNxaP3hjGzbWOcN
46,"Fuoco e benzina","Emis Killa",567224,https://open.spotify.com/track/4Fs1sEg9Mwn6vykFD89xvc
47,"Torna a casa",Måneskin,561710,https://open.spotify.com/track/3590AAEoqH50z4UmhMIY85
48,"Cascare nei tuoi occhi",Ultimo,561306,https://open.spotify.com/track/60oJSn5MTG2VNvCJKwd65M
49,"Let Me Down Slowly","Alec Benjamin",541492,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
50,"Cambiare Adesso","Dark Polo Gang",540142,https://open.spotify.com/track/2xjxaKiYssIdDU6DCPpZPt
51,MALA,6ix9ine,530143,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE
52,"Billets (feat. Ninho)","Capo Plaza",517495,https://open.spotify.com/track/2aD5ESGyEhXnXdoOsZvsR0
53,Sucker,"Jonas Brothers",514474,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
54,"Someone You Loved","Lewis Capaldi",513639,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
55,"Say My Name","David Guetta",512041,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
56,"Tesla (feat. Sfera Ebbasta & DrefGold)","Capo Plaza",504628,https://open.spotify.com/track/093RgZ7RXHZwIrxZhZYX4Q
57,"Contra La Pared","Sean Paul",503049,https://open.spotify.com/track/3JjaofJ0lCeEsFSZqppzOp
58,"Freddo (feat. Luchè)","Side Baby",499435,https://open.spotify.com/track/4eYpDGmBncqPAYBs7gW0NR
59,"oh 9od","tha Supreme",498949,https://open.spotify.com/track/0UuqwLM3UFmwcXSJgfFHvr
60,Pianeti,Ultimo,488716,https://open.spotify.com/track/2w5wtWq30yTkNSG9YjMFvW
61,Merci,"Carl Brave",482954,https://open.spotify.com/track/429kanJEBTPrcTKYBT8yPq
62,"Uno squillo","Capo Plaza",482065,https://open.spotify.com/track/7zivIUyCw9MmYftdcayXnN
63,"Piccola Stella",Ultimo,477601,https://open.spotify.com/track/6sLBJkMyZIkGevtpYgeotT
64,"Gli occhi della tigre",Nayt,475780,https://open.spotify.com/track/5pL8J6weoydzXglhsoJ6Vw
65,"Davide (feat. Coez)",Gemitaiz,474996,https://open.spotify.com/track/1Lq5ApqhIWUXzlryFX2K6J
66,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",467290,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
67,"La mia malattia","Emis Killa",462476,https://open.spotify.com/track/2y1Ul8iwJ6w9ft9R5Ik6Ez
68,"STAI ZITTO (feat. Fabri Fibra)",Salmo,437950,https://open.spotify.com/track/2rgOAX5Cj3pk8JFnaPwJbd
69,LUNEDI',Salmo,433896,https://open.spotify.com/track/1VNARx6Sm6ZYAsDMCGiU1B
70,"Rolls Royce (feat. Boss Doms & Frenetik&Orang3)","Achille Lauro",426679,https://open.spotify.com/track/0xXt39nrPLKPdLma3Ce1Vk
71,"Boogie Nights (feat. Ghali)",Rkomi,423794,https://open.spotify.com/track/4MmTsaYqv9QR3yzbMeiNS5
72,Netflix,Lazza,422282,https://open.spotify.com/track/1XiF40UZiMZstIl37DdRaC
73,"Certi Giorni (feat. Nitro)",Ernia,422148,https://open.spotify.com/track/4nvsA575k8HrEjdQ78Ymvi
74,"D'estate non vale (feat. Ana Mena)","Fred De Palma",413699,https://open.spotify.com/track/3dCEtkAfWhk15bLAWZAKLy
75,"Speechless (feat. Erika Sirola)","Robin Schulz",396438,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5
76,"Pa Mí - Remix",Dalex,392547,https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH
77,Vertigini,Tedua,390800,https://open.spotify.com/track/1Oou7m2VuxCDSOdqsu07TU
78,"NI BIEN NI MAL","Bad Bunny",389674,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8
79,"Visti Dall'Alto (feat. Dardust)",Rkomi,389041,https://open.spotify.com/track/50Im1CDeBfRbJUPacCEIOS
80,"Catrame (feat. Tedua)",Lazza,379701,https://open.spotify.com/track/5qbVso0dAtoI2gFhj7V8oG
81,Barking,Ramz,374367,https://open.spotify.com/track/2U5cq89GCnsR1yixKkC8d5
82,"Ti dedico il silenzio",Ultimo,372428,https://open.spotify.com/track/6GLmGfALwjzCaOiHwgfU7g
83,"Colpa Delle Favole",Ultimo,370256,https://open.spotify.com/track/1C5zFIXqqJt6POOhcHfSmn
84,"Non Abbiamo Età",Luche,369860,https://open.spotify.com/track/0NwuXciw6eQc4edjwSBnV3
85,"MIA (feat. Drake)","Bad Bunny",369694,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
86,"Como Te (feat. Emis Killa)",Geolier,367265,https://open.spotify.com/track/7dX7Vn3NP5sa5nTQg4oKMN
87,Malibu,"Vegas Jones",364574,https://open.spotify.com/track/08AN0HMXNr3DGGDCOWsTAw
88,"Ne è valsa la pena (feat. Ghali)","Capo Plaza",363002,https://open.spotify.com/track/6GTCOWvhjvdk4pwlfrSjNO
89,"Frecciarossa (feat. Guè Pequeno)","Side Baby",360071,https://open.spotify.com/track/5VQCQfqpL77kZ97BNPC6UK
90,"Dove Gli Occhi Non Arrivano",Rkomi,359624,https://open.spotify.com/track/5sMechyaVyijGsbp01E9x2
91,"7 miliardi","Massimo Pericolo",356628,https://open.spotify.com/track/67vjEOTkBppbVLUUq5mEJz
92,"Porto Cervo",Lazza,351420,https://open.spotify.com/track/7imppCsqBzOEkpqm1jXCZP
93,"Poesia senza veli",Ultimo,350393,https://open.spotify.com/track/3f2b204xj4jZdoHjo9wj0W
94,"Amati Sempre",Ultimo,349745,https://open.spotify.com/track/0W3fsnIsf0m1n7JXOvYbsc
95,"Hola! (feat. Nayt)",Clementino,348669,https://open.spotify.com/track/7K177jGya9eEjfOAqEDbD9
96,"In My Mind",Dynoro,345583,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
97,"La musica non c'è",Coez,345229,https://open.spotify.com/track/7MMJa7cjMadOSR6CFWvB1x
98,Toradol,Gemitaiz,344143,https://open.spotify.com/track/3Rmv3h4ovgt9xVgWOfMlLx
99,"Boy With Luv (feat. Halsey)",BTS,343937,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
100,Nera,Irama,342558,https://open.spotify.com/track/6Lc0La3OwOmAouQjbID4uX
101,"Here With Me",Marshmello,342372,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac
102,"Bling Bling (Oro)","Guè Pequeno",339643,https://open.spotify.com/track/11AXfsh0V6zCCU7Po6kQiY
103,"Fateme Cantà",Ultimo,337739,https://open.spotify.com/track/3khEqTNuOQH20EejKha7FR
104,"Stanza Singola (feat. Tommaso Paradiso)",Franco126,334648,https://open.spotify.com/track/23hpOtox5sIuRqVBVVJxsO
105,"Pensare Male (con Elodie)","The Kolors",334047,https://open.spotify.com/track/0vUhEAJIaTGqBJfDsOZoNt
106,"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding",333008,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
107,"Bohemian Rhapsody - Remastered 2011",Queen,330023,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
108,PERDONAMI,Salmo,329234,https://open.spotify.com/track/4Yr7z1MFiI2D3QnldF107i
109,"Allenamento #2","Capo Plaza",328969,https://open.spotify.com/track/3RsSxNSorUqe9K4qEGTlGC
110,"Veleno 6",MadMan,325829,https://open.spotify.com/track/7GfXjqXD9aBvDoBdZ7EwPH
111,Ipocondria,Ultimo,324366,https://open.spotify.com/track/6YrDRkcDktxgsPcH8x77xm
112,Amici,"Massimo Pericolo",324112,https://open.spotify.com/track/7aVX95NjONZszSeb8vJZF3
113,"Fumo Da Solo",Izi,322114,https://open.spotify.com/track/4sYbBt781iAS2S76IeMwIG
114,Mammà,Anthony,318107,https://open.spotify.com/track/67r86uxegtwPsl9dLoU1QP
115,Sopra,Gazzelle,314645,https://open.spotify.com/track/3Cbaa4ZmODhKEGSkMsbkOO
116,"Girls Like You (feat. Cardi B)","Maroon 5",314094,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
117,Devuelveme,Ozuna,312198,https://open.spotify.com/track/5uvucCRBTkxv7VxIDLOqe7
118,Rollercoaster,"Emis Killa",312116,https://open.spotify.com/track/4WJj8NsyCm3YAADCOe0hrf
119,"Il ballo delle incertezze",Ultimo,312072,https://open.spotify.com/track/0Wq6iAraiUpSbBSPmv4gLu
120,"Ella Quiere Beber - Remix","Anuel AA",311996,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw
121,"Gang Shit (feat. Capo Plaza)","Dark Polo Gang",311196,https://open.spotify.com/track/6iY75XEmQ6o6F2gSLjgAmD
122,BINGO,MamboLosco,308029,https://open.spotify.com/track/2fXOb3Dr8di7hbcKFbYNPt
123,"Sempre In Due","Carl Brave x Franco126",306063,https://open.spotify.com/track/6ElWuGFrYbsf2mdHWUoGCk
124,"Quando Fuori Piove",Ultimo,305473,https://open.spotify.com/track/2p0qsfmL5oCtpZ72tuMwHN
125,"Verte Ir","DJ Luian",304620,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
126,"Sunset Lover","Petit Biscuit",302009,https://open.spotify.com/track/3WRQUvzRvBDr4AxMWhXc5E
127,"Felicità puttana",Thegiornalisti,298710,https://open.spotify.com/track/695AOnYHYnvHIMaTNKjkA5
128,"Vaina Loca",Ozuna,296783,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
129,"El Party","Jake La Furia",295472,https://open.spotify.com/track/19LRRuiMQ8a9jhqSf8jVip
130,"Scialla semper","Massimo Pericolo",294811,https://open.spotify.com/track/2dRp9MdWDaobzUCefxBZxk
131,"We Can Do Better","Matt Simons",294171,https://open.spotify.com/track/6VTuTbQfToaZPO1y3DP7jM
132,"New York",Thegiornalisti,293649,https://open.spotify.com/track/1nhEQjgj0NrtAoDuFEhMEL
133,"Chi Vuole Essere Milionario? (feat. Fabri Fibra)",Clementino,292599,https://open.spotify.com/track/60mj7WU8YJcwZHcFB9f1Gt
134,"Thoiry Remix (Samba Trap Vol. 3 - Mitraglia Rec) (feat. Gemitaiz, Quentin40 & Puritano)","Achille Lauro",292460,https://open.spotify.com/track/2l9XbXBbKoEfc1JdCvSz4n
135,"when the party's over","Billie Eilish",290941,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
136,"Bella e rovinata",Irama,290668,https://open.spotify.com/track/5uPQRVuGquShCnqzuOTq4B
137,Rip,"Side Baby",289253,https://open.spotify.com/track/5LPjxQ3KUKgk7tsAi1uNqf
138,"Lei Dice","Side Baby",288891,https://open.spotify.com/track/5p3m5OJr0TqK6BwrHdlSzD
139,"Amore e Capoeira","Takagi & Ketra",288010,https://open.spotify.com/track/5Vwqy3CS2aCB6jcgm1qWfk
140,"Dancing With A Stranger (with Normani)","Sam Smith",284720,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
141,"Muhammad Ali","Marco Mengoni",284365,https://open.spotify.com/track/0Es6eMldAFrmVs0QCOlIay
142,"Guarda Come Flexo 2",MamboLosco,284271,https://open.spotify.com/track/6PX2GtCt8YJzOQ4ulJM41k
143,"Giovane fuoriclasse","Capo Plaza",283145,https://open.spotify.com/track/60muwbD6E61lEYQSnEYlLc
144,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco",279019,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
145,"Te Boté - Remix","Nio Garcia",276622,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
146,"Keanu Reeves (feat. Achille Lauro)",Gemitaiz,273844,https://open.spotify.com/track/1MGXWglFoINJdrcp2W0U0w
147,Thotiana,Blueface,273659,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G
148,"Cosa ti aspetti da me","Loredana Bertè",273526,https://open.spotify.com/track/0zTTbiHlCRzrA5O9F6Vnem
149,"Promises (with Sam Smith)","Calvin Harris",271811,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
150,"Fame (feat. Madman)",Nayt,270681,https://open.spotify.com/track/5Jny3m9XarSYHvxCldiYdE
151,"Quella Casa Che Avevamo In Mente",Ultimo,270108,https://open.spotify.com/track/5wNEN0XsH29BPv7P77Ds6b
152,"SPARARE ALLA LUNA (feat. Coez)",Salmo,269801,https://open.spotify.com/track/4spkZ6gRKh827yp6JI6TN1
153,"Questa nostra stupida canzone d'amore",Thegiornalisti,269592,https://open.spotify.com/track/1Kw6V4wiZKTVwLZ5YcYJR3
154,"Without Me",Halsey,268957,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
155,Chic,Izi,267923,https://open.spotify.com/track/7jUJ2RmT4PFHHq4goMWqm3
156,Pablo,Rvssian,267412,https://open.spotify.com/track/0l8vhDaEztxLCQsFOAX64d
157,"Peace & Love","Charlie Charles",267340,https://open.spotify.com/track/4BGmYEDOK1swwoxTtfmVZD
158,"Fotografia (feat. Francesca Michielin & Fabri Fibra)","Carl Brave",266038,https://open.spotify.com/track/3fw3W15QK6a9UxJGgndtYu
