Position,Track Name,Artist,Streams,URL,Year,Month,yyyy-mm,Stream %,Track ID,Danceability,Valence,Energy,Tempo,Danceability_Stream%,Valence_Stream%,Energy_Stream%,Tempo_Stream%
1,TVTB (feat. Dark Polo Gang),Fedez,2907906,https://open.spotify.com/track/3J1ZGGnDdhfAN3z4qRRonq,2019,1,2019-01,0.02713328441968389,3J1ZGGnDdhfAN3z4qRRonq,0.806,0.529,0.682,104.039,0.021869427242265215,0.014353507458012778,0.018504899974224415,2.822919777739492
2,Stamm Fort (feat. Sfera Ebbasta),Luche,2601065,https://open.spotify.com/track/7iTTQvztpfrDneVSX9IGBD,2019,1,2019-01,0.02427019182844462,7iTTQvztpfrDneVSX9IGBD,0.78,0.643,0.521,160.087,0.018930749626186804,0.01560573334568989,0.012644769942619647,3.8853421992402133
3,È sempre bello,Coez,2360029,https://open.spotify.com/track/18LXrvm337xqvFxpaB9Puj,2019,1,2019-01,0.022021116946593925,6IdiuMw1FSAvU3e6bgWQVX,0.692,0.499,0.63,110.919,0.015238612927042995,0.010988537356350369,0.013873303676354172,2.4425602705992513
4,IL CIELO NELLA STANZA (feat. NSTASIA),Salmo,2220963,https://open.spotify.com/track/2fkVZYFv9hOejIsLzZy8ad,2019,1,2019-01,0.020723510582733556,2fkVZYFv9hOejIsLzZy8ad,0.755,0.267,0.501,134.998,0.015646250489963834,0.00553317732558986,0.010382478801949513,2.7976324816478644
5,Calma - Remix,Pedro Capó,2039849,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019,1,2019-01,0.01903355991913348,5iwz1NiezX7WWjnCgY5TH4,0.826,0.761,0.773,126.899,0.015721720493204253,0.014484539098460578,0.01471294181749018,2.4153397201781193
6,Happy Birthday,Sfera Ebbasta,1450461,https://open.spotify.com/track/7Cw97917dvg5xm6XMAA4Y2,2019,1,2019-01,0.01353405882193548,2bnTgPFD75vbq1AhxLJfMu,0.866,0.79,0.387,94.976,0.011720494939796126,0.01069190646932903,0.0052376807640890305,1.285410770672144
7,7 rings,Ariana Grande,1234457,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF,2019,1,2019-01,0.011518554205283705,6ocbgoVGwYJhOv1GgI9NsF,0.778,0.327,0.317,140.048,0.008961435171710722,0.0037665672251277716,0.0036513816830749347,1.6131504793415723
8,Baila Baila Baila,Ozuna,1208958,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG,2019,1,2019-01,0.011280626425149988,7mWFF4gPADjTQjC97CgFVt,0.785,0.49,0.572,100.016,0.00885529174374274,0.005527506948323494,0.006452518315185792,1.1282431325378013
9,90MIN,Salmo,1191579,https://open.spotify.com/track/3Ls9yKzshQye18Tx2AvOb6,2019,1,2019-01,0.011118465285852606,3Ls9yKzshQye18Tx2AvOb6,0.549,0.513,0.765,122.002,0.006104037441933082,0.005703772691642388,0.008505625943677243,1.3564750018045897
10,Hola (I Say) (feat. Tom Walker),Marco Mengoni,1190486,https://open.spotify.com/track/42LrSpEHmXHfjEH8NeiQQi,2019,1,2019-01,0.011108266648114415,42LrSpEHmXHfjEH8NeiQQi,0.533,0.141,0.669,145.721,0.005920706123444984,0.0015662655973841322,0.007431430387588544,1.6187077242298806
11,Cambiare Adesso,Dark Polo Gang,1182306,https://open.spotify.com/track/01MJgnPL3AuwmYQ4EbHzD7,2019,1,2019-01,0.011031940155252192,2xjxaKiYssIdDU6DCPpZPt,0.661,0.619,0.777,79.959,0.007292112442621699,0.006828770956101107,0.008571817500630954,0.88210290287381
12,Torna a casa,Måneskin,1172128,https://open.spotify.com/track/3590AAEoqH50z4UmhMIY85,2019,1,2019-01,0.010936970589928024,3590AAEoqH50z4UmhMIY85,0.425,0.45,0.638,81.396,0.00464821250071941,0.004921636765467611,0.006977787236374079,0.8902256581377814
13,Sweet but Psycho,Ava Max,1161450,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,1,2019-01,0.010837335591054818,7DnAm9FOTWE3cUvso43HhI,0.72,0.62,0.706,133.002,0.007802881625559469,0.006719148066453987,0.007651158927284701,1.441387308281473
14,Ngopp'A Luna,Rocco Hunt,1125141,https://open.spotify.com/track/5290vWQUgvvVu9TtFRSSjw,2019,1,2019-01,0.010498541137590951,2CfWwaXsDgNxBE4lTJZC0A,0.574,0.417,0.531,110.435,0.006026162612977205,0.004377891654375426,0.0055747253440607955,1.1594063905298566
15,Cascare nei tuoi occhi,Ultimo,1117663,https://open.spotify.com/track/60oJSn5MTG2VNvCJKwd65M,2019,1,2019-01,0.010428764913431574,60oJSn5MTG2VNvCJKwd65M,0.732,0.405,0.46,67.983,0.007633855916631912,0.0042236497899397875,0.004797231860178524,0.7089787251098187
