,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Con Calma","Daddy Yankee",3870774,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
2,HP,Maluma,3768663,https://open.spotify.com/track/31UjYv5vLsDkzchJOtUMtW
3,"Pa Mí - Remix",Dalex,2918747,https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH
4,"Te Vi","Piso 21",2906066,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
5,"Calma - Remix","Pedro Capó",2718456,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
6,"Tal Vez","Paulo Londra",2522719,https://open.spotify.com/track/46lvmzK8wxAy66tjzXXSh0
7,Secreto,"Anuel AA",2382019,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0
8,Desconocidos,"Mau y Ricky",2293140,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ
9,"Dancin (feat. Luvli) - Krono Remix","Aaron Smith",2167639,https://open.spotify.com/track/6WkJ2OK163XXS2oARUC9JM
10,"bad guy","Billie Eilish",2131802,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
11,Rebota,Guaynaa,2108007,https://open.spotify.com/track/2YRvdf9cdS88y1wB1WhKoE
12,"Verte Ir","DJ Luian",1961671,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
13,"Un Año","Sebastian Yatra",1820320,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0
14,"Baila Baila Baila",Ozuna,1788338,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
15,"Adan y Eva","Paulo Londra",1663908,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
16,"Te Robaré","Nicky Jam",1645118,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw
17,"Ella Quiere Beber - Remix","Anuel AA",1631804,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw
18,Sola,"Manuel Turizo",1578343,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN
19,Swing,"Danny Ocean",1550807,https://open.spotify.com/track/4DbhxwlkhTbCTqlZptxmI6
20,Aullando,"Wisin & Yandel",1492115,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus
21,"Con Altura",ROSALÍA,1481705,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
22,"7 rings","Ariana Grande",1417839,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
23,"Esclavo de Tus Besos","Manuel Turizo",1407962,https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX
24,Amanece,"Anuel AA",1399661,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH
25,"Ni Gucci Ni Prada","Kenny Man",1392080,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ
26,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1291683,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
27,"MIA (feat. Drake)","Bad Bunny",1229595,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
28,"Dancing With A Stranger (with Normani)","Sam Smith",1200811,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
29,"Que Le De","Rauw Alejandro",1146047,https://open.spotify.com/track/08aYFNUTIOMGq93e2VSArQ
30,"Contra La Pared","Sean Paul",1145936,https://open.spotify.com/track/3JjaofJ0lCeEsFSZqppzOp
31,Créeme,"KAROL G",1110333,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz
32,Reggaeton,"J Balvin",1069659,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi
33,"Pa Olvidarte (feat. Manuel Turizo) - Remix",ChocQuibTown,1069633,https://open.spotify.com/track/2ktoFujjJtantyMoVdBJlX
34,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",1067784,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
35,"Baby Girl (feat. Lalo Ebratt)","Mario Bautista",1066053,https://open.spotify.com/track/6o8ogTrSX8H0F66Pdz3Tsc
36,Soltera,Lunay,1059389,https://open.spotify.com/track/4T4CZ3Q4z3GG7lU720YYhM
37,Sucker,"Jonas Brothers",1031856,https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO
38,"No Te Contaron Mal","Christian Nodal",1029380,https://open.spotify.com/track/1LO951RWD10l9Vys0NrFty
39,"Me Rehúso","Danny Ocean",1003053,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o
40,"Amigos Con Derechos",Reik,994133,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA
41,"Con Calma - Remix","Daddy Yankee",912270,https://open.spotify.com/track/4au7FRcgZzChASRYu279xH
42,"A Través Del Vaso","Grupo Arranke",886356,https://open.spotify.com/track/0oCSitNlzsQfuIapF9tXRQ
43,"Cuando Te Besé","Becky G",883528,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy
44,"Nunca Es Suficiente","Los Ángeles Azules",881994,https://open.spotify.com/track/63USmok1OioBzKuWGW9wAg
45,"Vaina Loca",Ozuna,880955,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA
46,"Bohemian Rhapsody - Remastered 2011",Queen,853526,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
47,Happier,Marshmello,850621,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
48,"En Peligro de Extinción","La Adictiva Banda San José de Mesillas",849170,https://open.spotify.com/track/45sVRPegWSGpIcsrDoaaCY
49,Cristina,"Sebastian Yatra",845056,https://open.spotify.com/track/703iVQrfbQsXt7Uzgy1h8k
50,Bubalu,"Becky G",841222,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb
51,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco",823407,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
52,"Ahora Te Puedes Marchar","Luis Miguel",805301,https://open.spotify.com/track/1uKjQoh8JZj9ryuYRhpd7E
53,"In My Mind",Dynoro,800494,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33
54,"bury a friend","Billie Eilish",799795,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
55,"Que Mas Pues - Remix",Sech,790966,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
56,Adictiva,"Daddy Yankee",785898,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
57,"Lost on You",LP,774912,https://open.spotify.com/track/3SqvR3HYLlCTYzbDXJ52OC
58,"Boy With Luv (feat. Halsey)",BTS,772921,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
59,"El Color de Tus Ojos","Banda MS de Sergio Lizárraga",771140,https://open.spotify.com/track/1l77YWrGUp3qX3NS1rz7lq
60,Ponle,Rvssian,765879,https://open.spotify.com/track/28O1p0bQXH2F6Qn8jBZZR4
61,"Mala Fama","Danna Paola",754777,https://open.spotify.com/track/6m9qNGeOq3Nvq7Qhal4t83
62,"De Los Besos Que Te Di","Christian Nodal",752668,https://open.spotify.com/track/2ttoeuNKXixDHom5rRvowm
63,"Te Boté - Remix","Nio Garcia",743409,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
64,"No Es Justo","J Balvin",739601,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
65,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",739407,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
66,PPP,"Kevin Roldan",738160,https://open.spotify.com/track/1DcxnVNFAyVl2sDQ646pXS
67,"Ya No Tiene Novio","Sebastian Yatra",737273,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu
68,"Déjate Querer","Lalo Ebratt",722271,https://open.spotify.com/track/3mN2DtljBhnrIpc3Nu2pJ8
69,"Adiós Amor","Christian Nodal",716856,https://open.spotify.com/track/63bmZnBN1CiJ9sA4qTEe8y
70,Shallow,"Lady Gaga",697271,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
71,Probablemente,"Christian Nodal",695312,https://open.spotify.com/track/4prmUBle7TtAeeUgCnsc3Z
72,Baby,Amenazzy,690599,https://open.spotify.com/track/2IA8cFA46DkjgbsRG7kKbp
73,"Sin Pijama","Becky G",683997,https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww
74,"Another One Bites The Dust - Remastered 2011",Queen,681494,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
75,"Punto G","KAROL G",672028,https://open.spotify.com/track/5Lb1pjnll07UQKxNpnnGBy
76,"Puntos Suspensivos","Piso 21",669665,https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv
77,BEBE,6ix9ine,668456,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn
78,"R.I.P. (feat. Rita Ora & Anitta)","Sofía Reyes",661861,https://open.spotify.com/track/6JqpFboOH2bq9pzaYbkKBn
79,"Dile la Verdad","The Rudeboyz",654299,https://open.spotify.com/track/6qP73DRFGojLuIk1siIhNE
80,"Aerolínea Carrillo","T3R Elemento",653715,https://open.spotify.com/track/0xYTyyfV767E2Vn3hz56kL
81,"Si Se Da","Myke Towers",653113,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ
82,"Promises (with Sam Smith)","Calvin Harris",641562,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
83,"Girls Like You (feat. Cardi B)","Maroon 5",635913,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
84,"La Escuela No Me Gustó","Adriel Favela",633055,https://open.spotify.com/track/4qArKIA7dnmdushoBlkV94
85,Believer,"Imagine Dragons",629013,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
86,"En Donde Esta Tu Amor","Virlan Garcia",621481,https://open.spotify.com/track/3HGJyp3fbmd5ylCe3dvLiS
87,"Wake Up in the Sky","Gucci Mane",614838,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
88,"La Respuesta","Becky G",613236,https://open.spotify.com/track/2fOjendzUzepHwR9QrVyYF
89,"Mejor Me Alejo","Banda MS de Sergio Lizárraga",612329,https://open.spotify.com/track/5OUGSwa2eadrcAsMdUItmO
90,"Shape of You","Ed Sheeran",610490,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
91,"La player (Bandolera)","Zion & Lennox",607329,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
92,"Kill This Love",BLACKPINK,603593,https://open.spotify.com/track/4pUCKHjJ4Ijewc37rRrvHn
93,"Otra vez (feat. J Balvin)","Zion & Lennox",602916,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
94,"NI BIEN NI MAL","Bad Bunny",600357,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8
95,"Me Dediqué a Perderte","Alejandro Fernández",597725,https://open.spotify.com/track/4NUt1fcnO9aQAELBgXq3Kr
96,"No Hay Nadie Más","Sebastian Yatra",594040,https://open.spotify.com/track/3IPJg1sdqLj12kFIndaonN
97,"Forever Alone","Paulo Londra",591375,https://open.spotify.com/track/5NPzbTzFxIQPaheZuPhn4f
98,Culpables,"KAROL G",589172,https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH
99,Wow.,"Post Malone",585158,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
100,"La Incondicional","Luis Miguel",584329,https://open.spotify.com/track/6F9yAYUaNbUhdlQyt5uZ3b
101,"Cuando Nadie Ve",Morat,577994,https://open.spotify.com/track/71iAechwVKGu26pahzFL0k
102,"Mala Mía",Maluma,576496,https://open.spotify.com/track/62o8KoI44JfN7aYxgTnPvh
103,"thank u, next","Ariana Grande",574731,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
104,"Tu Postura","Banda MS de Sergio Lizárraga",571289,https://open.spotify.com/track/4RNzKQEzmlvVHca4t6Txkj
105,"Si Estuviésemos Juntos","Bad Bunny",570768,https://open.spotify.com/track/35wvL50xvKpCHEJPxLOLPI
106,Seremos,"El Bebeto",570402,https://open.spotify.com/track/0B5nnPv1ebuo0VFXCMfUij
107,"One Kiss (with Dua Lipa)","Calvin Harris",565095,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
108,"Nena Maldición (feat. Lenny Tavárez)","Paulo Londra",564711,https://open.spotify.com/track/2aMVyJSuDFFL1sTjJnvk7X
109,Rucón,Aleman,563304,https://open.spotify.com/track/6TDtGJSk3MDTnM6nTDu5Zu
110,"Lamento Boliviano","Los Enanitos Verdes",563111,https://open.spotify.com/track/6Pur3hWy6Nzc27ilmsp5HA
