,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",417101,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
2,"Beautiful People (feat. Khalid)","Ed Sheeran",330442,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
3,"Goodbyes (Feat. Young Thug)","Post Malone",267351,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
4,"I Don't Care (with Justin Bieber)","Ed Sheeran",261644,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
5,"Someone You Loved","Lewis Capaldi",225334,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
6,"How Do You Sleep?","Sam Smith",222826,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
7,"It's You","Ali Gatie",215562,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
8,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",208601,https://open.spotify.com/track/4wuCQX7JvAZLlrcmH4AeZF
9,"The Git Up","Blanco Brown",205938,https://open.spotify.com/track/5dW1VZPcFqB4n0P08rGDgm
10,"Antisocial (with Travis Scott)","Ed Sheeran",205823,https://open.spotify.com/track/1DhRbox3xkceP64k3JeYfW
11,"Truth Hurts",Lizzo,190885,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
12,"Old Town Road (feat. Billy Ray Cyrus) - Remix","Lil Nas X",189612,https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7
13,Lalala,Y2K,184492,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
14,"bad guy","Billie Eilish",173682,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
15,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",168412,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
16,"Money In The Grave (Drake ft. Rick Ross)",Drake,167941,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
17,"Remember The Name (feat. Eminem & 50 Cent)","Ed Sheeran",164896,https://open.spotify.com/track/0AtP8EkGPn6SwxKDaUuXec
18,Panini,"Lil Nas X",153482,https://open.spotify.com/track/6fTt0CH2t0mdeB2N9XFG5r
19,"No Guidance (feat. Drake)","Chris Brown",150737,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
20,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",147173,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
21,Ransom,"Lil Tecca",144076,https://open.spotify.com/track/1kBbgxAUc4HQv7cgIayIDH
22,"If I Can't Have You","Shawn Mendes",136089,https://open.spotify.com/track/6LsAAHotRLMOHfCsSfYCsz
23,"Don't Check On Me (feat. Justin Bieber & Ink)","Chris Brown",133731,https://open.spotify.com/track/7ILEWkpfdK6AjH2D7jppWk
24,"bad guy (with Justin Bieber)","Billie Eilish",129647,https://open.spotify.com/track/3yNZ5r3LKfdmjoS3gkhUCT
25,"3 Nights","Dominic Fike",127959,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
26,"Talk (feat. Disclosure)",Khalid,127909,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
27,"You Need To Calm Down","Taylor Swift",123627,https://open.spotify.com/track/29fRTIKsJhLUJoldM89GZS
28,"The London (feat. J. Cole & Travis Scott)","Young Thug",122387,https://open.spotify.com/track/7DcvwMAiqKJQD1rrdfxSDx
29,"All This Time","Drax Project",114441,https://open.spotify.com/track/5pWsEZcRSwl1XOOIa52AIV
30,"Go Loko (feat. Tyga, Jon Z)",YG,114169,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
31,Sucker,"Jonas Brothers",107595,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
32,Easier,"5 Seconds of Summer",106594,https://open.spotify.com/track/4tNXntkAzQ5A2dfYRYGIIQ
33,"Never Really Over","Katy Perry",106554,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
34,Shallow,"Lady Gaga",105029,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
35,"Take Me Back to London (feat. Stormzy)","Ed Sheeran",104622,https://open.spotify.com/track/1AI7UPw3fgwAFkvAlZWhE0
36,"Best Part of Me (feat. YEBBA)","Ed Sheeran",101217,https://open.spotify.com/track/0VsGaRXR5WAzpu51unJTis
37,"Rescue Me",OneRepublic,100521,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
38,"Eastside (with Halsey & Khalid)","benny blanco",99073,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
39,"Call You Mine (feat. Bebe Rexha)","The Chainsmokers",97322,https://open.spotify.com/track/05CwHjIk71RXVU40boRMnR
40,"SOS (feat. Aloe Blacc)",Avicii,97082,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
41,"Piece Of Your Heart",MEDUZA,96083,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
