,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,China,"Anuel AA",2841812,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
2,"Yo x Ti, Tu x Mi",ROSALÍA,2551050,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
3,Goteo,Duki,2234647,https://open.spotify.com/track/1EoEU4HY57qaITp06TkC6B
4,"Adicto (with Anuel AA & Ozuna)",Tainy,2178535,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
5,"No Te Debí Besar","C. Tangana",1912001,https://open.spotify.com/track/1KdwnsWOvhM53vezy5ROuf
6,"Te Quemaste","Manuel Turizo",1862409,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC
7,"De Tranquilote","Danny Romero",1781537,https://open.spotify.com/track/1IDFcb3cjkj2dhv3UaxX9b
8,Tutu,Camilo,1590493,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
9,"Me vas a ver",Beret,1589538,https://open.spotify.com/track/5BhSZWrUa5xkZ2K7Ze5fVT
10,"Otro Trago - Remix",Sech,1580273,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
11,Callaita,"Bad Bunny",1452131,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
12,"La Rubia - Remix 2","La Nueva Escuela",1417356,https://open.spotify.com/track/7KKTnv81z6DmfPIGsZWjOW
13,"No Me Conoce - Remix","Jhay Cortez",1402664,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
14,Diavla,"Chris Viz",1253178,https://open.spotify.com/track/1KfrcxnOLyDhd3p4hGrhVe
15,Easy,"Jhay Cortez",1247120,https://open.spotify.com/track/7fTsw0IKbbPDN19keS32tF
16,"LA CANCIÓN","J Balvin",1209393,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
17,Señorita,"Shawn Mendes",1179274,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
18,"Soltera - Remix",Lunay,1152888,https://open.spotify.com/track/1c0hsvHLELX6y8qymnpLKL
19,Fantasias,"Rauw Alejandro",1133340,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
20,"Lola Bunny","Lola Indigo",1128321,https://open.spotify.com/track/7IzbHY75UhGztauT7U5eKb
21,"A Escondidas",$kyhook,1119370,https://open.spotify.com/track/7754vHc34U2wQMIJFWRhVK
22,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",1109404,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
23,"Indios y Vaqueros",Sinsinati,1095847,https://open.spotify.com/track/3u5GmyJP2MU3tEJgyiAG2T
24,"Contando Lunares (feat. Cruz Cafuné)","Don Patricio",1088719,https://open.spotify.com/track/6uW0PIRcyZLvkoonm763xD
25,Gan-Ga,"Bryant Myers",1060502,https://open.spotify.com/track/2J3jxgfp6GWoBsMPIa20oC
26,Velitas,Darell,1039088,https://open.spotify.com/track/7q3NthaBqFI6s0WnAlnIvq
27,"QUE PRETENDES","J Balvin",1014561,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
28,"Cuerpo en Venta",Noriel,999664,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7
29,Piensan,Haze,985235,https://open.spotify.com/track/0i9oiUkWOgvtnjkr0fa3XN
