Position,Track Name,Artist,Streams,URL,Year,Month,yyyy-mm,Stream %,Track ID
1,Secreto,Anuel AA,2888172,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,2019,01,2019-01,0.028116087175045018,5W83ErFkO3aKAIS1WMi6u0
2,Baila Baila Baila,Ozuna,2693711,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG,2019,01,2019-01,0.026223027333682928,7mWFF4gPADjTQjC97CgFVt
3,Adan y Eva,Paulo Londra,2448248,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019,01,2019-01,0.023833467741578275,6FyRXC8tJUh863JCkyWqtk
4,Calma - Remix,Pedro Capó,2216229,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019,01,2019-01,0.021574784245489132,5iwz1NiezX7WWjnCgY5TH4
5,NI BIEN NI MAL,Bad Bunny,2082242,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8,2019,01,2019-01,0.020270433198417575,278kSqsZIiYp8p3QjYAqa8
6,Amanece,Anuel AA,1790819,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,2019,01,2019-01,0.01743345725902991,1LiN0Z98FkR1t0m8KmLcAH
7,Adictiva,Daddy Yankee,1762584,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019,01,2019-01,0.017158592146637924,0z24gh2KYWSfahslybQC4O
8,MALA,6ix9ine,1589371,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE,2019,01,2019-01,0.01547237961918074,70uX4beGHc1nQikXveOknp
9,Mujer Bruja,Lola Indigo,1484372,https://open.spotify.com/track/4R8TsvDoKSSDVERlaphNBA,2019,01,2019-01,0.014450224069825454,4R8TsvDoKSSDVERlaphNBA
10,Ella Quiere Beber - Remix,Anuel AA,1465922,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019,01,2019-01,0.014270615027019285,3f5lA8nnc4YYF1qf78WpHw
11,Pa' Llamar Tu Atención (feat. MC Bin Laden),C. Tangana,1463333,https://open.spotify.com/track/2vEY3cNwXYxIG4fPAoN14q,2019,01,2019-01,0.014245411351581605,2vEY3cNwXYxIG4fPAoN14q
12,MIA (feat. Drake),Bad Bunny,1461601,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019,01,2019-01,0.014228550491845005,116H0KvKr2Zl4RPuVBruDO
13,7 rings,Ariana Grande,1428494,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF,2019,01,2019-01,0.013906256910263223,6ocbgoVGwYJhOv1GgI9NsF
14,Imposible,Luis Fonsi,1402346,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,2019,01,2019-01,0.013651708549759391,3ao3OVxHlb3C08vAaApUlm
15,Ta To Gucci (Remix),Cauty,1372959,https://open.spotify.com/track/7kuRvjpeUcn6qNV9IBXC2C,2019,01,2019-01,0.013365628823962918,7kuRvjpeUcn6qNV9IBXC2C
16,Vas A Quedarte,Aitana,1299968,https://open.spotify.com/track/2b3JxLi8KAiOsD8ehnOxDZ,2019,01,2019-01,0.012655068192880798,0fwIHsKXNEcb57u2um7z9I
17,Booty,C. Tangana,1290302,https://open.spotify.com/track/4W3FJapn5CD6Fnrlfj4HFe,2019,01,2019-01,0.012560970577283809,6OCqV7mvGa48K7UkgkP0p1
18,Solo de Mi,Bad Bunny,1150328,https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,2019,01,2019-01,0.011198336639194336,5YOkA7qd2983FtBQnP8sYx
19,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,1142576,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,01,2019-01,0.011122871636493337,4w8niZpiMy6qz1mntFA5uM
