Position,Track Name,Artist,Streams,URL,Year,Month,yyyy-mm,Stream %,Track ID
1,MIDDLE CHILD,J. Cole,20663232,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2019,01,2019-01,0.03335062441761946,2JvzF1RMd7lE3KmFlsyZD8
2,7 rings,Ariana Grande,20288575,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF,2019,01,2019-01,0.03274592497406523,6ocbgoVGwYJhOv1GgI9NsF
3,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,13134644,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,01,2019-01,0.021199422186381055,3KkXRkHbMCARz0aVfEt68P
4,Wow.,Post Malone,12578954,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,01,2019-01,0.020302534009225277,7xQAfvXzm3AkraOtGPWIZg
5,Going Bad (feat. Drake),Meek Mill,9707256,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019,01,2019-01,0.015667590093441482,2IRZnDFmlqMuOrYOLnZZyc
6,Drip Too Hard (Lil Baby & Gunna),Lil Baby,8271788,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019,01,2019-01,0.013350733072646703,78QR3Wp35dqAhFEc2qAGjE
7,Without Me,Halsey,8027758,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,01,2019-01,0.012956866668948014,7lQ8MOhq6IN2w8EYcFNSUk
8,SICKO MODE,Travis Scott,7592469,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,01,2019-01,0.012254306684521514,2xLMifQCjDGFmkHkpNLD9h
9,Look Back at It,A Boogie Wit da Hoodie,7220099,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,2019,01,2019-01,0.011653298477558104,3Ol2xnObFdKV9pmRD2t9x8
10,"thank u, next",Ariana Grande,6881449,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,01,2019-01,0.011106714624701646,3e9HZxeyfWwjeyPAMmWSSQ
11,ZEZE (feat. Travis Scott & Offset),Kodak Black,6869226,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019,01,2019-01,0.01108698660334194,0FZ4Dmg8jJJAPJnvBIzD9z
12,Dancing With A Stranger (with Normani),Sam Smith,6846045,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019,01,2019-01,0.011049572280905603,6Qs4SXO9dwPj5GKvVOv8Ki
13,Mo Bamba,Sheck Wes,6727619,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019,01,2019-01,0.010858431754230928,1xzBco0xcoJEDXktl7Jxrr
14,a lot,21 Savage,6431747,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,2019,01,2019-01,0.01038089194111312,2t8yVaLvJ0RenpXUIAC52d
15,Leave Me Alone,Flipp Dinero,5814439,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,2019,01,2019-01,0.009384551811069968,6V7g6qM8wheMivMWrzbPTM
16,Saturday Nights,Khalid,5721291,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019,01,2019-01,0.00923421018187796,5kfNriitmkNE8mUbZ7gbq8
17,Wake Up in the Sky,Gucci Mane,5417690,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,2019,01,2019-01,0.008744195699931782,0QIjsbm2fh1cJ45XO9eGqq
18,Keanu Reeves,Logic,5173029,https://open.spotify.com/track/25F6MWrnFBCXVnpN4n76EK,2019,01,2019-01,0.008349310857103748,3PYx9Wte3jwb48V0wArMOy
19,SAD!,XXXTENTACION,5021645,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019,01,2019-01,0.008104975850516352,3ee8Jmje8o58CHK66QrVC2
20,Lucid Dreams,Juice WRLD,4967592,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019,01,2019-01,0.008017733869124206,285pBltuF7vW8TeWk8hdRR
21,Money,Cardi B,4756584,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,2019,01,2019-01,0.007677165241858489,2GGMabyHXnJmjY6CXhhB2e
