,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Señorita,"Shawn Mendes",1283152,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik
2,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",997349,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
3,"Bekhayali (From ""Kabir Singh"")","Sachet Tandon",830841,https://open.spotify.com/track/1feANd8EfcDP5UqSvbheM3
4,"O Saki Saki (From ""Batla House"")","Neha Kakkar",752449,https://open.spotify.com/track/4cFwhwH5ydnHgB0Tv3lZsm
5,"Tera Ban Jaunga","Akhil Sachdeva",706385,https://open.spotify.com/track/3oWxFNsXstcancCR1wODR4
6,"Mere Sohneya (From ""Kabir Singh"")","Sachet Tandon",703855,https://open.spotify.com/track/2IoZMG3RqiTmsy7Li3zGFg
7,"Ve Maahi","Arijit Singh",684558,https://open.spotify.com/track/7ltu5scschhmNWp5rp8rVF
8,"Psycho Saiyaan (From ""Saaho"")","Sachet Tandon",578197,https://open.spotify.com/track/3ZjMdVOWxQ53FKrmkgCv95
9,"The Wakhra Song","Navv Inder",552376,https://open.spotify.com/track/6N6mJlsjYRV0yoMSPS5JiQ
10,"Duniyaa (From ""Luka Chuppi"")",Akhil,539465,https://open.spotify.com/track/2tjWCe2W7sgvS3C8NHcdtI
11,"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra",537405,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC
12,"Goodbyes (Feat. Young Thug)","Post Malone",468353,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
13,"Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]","Arijit Singh",421512,https://open.spotify.com/track/6aPMWbbdhDhiJHlknZb9Yx
14,"Kalank (Title Track)","Arijit Singh",387122,https://open.spotify.com/track/6vo7Y1iWyZvpjvFbf6BiZ5
15,"Hauli Hauli (From ""De De Pyaar De"")","Garry Sandhu",383198,https://open.spotify.com/track/1z0A545pZMaqYRkruladlk
16,Vaaste,"Dhvani Bhanushali",370915,https://open.spotify.com/track/0mJTAdmY8olbGQjopDYff3
17,Paagal,Badshah,361045,https://open.spotify.com/track/4gyPGtExOjj1rsByKW33LR
18,Yaari,Nikk,355308,https://open.spotify.com/track/04UzZSWfw8hkK832P27QLq
19,"Sorry Song","Neha Kakkar",346869,https://open.spotify.com/track/6RnFfNQik3Cq6vrmifPMlA
20,"Sheher Ki Ladki (From ""Khandaani Shafakhana"")",Badshah,343674,https://open.spotify.com/track/24d3IPklAxzBJB2nuWeSpg
21,"The Hook Up Song",Vishal-Shekhar,343486,https://open.spotify.com/track/1bLNqR3bqpyWkwWKECjVrw
22,"Chale Aana (From ""De De Pyaar De"")","Amaal Mallik",338149,https://open.spotify.com/track/6vuMdb0E8buJeSHArN3dXk
23,"Dheeme Dheeme","Tony Kakkar",332707,https://open.spotify.com/track/4At0CnQes5Kx1ROSnnP4lK
24,"Koka (From ""Khandaani Shafakhana"")","Jasbir Jassi",322936,https://open.spotify.com/track/4H2wyTfSobQHsVnt2JYPMf
25,"Khadke Glassy","Yo Yo Honey Singh",313843,https://open.spotify.com/track/7E2iTG33dfcHlxldckKQIi
26,"Sachiya Mohabbatan (From ""Arjun Patiala"")","Sachet Tandon",310479,https://open.spotify.com/track/28w9HJdplcvHhwwRIbcoKY
27,"Bekhayali Acoustic - Dhvani Bhanushali Version (From ""T-Series Acoustics"")","Dhvani Bhanushali",298272,https://open.spotify.com/track/0fcnEPWBnqHKqKsR4JXjAS
28,"Hawa Banke","Darshan Raval",290085,https://open.spotify.com/track/3YVQHUpNexOqkLI7IclsoT
29,"Chashni (From ""Bharat"")","Abhijeet Srivastava",286373,https://open.spotify.com/track/5X5db3FrBOHbibrFKA02MQ
30,"Main Deewana Tera (From ""Arjun Patiala"")","Guru Randhawa",285973,https://open.spotify.com/track/5n8BCU2JmPORrFboGeDlXV
31,"The Jawaani Song",Vishal-Shekhar,285935,https://open.spotify.com/track/3IzQc4KEAFd8lIc90X7FZr
