,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Pachtaoge (From ""Jaani Ve"")","Arijit Singh",1276172,https://open.spotify.com/track/5QVHNa0ppJUOoqSd36ovQS
2,Señorita,"Shawn Mendes",996912,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
3,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh",794206,https://open.spotify.com/track/2Fv2injs4qAm8mJBGaxVKU
4,"O Saki Saki (From ""Batla House"")","Neha Kakkar",781422,https://open.spotify.com/track/5djZm1zFGcJUSUqbBjrAZH
5,"Psycho Saiyaan (From ""Saaho"")","Sachet Tandon",581178,https://open.spotify.com/track/3ZjMdVOWxQ53FKrmkgCv95
6,"Bekhayali (From ""Kabir Singh"")","Sachet Tandon",554429,https://open.spotify.com/track/1feANd8EfcDP5UqSvbheM3
7,"Ve Maahi","Arijit Singh",552997,https://open.spotify.com/track/7ltu5scschhmNWp5rp8rVF
8,"Duniyaa (From ""Luka Chuppi"")",Akhil,495196,https://open.spotify.com/track/2tjWCe2W7sgvS3C8NHcdtI
9,Lover,"Taylor Swift",486463,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
10,"Mere Sohneya (From ""Kabir Singh"")","Sachet Tandon",472941,https://open.spotify.com/track/2IoZMG3RqiTmsy7Li3zGFg
11,"Tera Ban Jaunga (From ""Kabir Singh"")","Akhil Sachdeva",470281,https://open.spotify.com/track/1HMuJeEUJiIKi5WEHCTCgx
12,"Bad Boy (From ""Saaho"")",Badshah,434724,https://open.spotify.com/track/5I3Xih0C2ID3fqngBrBbGv
13,"The Wakhra Song","Navv Inder",422612,https://open.spotify.com/track/6N6mJlsjYRV0yoMSPS5JiQ
14,"Kaise Hua (From ""Kabir Singh"")","Vishal Mishra",366196,https://open.spotify.com/track/1y1rQTkWmrZdJmjwuK07GC
15,"Goodbyes (Feat. Young Thug)","Post Malone",350031,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
16,Paagal,Badshah,342682,https://open.spotify.com/track/4gyPGtExOjj1rsByKW33LR
17,"Kalank (Title Track)","Arijit Singh",324566,https://open.spotify.com/track/6vo7Y1iWyZvpjvFbf6BiZ5
18,"Koka (From ""Khandaani Shafakhana"")","Jasbir Jassi",323428,https://open.spotify.com/track/4H2wyTfSobQHsVnt2JYPMf
19,Prada,"The Doorbeen",320441,https://open.spotify.com/track/6NLzzwFbAD1imLXGBMj9jo
20,"Hauli Hauli (From ""De De Pyaar De"")","Garry Sandhu",318489,https://open.spotify.com/track/1z0A545pZMaqYRkruladlk
21,"Bekhayali (Arijit Singh Version) [From ""Kabir Singh""]","Arijit Singh",296182,https://open.spotify.com/track/6aPMWbbdhDhiJHlknZb9Yx
22,Vaaste,"Dhvani Bhanushali",294499,https://open.spotify.com/track/0mJTAdmY8olbGQjopDYff3
23,"Sheher Ki Ladki (From ""Khandaani Shafakhana"")",Badshah,276782,https://open.spotify.com/track/6qajA2wXvAI4HMey8b1JVK
24,Yaari,Nikk,272107,https://open.spotify.com/track/04UzZSWfw8hkK832P27QLq
25,"Chale Aana (From ""De De Pyaar De"")","Amaal Mallik",266060,https://open.spotify.com/track/6vuMdb0E8buJeSHArN3dXk
26,"Chashni (From ""Bharat"")","Abhijeet Srivastava",264760,https://open.spotify.com/track/5X5db3FrBOHbibrFKA02MQ
27,"Proper Patola",Badshah,262849,https://open.spotify.com/track/39ujbBjTwwqUFySaCYDMMT
28,"The Man","Taylor Swift",250607,https://open.spotify.com/track/3RauEVgRgj1IuWdJ9fDs70
29,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",247815,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P
30,"fuck, i'm lonely",Lauv,245263,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
31,"The Hook Up Song",Vishal-Shekhar,245062,https://open.spotify.com/track/1bLNqR3bqpyWkwWKECjVrw
32,"On My Way","Alan Walker",243289,https://open.spotify.com/track/7KhHA3mzt7A3LFlOJEAKpI
33,"Enni Soni (From ""Saaho"")","Guru Randhawa",241428,https://open.spotify.com/track/40S8Et5fYlBCa0QgBTEOE1
34,Sakhiyaan,"Maninder Buttar",238614,https://open.spotify.com/track/3sqRODOZ1Z6hR4F2tnFAlg
35,"Takeaway (feat. Lennon Stella)","The Chainsmokers",237952,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
36,"Dilbar (From ""Satyameva Jayate"")","Neha Kakkar",235942,https://open.spotify.com/track/6cARnc9YVlBNigjNSX63pp
37,"How Do You Sleep?","Sam Smith",232847,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
38,"Old Town Road - Remix","Lil Nas X",229255,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
39,Tareefan,QARAN,228948,https://open.spotify.com/track/5QyOjKJhR1iyF0DHQM2IvW
40,"boyfriend (with Social House)","Ariana Grande",228707,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
41,"Dheeme Dheeme","Tony Kakkar",225608,https://open.spotify.com/track/4At0CnQes5Kx1ROSnnP4lK
42,"The Jawaani Song",Vishal-Shekhar,221344,https://open.spotify.com/track/3IzQc4KEAFd8lIc90X7FZr
43,"bad guy","Billie Eilish",218294,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
44,"Khud Se Zyada","Tanishk Bagchi",212433,https://open.spotify.com/track/1vBE1z8mudo2Oob531MabR
