Position,Track Name,Artist,Streams,URL,Year,Month,yyyy-mm,Stream %,Track ID,Danceability,Valence,Energy,Tempo,Danceability_Stream%,Valence_Stream%,Energy_Stream%,Tempo_Stream%
1,7 rings,Ariana Grande,71486,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019,2,2019-02,0.02232257029005352,6ocbgoVGwYJhOv1GgI9NsF,0.778,0.327,0.317,140.048,0.01736695968566164,0.007299480484847501,0.007076254781946966,3.1262313239814152
2,Shallow,Lady Gaga,67267,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,2,2019-02,0.02100512457965238,2VxeLyX666F8uXCJ0dZF8B,0.572,0.323,0.385,95.799,0.012014931259561162,0.00678465523922772,0.008086972963166168,2.0122699296061186
3,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,65006,https://open.spotify.com/track/7dbka99KTWke5o9hRp0JoB,2019,2,2019-02,0.020299093588607826,3KkXRkHbMCARz0aVfEt68P,0.76,0.913,0.479,89.911,0.015427311127341949,0.018533072446398947,0.009723265828943149,1.8251118036453182
4,"break up with your girlfriend, i'm bored",Ariana Grande,62512,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,2019,2,2019-02,0.019520304870489686,4kV4N9D1iKVxx1KLvtTpjS,0.726,0.335,0.554,169.999,0.014171741335975511,0.0065393021316140455,0.010814248898251288,3.318432307678376
5,Con Calma,Daddy Yankee,59178,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,2019,2,2019-02,0.018479213616998957,5w9c2J52mkdntKOmRLeM2m,0.737,0.656,0.86,93.989,0.013619180435728231,0.012122364132751317,0.015892123710619103,1.736842808648115
6,Wow.,Post Malone,54174,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,2,2019-02,0.016916639941993668,7xQAfvXzm3AkraOtGPWIZg,0.829,0.388,0.539,99.96,0.01402389451191275,0.006563656297493543,0.009118068928734588,1.690987328601687
7,Talk,Khalid,53779,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM,2019,2,2019-02,0.016793295297383937,161DnLWsx1i3u1JT05lzqU,0.523,0.065,0.606,145.837,0.008782893440531798,0.001091564194329956,0.010176736950214666,2.4490838062845808
8,"Duniyaa (From ""Luka Chuppi"")",Akhil,47549,https://open.spotify.com/track/2tjWCe2W7sgvS3C8NHcdtI,2019,2,2019-02,0.014847884826703897,2tjWCe2W7sgvS3C8NHcdtI,0.435,0.524,0.658,77.17,0.006458829899616195,0.007780291649192842,0.009769908215971165,1.1458112720767397
9,i'm so tired...,Lauv,46823,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,2019,2,2019-02,0.014621180492560443,4vjpLMyL3ZO6aphdYr8XYw,0.599,0.534,0.733,102.211,0.008758087115043705,0.007807710383027277,0.010717325301046805,1.4944454793250954
10,Don't Call Me Up,Mabel,46267,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,2019,2,2019-02,0.014447561195337634,5WHTFyqSii0lmT9R21abT8,0.674,0.234,0.881,98.994,0.009737656245657566,0.0033807293197090065,0.012728301413092455,1.4302218729712537
11,Dancing With A Stranger (with Normani),Sam Smith,44080,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019,2,2019-02,0.013764637808599713,6Qs4SXO9dwPj5GKvVOv8Ki,0.741,0.347,0.52,102.998,0.010199596616172387,0.0047763293195841,0.007157611660471851,1.4177301650101533
12,Without Me,Halsey,43764,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,2,2019-02,0.01366596209291193,7lQ8MOhq6IN2w8EYcFNSUk,0.908,0.662,0.669,112.238,0.012408693580364033,0.009046866905507699,0.009142528640158082,1.5338402533842492
13,bury a friend,Billie Eilish,41816,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP,2019,2,2019-02,0.013057670022785971,4SSnFejRGlZikf02HLewEF,0.905,0.196,0.389,120.046,0.011817191370621304,0.0025593033244660506,0.005079433638863743,1.567521055555365
14,Apna Time Aayega,Ranveer Singh,41592,https://open.spotify.com/track/5uaIbU3oHHcSOK6WFNK5nj,2019,2,2019-02,0.012987722680019948,5uaIbU3oHHcSOK6WFNK5nj,0.766,0.513,0.618,95.054,0.009948595572895281,0.006662701734850234,0.008026412616252329,1.2345349916266162
15,BIBA,Marshmello,37911,https://open.spotify.com/track/0GVBPuCT3pBrXCdY3Uiy5B,2019,2,2019-02,0.011838275498226492,1gt8YXWknKt4sRNZ6SirVW,0.587,0.491,0.963,127.842,0.0069490677174589505,0.005812593269629207,0.011400259304792111,1.513428816244271
16,No Sleep (feat. Bonn),Martin Garrix,35855,https://open.spotify.com/track/1ahVFh0ViDZr8LvkEVlq3B,2019,2,2019-02,0.011196258816409772,1ahVFh0ViDZr8LvkEVlq3B,0.44,0.327,0.635,128.133,0.0049263538792202995,0.0036611766329659955,0.007109624348420205,1.4346102309230335
17,Happier,Marshmello,35115,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,2,2019-02,0.010965182773343442,2dpaYNEQHiRxtZbfNsse99,0.687,0.671,0.792,100.015,0.007533080565286945,0.00735763764091345,0.008684424756488006,1.0966827550759444
18,Who Do You Love,The Chainsmokers,34325,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8,2019,2,2019-02,0.010718493484123985,2fVHrSxsQbJUuj9MW9zG1e,0.51,0.475,0.846,139.927,0.005466431676903232,0.0050912844049588925,0.009067845487568891,1.4998066377530168
