Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Energy,Valence,Stream %,Danceability_Stream%,Valence_Stream%,Energy_Stream%
1,Atrasadinha - Ao Vivo,Felipe Araújo,4193494,https://open.spotify.com/track/5EKHbW7mXcAR4hCyS3YXjb,2019,1,3tL7UqLFy2XcYW1AAA60RV,0.6759999999999999,0.8440000000000001,0.716,0.0007697532427363791,0.0005203531920897923,0.0005511433217992474,0.0006496717368695041
2,Jenifer,Gabriel Diniz,3640286,https://open.spotify.com/track/5ixqGGFu0hdHfErdp32QwT,2019,1,7kh64k3P9Fk4EsA6vOdwmj,0.7190000000000001,0.825,0.7979999999999999,0.0006682069779968309,0.0004804408171797215,0.000533229168441471,0.0005512707568473855
3,Notificação Preferida - Ao Vivo,Zé Neto & Cristiano,3600348,https://open.spotify.com/track/2qkNnJvQvhLiZ63X1L3eFz,2019,1,3tA0vALUwrzkTgHcm9j6oJ,0.39799999999999996,0.838,0.20600000000000002,0.0006608760017253959,0.00026302864868670754,0.00013614045635543156,0.0005538140894458817
4,Agora é Tudo Meu,DENNIS,3492545,https://open.spotify.com/track/5yH8pYxNckOU1cxfPsMIaz,2019,1,5yH8pYxNckOU1cxfPsMIaz,0.848,0.9329999999999999,0.506,0.0006410877991366453,0.0005436424536678753,0.0003243904263631426,0.00059813491659449
5,Quem Me Dera,Márcia Fellipe,3386497,https://open.spotify.com/track/2lAyctg5FocS67eksHoyIg,2019,1,2lAyctg5FocS67eksHoyIg,0.815,0.723,0.8959999999999999,0.0006216217424579646,0.0005066217201032411,0.0005569730812423362,0.0004494325197971084
6,Bebi Liguei - Ao Vivo,Marília Mendonça,3343743,https://open.spotify.com/track/1T7aSWZQIorPMzRT8jTMXc,2019,1,3RbXsVQr4jeTxvT35Hssq3,0.603,0.804,0.682,0.0006137738642590328,0.0003701056401481968,0.0004185937754246604,0.0004934741868642624
7,Parado no Bailão,MC L da Vinte,3111394,https://open.spotify.com/track/3Hb9kUdm4yf839Fle4RIdT,2019,1,3Hb9kUdm4yf839Fle4RIdT,0.828,0.599,0.478,0.0005711241320317887,0.00047289078132232103,0.000272997335111195,0.00034210335508704144
8,Qualidade De Vida - Ao Vivo,Simone & Simaria,2943382,https://open.spotify.com/track/5Wmg5LPPJnbMsKA9fthM3l,2019,1,5Wmg5LPPJnbMsKA9fthM3l,0.8320000000000001,0.833,0.853,0.0005402840302411043,0.00044951631316059875,0.00046086227779566194,0.0004500565971908398
9,Só Pra Castigar,Wesley Safadão,2840768,https://open.spotify.com/track/2X8sssaxS5GReg6945B6RW,2019,1,2X8sssaxS5GReg6945B6RW,0.6809999999999999,0.94,0.648,0.0005214483149044062,0.0003551063024499006,0.00033789850805805526,0.0004901614160101418
10,"Quem Pegou, Pegou - Ao Vivo",Henrique & Juliano,2582975,https://open.spotify.com/track/0kCqaybZgYcLYxzZymmBoc,2019,1,2jxfsaODfcVQhKMZPuYK2j,0.69,0.67,0.579,0.0004741281094373806,0.00032714839551179257,0.00027452017536424336,0.000317665833323045
