,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",416018,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,Circles,"Post Malone",322702,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
3,"Lose You To Love Me","Selena Gomez",298738,https://open.spotify.com/track/1HfMVBKM75vxSfsQ5VefZ5
4,Memories,"Maroon 5",298708,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
5,"Catching Feelings (feat. SIX60)","Drax Project",265871,https://open.spotify.com/track/0gCNs3jCCDhObAK0MRghtv
6,"hot girl bummer",blackbear,262697,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
7,"HIGHEST IN THE ROOM","Travis Scott",255594,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
8,"Follow God","Kanye West",251394,https://open.spotify.com/track/2QpGZOhTCHHiKmpSO9FW4h
9,"10,000 Hours (with Justin Bieber)","Dan + Shay",216185,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
10,"Someone You Loved","Lewis Capaldi",203672,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
11,Engineers,"Hp Boyz",190131,https://open.spotify.com/track/2WKAty6EEiV8Lt8dAnRAdy
12,Señorita,"Shawn Mendes",187285,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
13,"The Greatest",SIX60,186528,https://open.spotify.com/track/0xEaVqAEKMgdxza2tkOeFB
14,"Lights Up","Harry Styles",177500,https://open.spotify.com/track/2plLJpUcYPFrl1sW2pMG63
15,"Beautiful People (feat. Khalid)","Ed Sheeran",176152,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
16,"Please Don't Go",SIX60,169847,https://open.spotify.com/track/64npYucYU4rwTSsz9Cm134
17,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",168876,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
18,"Ride It",Regard,165637,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
19,"How Do You Sleep?","Sam Smith",163640,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
20,"I Don't Care (with Justin Bieber)","Ed Sheeran",141158,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
21,"It's You","Ali Gatie",137431,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
22,"Look At Her Now","Selena Gomez",135317,https://open.spotify.com/track/4yI3HpbSFSgFZtJP2kDe5m
23,"Truth Hurts",Lizzo,135190,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
24,"Trampoline (with ZAYN)",SHAED,133477,https://open.spotify.com/track/1iQDltZqI7BXnHrFy4Qo1k
25,Selah,"Kanye West",132706,https://open.spotify.com/track/39JRmdKFka1Oe09FoOCPI4
26,Liar,"Camila Cabello",129512,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
27,Lalala,Y2K,129303,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
28,Graveyard,Halsey,129073,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
29,"Closed On Sunday","Kanye West",128468,https://open.spotify.com/track/3JWiDGQX2eTlFvKj3Yssj3
30,"bad guy","Billie Eilish",128250,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
31,"Everything We Need","Kanye West",127763,https://open.spotify.com/track/24bnCCysWnbNRNUT4LpHcP
32,ROXANNE,"Arizona Zervas",127682,https://open.spotify.com/track/1ZPWWSwCkxKfqdp4H0RFCo
33,"On God","Kanye West",127011,https://open.spotify.com/track/2SasoXZyv82yYgHiVOvxQn
34,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",125967,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
35,"No Guidance (feat. Drake)","Chris Brown",124796,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
36,"Bad N Bouj","Hp Boyz",123126,https://open.spotify.com/track/3XV2EL4JquJ7BEA4Tyi8Gl
37,Motivation,Normani,122655,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
38,"Goodbyes (Feat. Young Thug)","Post Malone",120935,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
39,Panini,"Lil Nas X",119051,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
40,Raining,SIX60,115786,https://open.spotify.com/track/62nhnHw1y7S4ZPp6FA4NHZ
41,Ransom,"Lil Tecca",112308,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
42,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",111850,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
43,"The Git Up","Blanco Brown",111448,https://open.spotify.com/track/2KKijf6Ett4kmVNJze2roh
44,"Good as Hell (feat. Ariana Grande) - Remix",Lizzo,109087,https://open.spotify.com/track/07Oz5StQ7GRoygNLaXs2pd
45,"Old Town Road - Remix","Lil Nas X",108453,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
46,"Use This Gospel","Kanye West",107719,https://open.spotify.com/track/0oPOuDmmkVp3h6puekhs6P
47,Teeth,"5 Seconds of Summer",106295,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
48,"Piece Of Your Heart",MEDUZA,104973,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
49,"223's (feat. 9lokknine)","YNW Melly",104630,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI
50,I.F.L.Y.,Bazzi,103733,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
51,Water,"Kanye West",100986,https://open.spotify.com/track/454Epa1vrCGFddHXKyC1kb
52,"Every Hour","Kanye West",98201,https://open.spotify.com/track/1WnqWQcWcuQbVzgE7ecfCY
53,"Slide Away","Miley Cyrus",97904,https://open.spotify.com/track/44ADyYoY5liaRa3EOAl4uf
54,"God Is","Kanye West",96405,https://open.spotify.com/track/6xRWoYwfwIKnT8bQGzKbxR
55,Shallow,"Lady Gaga",92848,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
56,"Good as Hell",Lizzo,92273,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
57,"fuck, i'm lonely",Lauv,90325,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
58,"Talk (feat. Disclosure)",Khalid,88618,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
59,"RNP (feat. Anderson .Paak)",Cordae,87856,https://open.spotify.com/track/5lw8Mgb4LyhriPIC86gV6e
60,"Eastside (with Halsey & Khalid)","benny blanco",87689,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
61,"3 Nights","Dominic Fike",86802,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
62,"Nice To Meet Ya","Niall Horan",86682,https://open.spotify.com/track/3cphb8kdsjElYR7r5icK3H
63,"Good Thing (with Kehlani)",Zedd,84816,https://open.spotify.com/track/5aUSEPNd3m5xliFK4pn5mU
64,"Higher Love",Kygo,83218,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
65,"Hands On","Kanye West",83132,https://open.spotify.com/track/7r6aR2f57resC5r93LwMfK
66,Vibes,SIX60,82544,https://open.spotify.com/track/5EKITWJXROxWdc0bcRrMLy
67,"Don’t Forget Your Roots",SIX60,79434,https://open.spotify.com/track/5mUiad5pDU1wFvIbtKgJKB
68,Lonely,Diplo,78548,https://open.spotify.com/track/4fwo6czG5nvOQMzhOto1ya
69,"All This Time","Drax Project",77890,https://open.spotify.com/track/0KoMTbaLsbEYWfouzjvzCy
70,"Dreams - 2004 Remaster","Fleetwood Mac",77719,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
71,"Find an Island",BENEE,77405,https://open.spotify.com/track/4DnKssL3N9jv5aox9Xsavc
72,Bruises,"Lewis Capaldi",77151,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
73,"Make It Right (feat. Lauv)",BTS,76458,https://open.spotify.com/track/314ZkcV7oLWG8yWE7LABvH
74,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",74353,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
75,Lover,"Taylor Swift",72967,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
76,"Hate Me (with Juice WRLD)","Ellie Goulding",72211,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
77,Feelings,Lauv,71956,https://open.spotify.com/track/0y675KDleCZEudjoeL1sQQ
78,"Jesus Is Lord","Kanye West",71553,https://open.spotify.com/track/7sBgFMWqDWQgrsNSpIBoe8
79,"Money In The Grave (Drake ft. Rick Ross)",Drake,71184,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
80,"Harleys In Hawaii","Katy Perry",71165,https://open.spotify.com/track/5nCthAh3jt4xKuLJAifAaR
