Position,Track Name,Artist,Streams,URL,Year,Month,Track ID
1,7 rings,Ariana Grande,562985,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF,2019,01,6ocbgoVGwYJhOv1GgI9NsF
2,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,389293,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,01,3KkXRkHbMCARz0aVfEt68P
3,Wow.,Post Malone,345858,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,01,7xQAfvXzm3AkraOtGPWIZg
4,Without Me,Halsey,280760,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,01,7lQ8MOhq6IN2w8EYcFNSUk
5,Sweet but Psycho,Ava Max,276126,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,01,7DnAm9FOTWE3cUvso43HhI
6,Dancing With A Stranger (with Normani),Sam Smith,255702,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019,01,6Qs4SXO9dwPj5GKvVOv8Ki
7,MIDDLE CHILD,J. Cole,255285,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2019,01,2JvzF1RMd7lE3KmFlsyZD8
8,"thank u, next",Ariana Grande,242611,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,01,3e9HZxeyfWwjeyPAMmWSSQ
9,Shallow,Lady Gaga,216270,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,01,2VxeLyX666F8uXCJ0dZF8B
10,Better,Khalid,211450,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019,01,6gdLyYNuhWBzqwlOFSsXC7
11,Eastside (with Halsey & Khalid),benny blanco,207336,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,01,0d2iYfpKoM0QCKvcLCkBao
12,Shotgun,George Ezra,202426,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,2019,01,4ofwffwvvnbSkrMSCKQDaC
13,Happier,Marshmello,184880,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,01,2dpaYNEQHiRxtZbfNsse99
14,Saturday Nights,Khalid,180175,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019,01,5kfNriitmkNE8mUbZ7gbq8
15,Body (feat. brando),Loud Luxury,177533,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019,01,0BrDfbNc3HiIHPGfTT8DRc
16,Giant (with Rag'n'Bone Man),Calvin Harris,174479,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,2019,01,5itOtNx0WxtJmi1TQ3RuRd
17,SICKO MODE,Travis Scott,172585,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,01,2xLMifQCjDGFmkHkpNLD9h
18,Soaked,Bene,168395,https://open.spotify.com/track/70TEuKwiK0bd5phEQkbvT4,2019,01,4zIiarkbaDt2cm6sukb1Xt
19,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,167612,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019,01,27rdGxbavYJeBphck5MZAF
20,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,165611,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019,01,5JEx7HbmvHQQswJCsoo9rA
21,Undecided,Chris Brown,152159,https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx,2019,01,58oryymPZNdtS2z8Une6NJ
22,Always Remember Us This Way,Lady Gaga,146494,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,2019,01,2rbDhOo9Fh61Bbu23T2qCk
23,Bad Liar,Imagine Dragons,145061,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2019,01,2RSHsoi04658QL5xgQVov3
24,when the party's over,Billie Eilish,142841,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,2019,01,43zdsphuZLzwA9k4DJhU0I
25,Youngblood,5 Seconds of Summer,139522,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2019,01,2iUXsYOEPhVqEBwsqP70rE
26,Going Bad (feat. Drake),Meek Mill,137663,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019,01,2IRZnDFmlqMuOrYOLnZZyc
27,Be Alright,Dean Lewis,136212,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019,01,3EPXxR3ImUwfayaurPi3cm
28,ZEZE (feat. Travis Scott & Offset),Kodak Black,134390,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,2019,01,0FZ4Dmg8jJJAPJnvBIzD9z
29,Vibes,SIX60,132479,https://open.spotify.com/track/5EKITWJXROxWdc0bcRrMLy,2019,01,2IZzKwuk34ndrAHSTSHTsB
30,Love Someone,Lukas Graham,130868,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,2019,01,2JqnpexlO9dmvjUMCaLCLJ
31,High Hopes,Panic! At The Disco,129817,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019,01,1rqqCSm0Qe4I9rUvWncaom
32,Promises (with Sam Smith),Calvin Harris,129516,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,2019,01,5N5k9nd479b1xpDZ4usjrg
33,Hope,The Chainsmokers,129138,https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5,2019,01,2ZRo7axmMPeSVUvDbGkJah
34,So Close,NOTD,127927,https://open.spotify.com/track/7FjZU7XFs7P9jHI9Z0yRhK,2019,01,7FjZU7XFs7P9jHI9Z0yRhK
35,Mo Bamba,Sheck Wes,127831,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,2019,01,1xzBco0xcoJEDXktl7Jxrr
36,Let You Love Me,Rita Ora,127767,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP,2019,01,5Fla3zyOCcIRqrDoKLU0DP
37,Better Now,Post Malone,116877,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019,01,7dt6x5M1jzdTEt8oCbisTK
38,Girls Like You (feat. Cardi B),Maroon 5,115487,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019,01,6V1bu6o1Yo5ZXnsCJU8Ovk
39,2002,Anne-Marie,111547,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2019,01,2BgEsaKNfHUdlh97KmvFyo
40,Ruin My Life,Zara Larsson,109897,https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,2019,01,5tAa8Uaqr4VvA3693mbIhU
41,imagine,Ariana Grande,109259,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,2019,01,39LmTF9RgyakzSYX8txrow
42,"Swan Song - From the Motion Picture ""Alita: Battle Angel""",Dua Lipa,108333,https://open.spotify.com/track/5600nq7TiBraBX2jobyJ3l,2019,01,5600nq7TiBraBX2jobyJ3l
43,6 Figures,Kings,107667,https://open.spotify.com/track/1Q8OgsmxcnoGev6T7KUenD,2019,01,1Q8OgsmxcnoGev6T7KUenD
44,Taste (feat. Offset),Tyga,106580,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,2019,01,5IaHrVsrferBYDm0bDyABy
45,lovely,Billie Eilish,105689,https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,2019,01,0u2P5u6lvoDfwTYjAADbn4
46,Drip Too Hard (Lil Baby & Gunna),Lil Baby,104241,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,2019,01,78QR3Wp35dqAhFEc2qAGjE
47,Nights Like This (feat. Ty Dolla $ign),Kehlani,103472,https://open.spotify.com/track/7e4KQkp5ZR1gXCAalRjX6B,2019,01,6ZRuF2n1CQxyxxAAWsKJOy
48,Lost in the Fire,Gesaffelstein,101648,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG,2019,01,2vXKRlJBXyOcvZYTdNeckS
49,Bohemian Rhapsody - Remastered 2011,Queen,99163,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019,01,7tFiyTwD0nx5a1eklYtX2J
50,Look Back at It,A Boogie Wit da Hoodie,96270,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,2019,01,3Ol2xnObFdKV9pmRD2t9x8
51,Leave Me Alone,Flipp Dinero,94961,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,2019,01,6V7g6qM8wheMivMWrzbPTM
52,7 Minutes,Dean Lewis,91476,https://open.spotify.com/track/2BkyYZmU4JuWW2sYi9EzpC,2019,01,2BkyYZmU4JuWW2sYi9EzpC
53,Money,Cardi B,89209,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,2019,01,2GGMabyHXnJmjY6CXhhB2e
54,i'm so tired...,Lauv,88249,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,2019,01,4vjpLMyL3ZO6aphdYr8XYw
55,Rise,Jonas Blue,88050,https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx,2019,01,69Sy7207dnixZ6w7RSV9Kb
56,In My Mind,Dynoro,87904,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019,01,0E9ZjEAyAwOXZ7wJC0PD33
57,SAD!,XXXTENTACION,85056,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2019,01,3ee8Jmje8o58CHK66QrVC2
58,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,84505,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2019,01,2LskIZrCeLxRvCiGP8gxlh
59,rockstar (feat. 21 Savage),Post Malone,84500,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019,01,0e7ipj03S05BNilyu5bRzt
60,Wake Up in the Sky,Gucci Mane,84449,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,2019,01,0QIjsbm2fh1cJ45XO9eGqq
61,Lucid Dreams,Juice WRLD,81834,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,2019,01,285pBltuF7vW8TeWk8hdRR
62,1999,Charli XCX,81333,https://open.spotify.com/track/05mAIVLkIWc2d1UBYZBCp8,2019,01,2QSUyofqpGDCo026OPiTBQ
63,I Fall Apart,Post Malone,78513,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,2019,01,75ZvA4QfFiZvzhj2xkaWAh
64,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,78358,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,01,4w8niZpiMy6qz1mntFA5uM
65,a lot,21 Savage,77411,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,2019,01,2t8yVaLvJ0RenpXUIAC52d
66,This Feeling,The Chainsmokers,76938,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl,2019,01,4NBTZtAt1F13VvlSKe6KTl
67,Moonlight,XXXTENTACION,75356,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,2019,01,0JP9xo3adEtGSdUEISiszL
68,3 Nights,Dominic Fike,73797,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u,2019,01,1tNJrcVe6gwLEiZCtprs1u
69,Lost In Japan - Remix,Shawn Mendes,73099,https://open.spotify.com/track/575NJxNUVDqwJGdzBrlLbv,2019,01,575NJxNUVDqwJGdzBrlLbv
70,Psycho (feat. Ty Dolla $ign),Post Malone,71655,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,2019,01,3swc6WTsr7rl9DqQKQA55C
71,Africa,TOTO,71609,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX,2019,01,2374M0fQpWi3dLnB54qaLX
72,I'll Be There,Jess Glynne,71229,https://open.spotify.com/track/73FebDuELlAEinHw1xWJCZ,2019,01,4r1CoAATVuxag55Ct3Y1aX
73,no tears left to cry,Ariana Grande,70639,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,2019,01,2qT1uLXPVPzGgFOx4jtEuo
74,Keanu Reeves,Logic,68853,https://open.spotify.com/track/25F6MWrnFBCXVnpN4n76EK,2019,01,3PYx9Wte3jwb48V0wArMOy
75,whoa (mind in awe),XXXTENTACION,68693,https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa,2019,01,7pdF27mSDuPWhppnHAmWHa
76,Ready Or Not,Church & AP,68465,https://open.spotify.com/track/2TejqRoFYkv0j77YGqnhFs,2019,01,5xvUgoVED1F4mBu8FL0HaW
77,Don’t Give It Up,SIX60,68066,https://open.spotify.com/track/5YOqfElMeshCt5oRk4yAgx,2019,01,0gTJK4pCZMh8PxYdaAgf2B
78,I Like Me Better,Lauv,67065,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2019,01,2P91MQbaiQOfbiz9VqhqKQ
79,Jocelyn Flores,XXXTENTACION,66773,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,2019,01,7m9OqQk4RVRkw9JJdeAw96
80,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,66125,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z,2019,01,7ycWLEP1GsNjVvcjawXz3z
81,Dreams - 2004 Remaster,Fleetwood Mac,66099,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz,2019,01,0ofHAoxe9vBkTCp2UQIavz
82,I Like It,Cardi B,65896,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,2019,01,58q2HKrzhC3ozto2nDdN4z
83,Toto,Drax Project,65891,https://open.spotify.com/track/5JH1NuPiHEB0Wl03rLHNq7,2019,01,2374M0fQpWi3dLnB54qaLX
84,God's Plan,Drake,65506,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,2019,01,6DCZcSspjsKoFjzjrWoCdn
85,Shape of You,Ed Sheeran,65327,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2019,01,7qiZfU4dY1lWllzX7mPBI3
86,Woman Like Me (feat. Nicki Minaj),Little Mix,65141,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED,2019,01,222B3aljXx6fFwKmFjuBED
87,I Love It (& Lil Pump),Kanye West,65139,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,2019,01,4S8d14HvHb70ImctNgVzQQ
88,Drift Away,Sons Of Zion,63513,https://open.spotify.com/track/2bx4jOMWpCbemnnRWfsMbx,2019,01,0RFgvrhkf9FiDRLA0BhzpZ
89,breathin,Ariana Grande,63235,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J,2019,01,4OafepJy2teCjYJbvFE60J
90,Woke Up Late,Drax Project,62754,https://open.spotify.com/track/4wrct9Dl3MSuszkggIpvbK,2019,01,4oPWkP9zQ5ANBbfdHGOvKF
91,Beautiful (feat. Camila Cabello),Bazzi,62421,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,2019,01,4VUwkH455At9kENOfzTqmF
92,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,62282,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e,2019,01,7iDa6hUg2VgEL1o1HjmfBn
93,Thotiana,Blueface,62202,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G,2019,01,5GBuCHuPKx6UC7VsSPK0t3
94,bury a friend,Billie Eilish,61849,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP,2019,01,4SSnFejRGlZikf02HLewEF
95,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,61722,https://open.spotify.com/track/20ZP3Om9DvDazXrNUC7WM2,2019,01,5CLGzJsGqhCEECcpnFQA8x
96,Lie To Me (feat. Julia Michaels),5 Seconds of Summer,61688,https://open.spotify.com/track/6GzApXoBQiiAjak3tOQfV3,2019,01,6GzApXoBQiiAjak3tOQfV3
97,How To Fly,Sticky Fingers,61286,https://open.spotify.com/track/3jAoLij05OiNndX2XlSRdS,2019,01,6I3Evf3nNhxFA5lSM37Y0v
98,idontwannabeyouanymore,Billie Eilish,60908,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu,2019,01,41zXlQxzTi6cGAjpOXyLYH
99,In My Feelings,Drake,60878,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2019,01,2G7V7zsVDxg1yRsu7Ew9RJ
100,Love Lies (with Normani),Khalid,60250,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk,2019,01,45Egmo7icyopuzJN0oMEdk
101,Closer,SIX60,59793,https://open.spotify.com/track/1kpSmoMmNm3pcCU7MTTpoJ,2019,01,7BKLCZ1jbUBVqRi2FVlTVw
102,Faucet Failure,Ski Mask The Slump God,58952,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN,2019,01,1ThmUihH9dF8EV08ku5AXN
103,Thunder,Imagine Dragons,58451,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,2019,01,1zB4vmk8tFRmM9UULNzbLB
104,Go Your Own Way - 2004 Remaster,Fleetwood Mac,58297,https://open.spotify.com/track/07GvNcU1WdyZJq3XxP0kZa,2019,01,4xh7W7tlNMIczFhupCPniY
105,The Middle,Zedd,57799,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,2019,01,6GG73Jik4jUlQCkKg9JuGO
106,Falling Down - Bonus Track,Lil Peep,57744,https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9,2019,01,4jvjzW7Hm0yK4LvvE0Paz9
107,Don’t Forget Your Roots,SIX60,57581,https://open.spotify.com/track/5mUiad5pDU1wFvIbtKgJKB,2019,01,47xUzcYTwMWy9O273o2JeU
108,ocean eyes,Billie Eilish,57529,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,2019,01,7hDVYcQq6MxkdJGweuCtl9
109,broken,lovelytheband,57384,https://open.spotify.com/track/6XcfKZvJio9Z0fQy11GnNX,2019,01,4W8sUeokQKfHt1uTXp0Jq0
110,Mr. Brightside,The Killers,57104,https://open.spotify.com/track/7oK9VyNzrYvRFo7nQEYkWN,2019,01,7oK9VyNzrYvRFo7nQEYkWN
111,Say You Won't Let Go,James Arthur,56781,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2019,01,5uCax9HTNlzGybIStD3vDh
112,Trip,Ella Mai,56004,https://open.spotify.com/track/6CTWathupIiDs7U4InHnDA,2019,01,6CTWathupIiDs7U4InHnDA
113,Whatchamacallit (feat. Chris Brown),Ella Mai,55976,https://open.spotify.com/track/1YLfaRr3QIW1fF3nvDO0gX,2019,01,1YLfaRr3QIW1fF3nvDO0gX
114,Young Dumb & Broke,Khalid,55482,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,2019,01,5Z3GHaZ6ec9bsiI5BenrbY
115,Rum Rage,Sticky Fingers,54980,https://open.spotify.com/track/5uBK8Ap1BCEc4GgMcEjeic,2019,01,3OwsQhfC9eJdOlD3IO74l4
116,Another One Bites The Dust - Remastered 2011,Queen,54952,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,2019,01,57JVGBtBLCfHw2muk5416J
