Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Valence,Energy
1,7 rings,Ariana Grande,562985,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF,2019,1,6ocbgoVGwYJhOv1GgI9NsF,0.778,0.317,0.327
2,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,389293,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,1,3KkXRkHbMCARz0aVfEt68P,0.76,0.479,0.913
3,Wow.,Post Malone,345858,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,7xQAfvXzm3AkraOtGPWIZg,0.829,0.539,0.388
4,Without Me,Halsey,280760,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,7lQ8MOhq6IN2w8EYcFNSUk,0.908,0.669,0.662
5,Sweet but Psycho,Ava Max,276126,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,1,7DnAm9FOTWE3cUvso43HhI,0.72,0.706,0.62
6,Dancing With A Stranger (with Normani),Sam Smith,255702,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019,1,6Qs4SXO9dwPj5GKvVOv8Ki,0.741,0.52,0.347
7,MIDDLE CHILD,J. Cole,255285,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2019,1,2JvzF1RMd7lE3KmFlsyZD8,0.837,0.364,0.463
8,"thank u, next",Ariana Grande,242611,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,3e9HZxeyfWwjeyPAMmWSSQ,0.717,0.653,0.412
9,Shallow,Lady Gaga,216270,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,1,2VxeLyX666F8uXCJ0dZF8B,0.572,0.385,0.323
10,Better,Khalid,211450,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019,1,6gdLyYNuhWBzqwlOFSsXC7,0.552,0.225,0.67
11,Eastside (with Halsey & Khalid),benny blanco,207336,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,1,0d2iYfpKoM0QCKvcLCkBao,0.56,0.68,0.319
12,Shotgun,George Ezra,202426,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,2019,1,4ofwffwvvnbSkrMSCKQDaC,0.672,0.735,0.754
13,Happier,Marshmello,184880,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,2dpaYNEQHiRxtZbfNsse99,0.687,0.792,0.671
14,Saturday Nights,Khalid,180175,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019,1,5kfNriitmkNE8mUbZ7gbq8,0.551,0.44,0.341
15,Body (feat. brando),Loud Luxury,177533,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019,1,0BrDfbNc3HiIHPGfTT8DRc,0.752,0.763,0.593
16,Giant (with Rag'n'Bone Man),Calvin Harris,174479,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,2019,1,5itOtNx0WxtJmi1TQ3RuRd,0.807,0.887,0.606
17,SICKO MODE,Travis Scott,172585,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,1,2xLMifQCjDGFmkHkpNLD9h,0.834,0.73,0.446
18,Soaked,Bene,168395,https://open.spotify.com/track/70TEuKwiK0bd5phEQkbvT4,2019,1,4zIiarkbaDt2cm6sukb1Xt,0.793,0.588,0.601
