,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Tusa,"KAROL G",3265423,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
2,+,Aitana,2478692,https://open.spotify.com/track/5Cbo7oz78gqkzV3EAM63VA
3,"Alocao (With Bad Gyal)","Omar Montes",2466603,https://open.spotify.com/track/6RyuoOJXNzlVWpfC5xQyeI
4,"Dance Monkey","Tones And I",2121185,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
5,Vete,"Bad Bunny",1972427,https://open.spotify.com/track/5DxXgozhkPLgrbKFY91w0c
6,Zorra,"Bad Gyal",1881017,https://open.spotify.com/track/0OP1RzrglC008kj79Httv3
7,Indeciso,Reik,1812105,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
8,"RITMO (Bad Boys For Life)","Black Eyed Peas",1737084,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
9,"Whine Up","Nicky Jam",1699267,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
10,China,"Anuel AA",1682065,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
11,Blanco,"J Balvin",1614600,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
12,Aventura,Lunay,1529104,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
13,"Si por mi fuera",Beret,1426177,https://open.spotify.com/track/3W87IIdSOE63W0Qyhy7r2b
14,"Easy - Remix","Jhay Cortez",1403156,https://open.spotify.com/track/0Cn8NxJZz7zUlsaA3rXoIU
15,"Hola - Remix",Dalex,1398636,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
16,Fantasias,"Rauw Alejandro",1375728,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
17,Rueda,Chimbala,1231875,https://open.spotify.com/track/71NGDQ9vSPXm55pyWeAxKK
18,"Adicto (with Anuel AA & Ozuna)",Tainy,1168751,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
19,"Hasta Que Salga el Sol",Ozuna,1133210,https://open.spotify.com/track/0dDboLfmRNsTBscy4j3Rnl
20,"All I Want for Christmas Is You","Mariah Carey",1128849,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
21,"Yo x Ti, Tu x Mi",ROSALÍA,1087710,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
22,"Se iluminaba","Fred De Palma",1054565,https://open.spotify.com/track/3VPOZWtj8mM89IiRNygxgS
23,"Fuera De Mi Mente",Lérica,1027113,https://open.spotify.com/track/7bsqRe39lKOYX45FZpzP9o
24,"Te Quemaste","Manuel Turizo",1018314,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC
25,"La Cama",Lunay,993361,https://open.spotify.com/track/0OoqRZXnSrgIUAha3iLKG1
26,"La Rubia - Remix 2","La Nueva Escuela",969764,https://open.spotify.com/track/7KKTnv81z6DmfPIGsZWjOW
27,Prendío,Rvfv,936348,https://open.spotify.com/track/1pUq8PePQRODKRKwY2nvC8
28,"Bellaquita - Remix",Dalex,932420,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
29,"Si Te Vas",Sech,928968,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
30,Fantasía,Ozuna,918434,https://open.spotify.com/track/40rXWke6SnXiGkSmaT8ZUr
31,"Perreo en La Luna","Rich Music LTD",898676,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV
32,Quizas,"Rich Music LTD",890999,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
33,"Sigues Con El","Dímelo Flow",883228,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
34,"B11 (feat. Myke Towers)",Rvssian,873206,https://open.spotify.com/track/4o1DxRjMCHDwBiOKv88rOl
35,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",811376,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
36,Callaita,"Bad Bunny",782764,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
37,"A Dónde Vamos",Morat,770311,https://open.spotify.com/track/671sG3ETDxC3L6qcGIrHRM
38,"Last Christmas",Wham!,760415,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
39,"Otro Trago - Remix",Sech,754284,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
40,"Contando Lunares (feat. Cruz Cafuné)","Don Patricio",751813,https://open.spotify.com/track/6uW0PIRcyZLvkoonm763xD
