,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Dance Monkey","Tones And I",408151,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
2,Circles,"Post Malone",325130,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
3,Señorita,"Shawn Mendes",271772,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
4,"Catching Feelings (feat. Six60)","Drax Project",257551,https://open.spotify.com/track/02VHspkXhhH1QCInRWWIfr
5,"Beautiful People (feat. Khalid)","Ed Sheeran",225584,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
6,"The Greatest",SIX60,213303,https://open.spotify.com/track/0xEaVqAEKMgdxza2tkOeFB
7,"Someone You Loved","Lewis Capaldi",205902,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
8,"Goodbyes (Feat. Young Thug)","Post Malone",196707,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
9,"How Do You Sleep?","Sam Smith",196273,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y
10,Lalala,Y2K,185763,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
11,"No Guidance (feat. Drake)","Chris Brown",183346,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
12,Ransom,"Lil Tecca",181626,https://open.spotify.com/track/6EOKwHETwSkZ9gW2b6ASE0
13,"It's You","Ali Gatie",180231,https://open.spotify.com/track/6moU77g9RQyMzHNuKEaQKq
14,"Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey)","Ariana Grande",169328,https://open.spotify.com/track/3NkJNL3WqO1Lqc3uNDxvCN
15,Engineers,"Hp Boyz",168187,https://open.spotify.com/track/2WKAty6EEiV8Lt8dAnRAdy
16,"Slide Away","Miley Cyrus",167784,https://open.spotify.com/track/44ADyYoY5liaRa3EOAl4uf
17,"Truth Hurts",Lizzo,167019,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
18,"I Don't Care (with Justin Bieber)","Ed Sheeran",162604,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
19,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",154084,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
20,"fuck, i'm lonely",Lauv,152883,https://open.spotify.com/track/322tcqPhma7F6hfCeLisx0
21,Panini,"Lil Nas X",151282,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
22,Saint-Tropez,"Post Malone",148482,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
23,"The Git Up","Blanco Brown",145631,https://open.spotify.com/track/5dW1VZPcFqB4n0P08rGDgm
24,"bad guy","Billie Eilish",140290,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
25,"boyfriend (with Social House)","Ariana Grande",136248,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t
26,"Good as Hell",Lizzo,134124,https://open.spotify.com/track/3Yh9lZcWyKrK9GjbhuS0hR
27,"Old Town Road - Remix","Lil Nas X",133856,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG
28,Motivation,Normani,132751,https://open.spotify.com/track/0rIAC4PXANcKmitJfoqmVm
29,Lover,"Taylor Swift",131414,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI
30,"hot girl bummer",blackbear,130720,https://open.spotify.com/track/7aiClxsDWFRQ0Kzk5KI5ku
31,Teeth,"5 Seconds of Summer",126929,https://open.spotify.com/track/26wLOs3ZuHJa2Ihhx6QIE6
32,Liar,"Camila Cabello",122801,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
33,"Piece Of Your Heart",MEDUZA,120433,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
34,"Higher Love",Kygo,118736,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
35,I.F.L.Y.,Bazzi,116621,https://open.spotify.com/track/4a6q8CR2hzLk2plDkSxkfD
36,Graveyard,Halsey,114345,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
37,"Take What You Want (feat. Ozzy Osbourne & Travis Scott)","Post Malone",114201,https://open.spotify.com/track/7CZyCXKG6d5ALeq41sLzbw
38,Memories,"Maroon 5",109377,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
39,"3 Nights","Dominic Fike",108100,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
40,"Talk (feat. Disclosure)",Khalid,105425,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq
41,"All This Time","Drax Project",103678,https://open.spotify.com/track/5pWsEZcRSwl1XOOIa52AIV
42,Shallow,"Lady Gaga",102594,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
43,"Bad N Bouj","Hp Boyz",101812,https://open.spotify.com/track/3XV2EL4JquJ7BEA4Tyi8Gl
44,"Eastside (with Halsey & Khalid)","benny blanco",101210,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
45,"Money In The Grave (Drake ft. Rick Ross)",Drake,100702,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
46,"Dreams - 2004 Remaster","Fleetwood Mac",100494,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
47,"Enemies (feat. DaBaby)","Post Malone",98085,https://open.spotify.com/track/0Xek5rqai2jcOWCYWJfVCF
48,"Kia Mau Ki Tō Ūkaipō / Don't Forget Your Roots",SIX60,97793,https://open.spotify.com/track/31IswXMaj0dtqfbA8NuGqJ
49,Wow.,"Post Malone",96570,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg
50,"223's (feat. 9lokknine)","YNW Melly",96117,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI
51,"The London (feat. J. Cole & Travis Scott)","Young Thug",95603,https://open.spotify.com/track/3s4mrPrEFFPF0LmAfutW0n
52,"South of the Border (feat. Camila Cabello & Cardi B)","Ed Sheeran",90796,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk
53,"Hollywood's Bleeding","Post Malone",90145,https://open.spotify.com/track/7sWRlDoTDX8geTR8zzr2vt
54,"Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)","Megan Thee Stallion",83384,https://open.spotify.com/track/5N1o6d8zGcSZSeMFkOUQOk
55,"Go Your Own Way - 2004 Remaster","Fleetwood Mac",78622,https://open.spotify.com/track/07GvNcU1WdyZJq3XxP0kZa
56,"Only Human","Jonas Brothers",77323,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk
57,"Cross Me (feat. Chance the Rapper & PnB Rock)","Ed Sheeran",76885,https://open.spotify.com/track/4wuCQX7JvAZLlrcmH4AeZF
58,Vibes,SIX60,76831,https://open.spotify.com/track/5EKITWJXROxWdc0bcRrMLy
59,"If I Can't Have You","Shawn Mendes",74433,https://open.spotify.com/track/2bT1PH7Cw3J9p3t7nlXCdh
60,Better,Khalid,74177,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
61,"Right Back (feat. A Boogie Wit Da Hoodie)",Khalid,73551,https://open.spotify.com/track/6PYnUsNEpYC7A4BS2sjw3L
62,Youngblood,"5 Seconds of Summer",72322,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
63,Sucker,"Jonas Brothers",71556,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD
64,"RNP (feat. Anderson .Paak)",Cordae,71546,https://open.spotify.com/track/5lw8Mgb4LyhriPIC86gV6e
65,"Die For Me (feat. Future & Halsey)","Post Malone",70757,https://open.spotify.com/track/2C6WXnmZ66tHhHlnvwePiK
66,Shotgun,"George Ezra",70749,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
67,"One Thing Right",Marshmello,70711,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4
68,Paradise,Bazzi,70587,https://open.spotify.com/track/0Rx0DJI556Ix5gBny6EWmn
69,"Don’t Forget Your Roots",SIX60,69823,https://open.spotify.com/track/5mUiad5pDU1wFvIbtKgJKB
70,"You Need To Calm Down","Taylor Swift",68976,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5
71,Happier,Marshmello,68699,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
72,"The Chain - 2004 Remaster","Fleetwood Mac",68369,https://open.spotify.com/track/5e9TFTbltYBg2xThimr0rU
73,"Takeaway (feat. Lennon Stella)","The Chainsmokers",68138,https://open.spotify.com/track/6wo37KVqFJhtuxPTpLCcfe
74,"Ride It",Regard,68024,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
75,Juicy,"Doja Cat",67777,https://open.spotify.com/track/4cTm3Ev9bUvy4ChJjB1nhl
76,"Saturday Nights",Khalid,67570,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
77,"Come Home","Sons Of Zion",67365,https://open.spotify.com/track/2ASU8fV9hVvE2Aa0r8lrwE
78,"Bohemian Rhapsody - Remastered 2011",Queen,66173,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
79,Give,"Stan Walker",65799,https://open.spotify.com/track/1a7iNqElTpHdq92rZ2WYyG
80,"Rescue Me",OneRepublic,64993,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
81,Soaked,BENEE,64780,https://open.spotify.com/track/4zIiarkbaDt2cm6sukb1Xt
82,"Remember The Name (feat. Eminem & 50 Cent)","Ed Sheeran",64452,https://open.spotify.com/track/0AtP8EkGPn6SwxKDaUuXec
83,"On The Road (feat. Meek Mill & Lil Baby)","Post Malone",63823,https://open.spotify.com/track/12Fkyg9lpmaz2zmKOfw2Y2
84,Africa,TOTO,62998,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX
85,"The Weekend - Funk Wav Remix",SZA,62775,https://open.spotify.com/track/0P6AWOA4LG1XOctzaVu5tt
86,"Dancing With A Stranger (with Normani)","Sam Smith",62037,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
87,Feelings,Lauv,61879,https://open.spotify.com/track/0y675KDleCZEudjoeL1sQQ
88,"SICKO MODE","Travis Scott",61681,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
89,"lovely (with Khalid)","Billie Eilish",61531,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
90,"Ladz in the Hood",ONEFOUR,61444,https://open.spotify.com/track/0Exfrf3nRw9SXpls2n8KFB
91,"Rocket Man (I Think It's Going To Be A Long, Long Time)","Elton John",60790,https://open.spotify.com/track/3gdewACMIVMEWVbyb8O9sY
92,"Be Honest (feat. Burna Boy)","Jorja Smith",59758,https://open.spotify.com/track/5pAbCxt9e3f81lOmjIXwzd
93,"I Like Me Better",Lauv,59286,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
94,"Mr. Brightside","The Killers",59113,https://open.spotify.com/track/7d8GetOsjbxYnlo6Y9e5Kw
95,"My Type",Saweetie,59029,https://open.spotify.com/track/5KBARWIxeMGkvUax9VtVC9
96,"Everywhere - 2017 Remaster","Fleetwood Mac",58912,https://open.spotify.com/track/254bXAqt3zP6P50BdQvEsq
97,"Say You Won't Let Go","James Arthur",58827,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
98,"when the party's over","Billie Eilish",58748,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
99,"rockstar (feat. 21 Savage)","Post Malone",58460,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
100,"Don't Stop Believin'",Journey,58152,https://open.spotify.com/track/4bHsxqR3GMrXTxEPLuK5ue
101,"Don’t Give It Up",SIX60,58071,https://open.spotify.com/track/5YOqfElMeshCt5oRk4yAgx
102,"MIDDLE CHILD","J. Cole",58062,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
103,"Be Alright","Dean Lewis",57858,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
104,"Without Me",Halsey,57822,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
105,"I Fall Apart","Post Malone",57544,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
106,"Love Me","Lil Tecca",57449,https://open.spotify.com/track/3TLwAp3uX1nKsVxrDhNPOL
107,"Body (feat. brando)","Loud Luxury",57340,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
108,"Ransom (with Juice WRLD) - Remix","Lil Tecca",57065,https://open.spotify.com/track/0DZJACISivjWjscIp5Kg1q
109,"Don't Check On Me (feat. Justin Bieber & Ink)","Chris Brown",56417,https://open.spotify.com/track/7ILEWkpfdK6AjH2D7jppWk
110,2002,Anne-Marie,56195,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
111,"7 rings","Ariana Grande",56108,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
112,Juice,Lizzo,55311,https://open.spotify.com/track/0k664IuFwVP557Gnx7RhIl
113,Easier,"5 Seconds of Summer",54847,https://open.spotify.com/track/4tNXntkAzQ5A2dfYRYGIIQ
114,"How To Fly","Sticky Fingers",54643,https://open.spotify.com/track/3jAoLij05OiNndX2XlSRdS
115,"Never Really Over","Katy Perry",54536,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0
116,"Shape of You","Ed Sheeran",54282,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
117,Glitter,BENEE,53150,https://open.spotify.com/track/23TPP1eeElFfvYVznskwCY
118,"Spot the Difference",ONEFOUR,53096,https://open.spotify.com/track/587Cj6WZ9NTCfYhpmVkGID
119,"Post Malone (feat. RANI)","Sam Feldt",52791,https://open.spotify.com/track/36orMWv2PgvnzXsd5CJ0yL
120,"Hotel California - 2013 Remaster",Eagles,52765,https://open.spotify.com/track/40riOy7x9W7GXjyGp4pjAv
121,"i'm so tired...",Lauv,52653,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
122,EARFQUAKE,"Tyler, The Creator",52534,https://open.spotify.com/track/5hVghJ4KaYES3BFUATCYn0
123,Blueprint,"Hp Boyz",52272,https://open.spotify.com/track/7g5P2Jf8eUBBPKXqC1SPKG
124,"Tiny Dancer","Elton John",52229,https://open.spotify.com/track/2TVxnKdb3tqe1nhQWwwZCO
125,"Better Now","Post Malone",51983,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
126,"Let Me Down Slowly","Alec Benjamin",51958,https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d
127,Camelot,"NLE Choppa",51696,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
128,"Always Remember Us This Way","Lady Gaga",51464,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk
129,"Sweet but Psycho","Ava Max",51245,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
130,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",51050,https://open.spotify.com/track/2Rk4JlNc2TPmZe2af99d45
131,"Antisocial (with Travis Scott)","Ed Sheeran",50952,https://open.spotify.com/track/1DhRbox3xkceP64k3JeYfW
132,"Go Loko (feat. Tyga, Jon Z)",YG,50906,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
133,Shameless,"Camila Cabello",50801,https://open.spotify.com/track/3UYiU57SMiAS5LqolhHJw1
134,"Taste (feat. Offset)",Tyga,50658,https://open.spotify.com/track/2toVe5hfuIi97ytDPDbQFt
135,"Old Town Road","Lil Nas X",50585,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH
136,"Call You Mine","The Chainsmokers",50357,https://open.spotify.com/track/1SNiXDwSilLujcYdvfqVpT
137,"Rum Rage","Sticky Fingers",50182,https://open.spotify.com/track/5uBK8Ap1BCEc4GgMcEjeic
138,"SOS (feat. Aloe Blacc)",Avicii,50031,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
139,"Lucid Dreams","Juice WRLD",49290,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
140,"Sweet Home Alabama","Lynyrd Skynyrd",49067,https://open.spotify.com/track/7e89621JPkKaeDSTQ3avtg
141,"Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie",49033,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6
142,"Party In The U.S.A.","Miley Cyrus",48978,https://open.spotify.com/track/3E7dfMvvCLUddWissuqMwr
143,"A Thousand Bad Times","Post Malone",48076,https://open.spotify.com/track/2J0NXdHr6MYvKDSxB7k3V2
144,Wanted,OneRepublic,47681,https://open.spotify.com/track/6hLkeOMrhZ2CMLBp2of576
145,"Brown Eyed Girl","Van Morrison",47357,https://open.spotify.com/track/3yrSvpt2l1xhsV9Em88Pul
146,"Behind Barz - Bonus",Drake,47316,https://open.spotify.com/track/4B7fTyj1FIPvP9tT5X3DnR
147,Landslide,"Fleetwood Mac",47165,https://open.spotify.com/track/5ihS6UUlyQAfmp48eSkxuQ
