,Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Energy,Valence,Stream %,Danceability_Stream%,Valence_Stream%,Energy_Stream%
0,1,Hobby Hobby,MERO,7774110,https://open.spotify.com/track/260R90ctQ1SiPax90PuEsT,2019,1,0dmrz4V5kiezQAqQ3VqGob,0.743,0.742,0.851,0.0017200246552465403,0.0012779783188481793,0.0014637409816148058,0.001276258294192933
1,2,DODI,Shindy,3942856,https://open.spotify.com/track/63THFs9ovzO3WQsz4lzh0H,2019,1,45h4w81P5iJJTSeR0jJUQ8,0.479,0.154,0.23199999999999998,0.0008723583190984888,0.0004178596348481761,0.0002023871300308494,0.00013434318114116726
2,3,Benzema,Capital Bra,3592118,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E,2019,1,0gyO8zq1Hw5GTQ33EXcc40,0.785,0.6990000000000001,0.28600000000000003,0.0007947574094725816,0.0006238845664359766,0.00022730061910915836,0.0005555354292213346
3,4,Wenn die Sonne untergeht,Azet,3366951,https://open.spotify.com/track/23N0z3XkwS2ErcNKsgCWAb,2019,1,23N0z3XkwS2ErcNKsgCWAb,0.609,0.8290000000000001,0.39399999999999996,0.0007449391291102124,0.0004536679296281194,0.0002935060168694237,0.0006175545380323661
4,5,Warnung,Kontra K,3063451,https://open.spotify.com/track/3OgD9c7c6GhEWUK660Ezbr,2019,1,64SCQtbRtmO28ks1QhS3w5,0.633,0.664,0.268,0.0006777896441058422,0.0004290408447189981,0.00018164762462036572,0.0004500523236862792
5,6,7 rings,Ariana Grande,2921478,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF,2019,1,6ocbgoVGwYJhOv1GgI9NsF,0.778,0.317,0.327,0.0006463780663973563,0.0005028821356571432,0.00021136562771193552,0.00020490184704796197
6,7,JAJA,Fero47,2921165,https://open.spotify.com/track/5z3vuYzS9UF6rD6TmBEdUf,2019,1,1FmOWhvlAerXKE8xCZUOgy,0.691,0.802,0.586,0.0006463088150339087,0.0004465993911884309,0.00037873696560987045,0.0005183396696571948
7,8,Sweet but Psycho,Ava Max,2793523,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,1,7DnAm9FOTWE3cUvso43HhI,0.72,0.706,0.62,0.0006180679762697313,0.00044500894291420656,0.00038320214528723344,0.0004363559912464303
8,9,Baller los,MERO,2582320,https://open.spotify.com/track/1IPRghUN3LFPNbCTsfBJx9,2019,1,1uNzKXVNwq7jwV0rhjXqLB,0.636,0.593,0.527,0.0005713392359686506,0.00036337175407606177,0.00030109577735547885,0.00033880416692940975
9,10,#niemalsantäuschen,Farid Bang,2337977,https://open.spotify.com/track/4mI0sGmXHviRF9QbY4bfq7,2019,1,4mI0sGmXHviRF9QbY4bfq7,0.8859999999999999,0.596,0.474,0.0005172782586558899,0.0004583085371691184,0.0002451898946028918,0.0003082978421589104
