,Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Energy,Valence,Stream %,Danceability_Stream%,Valence_Stream%,Energy_Stream%
0,1,7 rings,Ariana Grande,71467874,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF,2019,1,6ocbgoVGwYJhOv1GgI9NsF,0.778,0.317,0.327,0.001662596593230233,0.0012935001495331213,0.0005436690859862862,0.0005270431200539839
1,2,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,33799389,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,1,3KkXRkHbMCARz0aVfEt68P,0.76,0.479,0.9129999999999999,0.0007862938388885531,0.0005975833175553004,0.0007178862749052489,0.0003766347488276169
2,3,Wow.,Post Malone,31165644,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,7xQAfvXzm3AkraOtGPWIZg,0.8290000000000001,0.539,0.38799999999999996,0.0007250235754910836,0.0006010445440821084,0.00028130914729054043,0.0003907877071896941
3,4,"thank u, next",Ariana Grande,27672341,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,3e9HZxeyfWwjeyPAMmWSSQ,0.7170000000000001,0.653,0.41200000000000003,0.000643756939982646,0.00046157372596755724,0.0002652278592728502,0.00042037328180866785
4,5,Without Me,Halsey,27576694,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,7lQ8MOhq6IN2w8EYcFNSUk,0.9079999999999999,0.669,0.662,0.0006415318510377489,0.000582510920742276,0.00042469408538698983,0.00042918480834425404
5,6,Calma - Remix,Pedro Capó,23772814,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019,1,5iwz1NiezX7WWjnCgY5TH4,0.826,0.773,0.7609999999999999,0.0005530400913828218,0.00045681111548221076,0.0004208635095423273,0.00042749999063892123
6,7,Dancing With A Stranger (with Normani),Sam Smith,22238899,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019,1,6Qs4SXO9dwPj5GKvVOv8Ki,0.741,0.52,0.34700000000000003,0.0005173557802291871,0.0003833606331498276,0.00017952245573952792,0.0002690250057191773
7,8,Sweet but Psycho,Ava Max,21711506,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,1,7DnAm9FOTWE3cUvso43HhI,0.72,0.706,0.62,0.0005050867458222944,0.00036366245699205195,0.0003131537824098225,0.00035659124255053984
8,9,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,21435790,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,4w8niZpiMy6qz1mntFA5uM,0.8420000000000001,0.8009999999999999,0.617,0.0004986726123572488,0.00041988233960480354,0.00030768100182442253,0.0003994367624981563
9,10,MIA (feat. Drake),Bad Bunny,19597964,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019,1,116H0KvKr2Zl4RPuVBruDO,0.8170000000000001,0.539,0.158,0.00045591825189383346,0.00037248521179726195,7.20350837992257e-05,0.00024573993777077626
10,11,High Hopes,Panic! At The Disco,18891709,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019,1,1rqqCSm0Qe4I9rUvWncaom,0.579,0.904,0.6809999999999999,0.0004394882520738889,0.00025446369795078166,0.00029929149966231833,0.0003972973798747956
11,12,Happier,Marshmello,18135105,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,2dpaYNEQHiRxtZbfNsse99,0.687,0.792,0.6709999999999999,0.0004218869556812697,0.0002898363385530323,0.00028308614726213195,0.0003341344688995656
12,13,Adan y Eva,Paulo Londra,17547601,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019,1,6FyRXC8tJUh863JCkyWqtk,0.767,0.7090000000000001,0.72,0.0004082195259084303,0.00031310437637176603,0.0002939180586540698,0.0002894276438690771
13,14,SICKO MODE,Travis Scott,17280171,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,1,2xLMifQCjDGFmkHkpNLD9h,0.8340000000000001,0.73,0.446,0.00040199815423410903,0.000335266460631247,0.00017929117678841262,0.0002934586525908996
14,15,Going Bad (feat. Drake),Meek Mill,17174274,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2019,1,2IRZnDFmlqMuOrYOLnZZyc,0.889,0.496,0.544,0.00039953461388263163,0.0003551862717416595,0.00021734682995215162,0.0001981691684857853
