,Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Energy,Valence,Stream %,Danceability_Stream%,Valence_Stream%,Energy_Stream%
0,1,7 rings,Ariana Grande,562985,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF,2019,1,6ocbgoVGwYJhOv1GgI9NsF,0.778,0.317,0.327,0.0014099967647350803,0.0010969774829638925,0.0004610689420683713,0.0004469689744210205
1,2,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,389293,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,1,3KkXRkHbMCARz0aVfEt68P,0.76,0.479,0.9129999999999999,0.0009749848939741089,0.0007409885194203228,0.0008901612081983613,0.00046701776421359813
2,3,Wow.,Post Malone,345858,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,7xQAfvXzm3AkraOtGPWIZg,0.8290000000000001,0.539,0.38799999999999996,0.0008662018722661269,0.0007180813521086193,0.00033608632643925717,0.0004668828091514424
3,4,Without Me,Halsey,280760,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,7lQ8MOhq6IN2w8EYcFNSUk,0.9079999999999999,0.669,0.662,0.0007031638350347188,0.0006384727622115246,0.00046549445879298385,0.00047041660563822694
4,5,Sweet but Psycho,Ava Max,276126,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,1,7DnAm9FOTWE3cUvso43HhI,0.72,0.706,0.62,0.0006915579751844877,0.0004979217421328311,0.0004287659446143824,0.0004882399304802483
5,6,Dancing With A Stranger (with Normani),Sam Smith,255702,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019,1,6Qs4SXO9dwPj5GKvVOv8Ki,0.741,0.52,0.34700000000000003,0.0006404060369926189,0.00047454087341153057,0.00022222089483643878,0.0003330111392361618
6,7,MIDDLE CHILD,J. Cole,255285,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2019,1,2JvzF1RMd7lE3KmFlsyZD8,0.8370000000000001,0.364,0.46299999999999997,0.0006393616598761868,0.0005351457093163683,0.00029602444852267444,0.00023272764419493197
7,8,"thank u, next",Ariana Grande,242611,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,3e9HZxeyfWwjeyPAMmWSSQ,0.7170000000000001,0.653,0.41200000000000003,0.0006076196081407899,0.0004356632590369464,0.00025033927855400547,0.0003967756041159358
8,9,Shallow,Lady Gaga,216270,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,1,2VxeLyX666F8uXCJ0dZF8B,0.5720000000000001,0.385,0.32299999999999995,0.0005416485347020895,0.0003098229618495952,0.0001749524767087749,0.00020853468586030447
9,10,Better,Khalid,211450,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,2019,1,6gdLyYNuhWBzqwlOFSsXC7,0.552,0.225,0.67,0.000529576837576903,0.0002923264143424505,0.00035481648117652504,0.00011915478845480319
10,11,Eastside (with Halsey & Khalid),benny blanco,207336,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,1,0d2iYfpKoM0QCKvcLCkBao,0.56,0.68,0.319,0.0005192733184953642,0.000290793058357404,0.0001656481886000212,0.0003531058565768477
11,12,Shotgun,George Ezra,202426,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,2019,1,4ofwffwvvnbSkrMSCKQDaC,0.672,0.735,0.754,0.0005069762162371349,0.0003406880173113547,0.0003822600670427997,0.00037262751893429413
12,13,Happier,Marshmello,184880,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,2dpaYNEQHiRxtZbfNsse99,0.687,0.792,0.6709999999999999,0.00046303223329968236,0.0003181031442768818,0.0003106946285440868,0.00036672152877334843
13,14,Saturday Nights,Khalid,180175,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,2019,1,5kfNriitmkNE8mUbZ7gbq8,0.551,0.44,0.341,0.0004512485538444952,0.00024863795316831686,0.00015387575686097286,0.00019854936369157787
14,15,Body (feat. brando),Loud Luxury,177533,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,2019,1,0BrDfbNc3HiIHPGfTT8DRc,0.752,0.763,0.593,0.00044463166093894693,0.0003343630090260881,0.0002636665749367955,0.00033925395729641653
15,16,Giant (with Rag'n'Bone Man),Calvin Harris,174479,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,2019,1,5itOtNx0WxtJmi1TQ3RuRd,0.807,0.887,0.606,0.00043698291342435784,0.0003526452111334568,0.00026481164553516086,0.0003876038442074054
16,17,SICKO MODE,Travis Scott,172585,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,1,2xLMifQCjDGFmkHkpNLD9h,0.8340000000000001,0.73,0.446,0.0004322393876245439,0.00036048764927886965,0.0001927787668805466,0.00031553475296591707
17,18,Soaked,Bene,168395,https://open.spotify.com/track/70TEuKwiK0bd5phEQkbvT4,2019,1,4zIiarkbaDt2cm6sukb1Xt,0.7929999999999999,0.588,0.601,0.00042174552643065775,0.00033444420245951154,0.0002534690613848253,0.00024798636954122673
18,19,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,167612,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019,1,27rdGxbavYJeBphck5MZAF,0.601,0.794,0.244,0.00041978450177318456,0.0002522904855656839,0.00010242741843265703,0.00033330889440790856
