Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Energy,Valence
1,Atrasadinha - Ao Vivo,Felipe Araújo,4193494,https://open.spotify.com/track/5EKHbW7mXcAR4hCyS3YXjb,2019,1,3tL7UqLFy2XcYW1AAA60RV,0.676,0.844,0.716
2,Jenifer,Gabriel Diniz,3640286,https://open.spotify.com/track/5ixqGGFu0hdHfErdp32QwT,2019,1,7kh64k3P9Fk4EsA6vOdwmj,0.719,0.825,0.798
3,Notificação Preferida - Ao Vivo,Zé Neto & Cristiano,3600348,https://open.spotify.com/track/2qkNnJvQvhLiZ63X1L3eFz,2019,1,3tA0vALUwrzkTgHcm9j6oJ,0.398,0.838,0.206
4,Agora é Tudo Meu,DENNIS,3492545,https://open.spotify.com/track/5yH8pYxNckOU1cxfPsMIaz,2019,1,5yH8pYxNckOU1cxfPsMIaz,0.848,0.933,0.506
5,Quem Me Dera,Márcia Fellipe,3386497,https://open.spotify.com/track/2lAyctg5FocS67eksHoyIg,2019,1,2lAyctg5FocS67eksHoyIg,0.815,0.723,0.896
6,Bebi Liguei - Ao Vivo,Marília Mendonça,3343743,https://open.spotify.com/track/1T7aSWZQIorPMzRT8jTMXc,2019,1,3RbXsVQr4jeTxvT35Hssq3,0.603,0.804,0.682
7,Parado no Bailão,MC L da Vinte,3111394,https://open.spotify.com/track/3Hb9kUdm4yf839Fle4RIdT,2019,1,3Hb9kUdm4yf839Fle4RIdT,0.828,0.599,0.478
8,Qualidade De Vida - Ao Vivo,Simone & Simaria,2943382,https://open.spotify.com/track/5Wmg5LPPJnbMsKA9fthM3l,2019,1,5Wmg5LPPJnbMsKA9fthM3l,0.832,0.833,0.853
9,Só Pra Castigar,Wesley Safadão,2840768,https://open.spotify.com/track/2X8sssaxS5GReg6945B6RW,2019,1,2X8sssaxS5GReg6945B6RW,0.681,0.94,0.648
10,"Quem Pegou, Pegou - Ao Vivo",Henrique & Juliano,2582975,https://open.spotify.com/track/0kCqaybZgYcLYxzZymmBoc,2019,1,2jxfsaODfcVQhKMZPuYK2j,0.69,0.67,0.579
11,Medley da Gaiola - DENNIS Remix,MC Kevin o Chris,2531934,https://open.spotify.com/track/7rLegaz7zKB6EtDNzcslKE,2019,1,7rLegaz7zKB6EtDNzcslKE,0.896,0.756,0.686
12,Vingança - Ao Vivo,Luan Santana,2482345,https://open.spotify.com/track/7KdcbYcVF8LkQeQcTYOixJ,2019,1,7KdcbYcVF8LkQeQcTYOixJ,0.608,0.729,0.431
13,Ouvi Dizer,Melim,2435067,https://open.spotify.com/track/1qCLx3nX25NuhfPjM5E1qV,2019,1,1qCLx3nX25NuhfPjM5E1qV,0.641,0.614,0.727
14,Vamos pra Gaiola,MC Kevin o Chris,2338095,https://open.spotify.com/track/7FiIQXpIeLo3ITfGGpb8PB,2019,1,7FiIQXpIeLo3ITfGGpb8PB,0.872,0.971,0.521
15,7 rings,Ariana Grande,2263465,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF,2019,1,6ocbgoVGwYJhOv1GgI9NsF,0.778,0.317,0.327
16,Hoje Eu Vou Parar Na Gaiola,Mc Livinho,2254959,https://open.spotify.com/track/0IQCOAw9ZAI6WnXIrl481F,2019,1,0IQCOAw9ZAI6WnXIrl481F,0.65,0.361,0.844
17,Não Fala Não pra Mim,Humberto & Ronaldo,2182022,https://open.spotify.com/track/0PaAB17axL9hn88mHiw8g0,2019,1,0PaAB17axL9hn88mHiw8g0,0.741,0.794,0.765
18,Ciumeira - Ao Vivo,Marília Mendonça,2121448,https://open.spotify.com/track/2H1liABu20HXBOmbt5SQz1,2019,1,7D5F5BzIon5zhzQrOU2pdN,0.741,0.813,0.765
19,Poesia Acústica #6: Era uma Vez,Pineapple StormTv,2094659,https://open.spotify.com/track/13Rf6RaZT13TW4xLQR3MQr,2019,1,13Rf6RaZT13TW4xLQR3MQr,0.518,0.575,0.577
