Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Valence,Energy
1,Hobby Hobby,MERO,7774110,https://open.spotify.com/track/260R90ctQ1SiPax90PuEsT,2019,1,0dmrz4V5kiezQAqQ3VqGob,0.743,0.742,0.851
2,DODI,Shindy,3942856,https://open.spotify.com/track/63THFs9ovzO3WQsz4lzh0H,2019,1,45h4w81P5iJJTSeR0jJUQ8,0.479,0.154,0.232
3,Benzema,Capital Bra,3592118,https://open.spotify.com/track/7KPGeiXWDsGEvFK62wzU8E,2019,1,0gyO8zq1Hw5GTQ33EXcc40,0.785,0.699,0.286
4,Wenn die Sonne untergeht,Azet,3366951,https://open.spotify.com/track/23N0z3XkwS2ErcNKsgCWAb,2019,1,23N0z3XkwS2ErcNKsgCWAb,0.609,0.829,0.394
5,Warnung,Kontra K,3063451,https://open.spotify.com/track/3OgD9c7c6GhEWUK660Ezbr,2019,1,64SCQtbRtmO28ks1QhS3w5,0.633,0.664,0.268
6,7 rings,Ariana Grande,2921478,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF,2019,1,6ocbgoVGwYJhOv1GgI9NsF,0.778,0.317,0.327
7,JAJA,Fero47,2921165,https://open.spotify.com/track/5z3vuYzS9UF6rD6TmBEdUf,2019,1,1FmOWhvlAerXKE8xCZUOgy,0.691,0.802,0.586
8,Sweet but Psycho,Ava Max,2793523,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,1,7DnAm9FOTWE3cUvso43HhI,0.72,0.706,0.62
9,Baller los,MERO,2582320,https://open.spotify.com/track/1IPRghUN3LFPNbCTsfBJx9,2019,1,1uNzKXVNwq7jwV0rhjXqLB,0.636,0.593,0.527
10,#niemalsantäuschen,Farid Bang,2337977,https://open.spotify.com/track/4mI0sGmXHviRF9QbY4bfq7,2019,1,4mI0sGmXHviRF9QbY4bfq7,0.886,0.596,0.474
11,HaifischNikez Allstars,LX,2292040,https://open.spotify.com/track/0kLA41xkWzzYzMIEGFuDkP,2019,1,0kLA41xkWzzYzMIEGFuDkP,0.764,0.744,0.507
12,Tausend Tattoos,Sido,1936998,https://open.spotify.com/track/2PAYSgrVOBz8RJqp9B7QLu,2019,1,1rGZd7EVl4aOClpzDLNPwy,0.652,0.818,0.373
13,High Hopes,Panic! At The Disco,1936201,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,2019,1,1rqqCSm0Qe4I9rUvWncaom,0.579,0.904,0.681
14,Without Me,Halsey,1868884,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,7lQ8MOhq6IN2w8EYcFNSUk,0.908,0.669,0.662
15,Lelele,Azet,1790073,https://open.spotify.com/track/31Zs71Yb7YoPlFx2p1uKRX,2019,1,4sd72yN6saIBXtNzQhgRf7,0.679,0.583,0.698
16,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",KitschKrieg,1765548,https://open.spotify.com/track/4Nip6oiJU24LqcUEi7u19S,2019,1,5WxzuqQCeCsFlUEStzTp3K,0.825,0.761,0.875
17,Wow.,Post Malone,1650375,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,7xQAfvXzm3AkraOtGPWIZg,0.829,0.539,0.388
18,Shem Shem & Sex,Nimo,1630472,https://open.spotify.com/track/6ujq8IjOGkbJrp09qarW1E,2019,1,6sOEMx5vECgoCAyIU9eb7b,0.793,0.805,0.591
19,500 PS,Bonez MC,1542901,https://open.spotify.com/track/4UOXo3xWnxYdTf3sFyRaUG,2019,1,4UOXo3xWnxYdTf3sFyRaUG,0.805,0.924,0.836
20,Speechless (feat. Erika Sirola),Robin Schulz,1528587,https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5,2019,1,1rCcsYnmqbMYdkG7kS9GC5,0.574,0.728,0.266
21,Be Alright,Dean Lewis,1417160,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,2019,1,3EPXxR3ImUwfayaurPi3cm,0.553,0.586,0.443
22,Zoey,Nimo,1373606,https://open.spotify.com/track/0dGSOCj6hdV5Nr0V8FjONc,2019,1,0B6ndWg43dAgJUYQwUyXft,0.694,0.306,0.567
23,Cataleya,Samra,1325238,https://open.spotify.com/track/3MrTi2XjvQCZm8V1P1ryuR,2019,1,6kxKGDfvFIdxOd7up9MKTv,0.653,0.634,0.569
25,Fading,Alle Farben,1254160,https://open.spotify.com/track/2RP8Svo0pMwZXnVcmOffDw,2019,1,4pfEpQwqTU5F5YHyoAQ8DS,0.198,0.0297,0.0523
26,In My Mind,Dynoro,1253730,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019,1,0E9ZjEAyAwOXZ7wJC0PD33,0.694,0.77,0.163
28,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,1204044,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,4w8niZpiMy6qz1mntFA5uM,0.842,0.801,0.617
29,Feuer,Capital Bra,1161690,https://open.spotify.com/track/3yuMTMJQ2gkvLhMVZLrcRV,2019,1,73JZKk0nb1WOUmh1Eo3Unc,0.491,0.966,0.223
30,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1149985,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,1,3KkXRkHbMCARz0aVfEt68P,0.76,0.479,0.913
31,Meer,Luciano,1139640,https://open.spotify.com/track/1LcvTvRfWrQjrF6aymfugd,2019,1,003BM9TvvtvlvP6QizUj5W,0.177,0.965,0.00701
32,Deine Mutter,Kool Savas,1137428,https://open.spotify.com/track/4CJKZGVo4QZH9r6fNXPWDV,2019,1,1PP5LML5URD6coZl8aNLRW,0.387,0.161,0.377
33,Farben,Kontra K,1133881,https://open.spotify.com/track/6hFmSZIw5gmn9mK4hfqozy,2019,1,2MYpDZd8sfPcvqaW5BBbmq,0.739,0.569,0.454
34,Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,1125072,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2019,1,2LskIZrCeLxRvCiGP8gxlh,0.703,0.723,0.288
35,"Crack, Koks, Piece Unternehmen",Nash,1099801,https://open.spotify.com/track/7Kl0tRgiMu5USwbZM5274a,2019,1,7Kl0tRgiMu5USwbZM5274a,0.811,0.678,0.299
36,Happier,Marshmello,1096906,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,2dpaYNEQHiRxtZbfNsse99,0.687,0.792,0.671
37,Let You Love Me,Rita Ora,1092452,https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP,2019,1,5Fla3zyOCcIRqrDoKLU0DP,0.475,0.846,0.451
38,Dior 2001,RIN,1077838,https://open.spotify.com/track/2eNSyVH3sNPiAj9WpRYK73,2019,1,6WusSsncC0Oo9sFHKwQii6,0.694,0.688,0.517
39,"thank u, next",Ariana Grande,1074507,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,3e9HZxeyfWwjeyPAMmWSSQ,0.717,0.653,0.412
41,MILLIONDOLLAR$MILE,Loredana,991749,https://open.spotify.com/track/4nBcGqwztDJ29cyHVJtXsB,2019,1,4nBcGqwztDJ29cyHVJtXsB,0.796,0.637,0.401
43,Yapma,C ARMA,967952,https://open.spotify.com/track/40U9Hj3oyCRHRY1tq2zkbS,2019,1,1194zYf7UfSXP4omxVTmPa,0.771,0.711,0.832
44,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,963332,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019,1,27rdGxbavYJeBphck5MZAF,0.601,0.794,0.244
45,Say My Name,David Guetta,952835,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,2019,1,7H6ev70Weq6DdpZyyTmUXk,0.713,0.678,0.734
46,Facetime,Dardan,944709,https://open.spotify.com/track/0oZyouBDStcJEUbTmSfys2,2019,1,55GLc4nywcX4aIlOcx1u06,0.701,0.624,0.383
47,Kokain,Bonez MC,921000,https://open.spotify.com/track/4Bj3usjRTckEJARO0dLbDf,2019,1,4Bj3usjRTckEJARO0dLbDf,0.615,0.677,0.608
48,Melodien (feat. Juju),Capital Bra,918456,https://open.spotify.com/track/5d35jcJj7WjDQBOHCHPY6t,2019,1,5d35jcJj7WjDQBOHCHPY6t,0.751,0.529,0.33
49,UFF,Veysel,913106,https://open.spotify.com/track/3Rq0ElVcisouAl71RtnTUS,2019,1,0og9wKFGgFFNQnrBe7eisG,0.647,0.792,0.306
50,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,881961,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,2019,1,5JEx7HbmvHQQswJCsoo9rA,0.575,0.758,0.493
51,Lost in the Fire,Gesaffelstein,866596,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG,2019,1,2vXKRlJBXyOcvZYTdNeckS,0.658,0.671,0.166
52,100 K (feat. Kurdo),GENT,853702,https://open.spotify.com/track/1ozcq14sW7YmG8ZQVFnqd7,2019,1,1ozcq14sW7YmG8ZQVFnqd7,0.693,0.681,0.48
