Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Energy,Valence
1,7 rings,Ariana Grande,71486,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019,1,6ocbgoVGwYJhOv1GgI9NsF,0.778,0.317,0.327
2,Shallow,Lady Gaga,67267,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,1,2VxeLyX666F8uXCJ0dZF8B,0.572,0.385,0.323
3,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,65006,https://open.spotify.com/track/7dbka99KTWke5o9hRp0JoB,2019,1,3KkXRkHbMCARz0aVfEt68P,0.76,0.479,0.913
4,"break up with your girlfriend, i'm bored",Ariana Grande,62512,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,2019,1,4kV4N9D1iKVxx1KLvtTpjS,0.726,0.554,0.335
5,Con Calma,Daddy Yankee,59178,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,2019,1,5w9c2J52mkdntKOmRLeM2m,0.737,0.86,0.656
6,Wow.,Post Malone,54174,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,7xQAfvXzm3AkraOtGPWIZg,0.829,0.539,0.388
7,Talk,Khalid,53779,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM,2019,1,161DnLWsx1i3u1JT05lzqU,0.523,0.606,0.065
8,"Duniyaa (From ""Luka Chuppi"")",Akhil,47549,https://open.spotify.com/track/2tjWCe2W7sgvS3C8NHcdtI,2019,1,2tjWCe2W7sgvS3C8NHcdtI,0.435,0.658,0.524
9,i'm so tired...,Lauv,46823,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,2019,1,4vjpLMyL3ZO6aphdYr8XYw,0.599,0.733,0.534
10,Don't Call Me Up,Mabel,46267,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,2019,1,5WHTFyqSii0lmT9R21abT8,0.674,0.881,0.234
11,Dancing With A Stranger (with Normani),Sam Smith,44080,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019,1,6Qs4SXO9dwPj5GKvVOv8Ki,0.741,0.52,0.347
12,Without Me,Halsey,43764,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,7lQ8MOhq6IN2w8EYcFNSUk,0.908,0.669,0.662
13,bury a friend,Billie Eilish,41816,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP,2019,1,4SSnFejRGlZikf02HLewEF,0.905,0.389,0.196
14,Apna Time Aayega,Ranveer Singh,41592,https://open.spotify.com/track/5uaIbU3oHHcSOK6WFNK5nj,2019,1,5uaIbU3oHHcSOK6WFNK5nj,0.766,0.618,0.513
15,BIBA,Marshmello,37911,https://open.spotify.com/track/0GVBPuCT3pBrXCdY3Uiy5B,2019,1,1gt8YXWknKt4sRNZ6SirVW,0.587,0.963,0.491
16,No Sleep (feat. Bonn),Martin Garrix,35855,https://open.spotify.com/track/1ahVFh0ViDZr8LvkEVlq3B,2019,1,1ahVFh0ViDZr8LvkEVlq3B,0.44,0.635,0.327
17,Happier,Marshmello,35115,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,2dpaYNEQHiRxtZbfNsse99,0.687,0.792,0.671
18,Who Do You Love,The Chainsmokers,34325,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8,2019,1,2fVHrSxsQbJUuj9MW9zG1e,0.51,0.846,0.475
19,Aankh Marey,Neha Kakkar,32044,https://open.spotify.com/track/2UE5pVmMGjfD5XUQTpYpD6,2019,1,63MvWd6T6yoS7h4AJ4Hjrm,0.796,0.978,0.8
20,She Move It Like,Badshah,31631,https://open.spotify.com/track/39vrbjCMTRXEdiIr2IsBgd,2019,1,39vrbjCMTRXEdiIr2IsBgd,0.832,0.477,0.844
21,MIDDLE CHILD,J. Cole,28370,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2019,1,2JvzF1RMd7lE3KmFlsyZD8,0.837,0.364,0.463
22,Lamberghini,The Doorbeen,27301,https://open.spotify.com/track/45P9g6kUb7itdonjjGjDdS,2019,1,45P9g6kUb7itdonjjGjDdS,0.953,0.584,0.861
23,"Coca Cola (From ""Luka Chuppi"")",Tony Kakkar,26603,https://open.spotify.com/track/352wEkChkiClswqwDoM0nj,2019,1,352wEkChkiClswqwDoM0nj,0.722,0.867,0.893
24,"thank u, next",Ariana Grande,26570,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,2019,1,3e9HZxeyfWwjeyPAMmWSSQ,0.717,0.653,0.412
25,Sakhiyaan,Maninder Buttar,26505,https://open.spotify.com/track/3sqRODOZ1Z6hR4F2tnFAlg,2019,1,3sqRODOZ1Z6hR4F2tnFAlg,0.706,0.674,0.359
