Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Energy,Valence
1,Calma - Remix,Pedro Capó,4623479,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019,1,5iwz1NiezX7WWjnCgY5TH4,0.826,0.773,0.761
2,Adan y Eva,Paulo Londra,3567452,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019,1,6FyRXC8tJUh863JCkyWqtk,0.767,0.709,0.72
3,Secreto,Anuel AA,3445374,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,2019,1,5W83ErFkO3aKAIS1WMi6u0,0.807,0.803,0.706
4,Desconocidos,Mau y Ricky,3125808,https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,2019,1,56f5qnyAlZdlz8wrUDA50h,0.719,0.753,0.675
5,MIA (feat. Drake),Bad Bunny,2655672,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019,1,116H0KvKr2Zl4RPuVBruDO,0.817,0.539,0.158
6,7 rings,Ariana Grande,2635917,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF,2019,1,6ocbgoVGwYJhOv1GgI9NsF,0.778,0.317,0.327
7,Te Vi,Piso 21,2504393,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd,2019,1,059bcIhyc2SBwm6sw2AZzd,0.877,0.777,0.706
8,Ella Quiere Beber - Remix,Anuel AA,2466402,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019,1,3f5lA8nnc4YYF1qf78WpHw,0.75,0.665,0.697
9,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2233322,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,4w8niZpiMy6qz1mntFA5uM,0.842,0.801,0.617
10,Baby Girl (feat. Lalo Ebratt),Mario Bautista,2145800,https://open.spotify.com/track/6o8ogTrSX8H0F66Pdz3Tsc,2019,1,6o8ogTrSX8H0F66Pdz3Tsc,0.804,0.705,0.45
11,Baila Baila Baila,Ozuna,2025530,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG,2019,1,7mWFF4gPADjTQjC97CgFVt,0.785,0.572,0.49
12,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1826499,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,1,3KkXRkHbMCARz0aVfEt68P,0.76,0.479,0.913
13,Sola,Manuel Turizo,1822331,https://open.spotify.com/track/675w3ACw5xZR3ODhUJlEVN,2019,1,0Jr4zQh5i3vrKFEcXrhhxl,0.671,0.775,0.331
14,Un Año,Sebastian Yatra,1667180,https://open.spotify.com/track/5BDP2tky8oMQJPS33frKVp,2019,1,7onmX3EZ9Vq7v68aObV2sa,0.771,0.381,0.534
15,Amigos Con Derechos,Reik,1640476,https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA,2019,1,4yVO0wOhXsZC1RuPgHP524,0.678,0.806,0.614
16,No Te Contaron Mal,Christian Nodal,1636196,https://open.spotify.com/track/1LO951RWD10l9Vys0NrFty,2019,1,7hbk4BaF66O09R1gq0bKwj,0.644,0.568,0.654
17,Ni Gucci Ni Prada,Kenny Man,1606610,https://open.spotify.com/track/32lexhcz93AinKK0qLTZaZ,2019,1,32lexhcz93AinKK0qLTZaZ,0.799,0.676,0.91
18,Imposible,Luis Fonsi,1592084,https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,2019,1,3ao3OVxHlb3C08vAaApUlm,0.786,0.764,0.913
19,A Través Del Vaso,Grupo Arranke,1569148,https://open.spotify.com/track/0oCSitNlzsQfuIapF9tXRQ,2019,1,0oCSitNlzsQfuIapF9tXRQ,0.62,0.695,0.921
20,Vaina Loca,Ozuna,1518164,https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,2019,1,48zFZh27QU5qsrBjn4C2FA,0.754,0.805,0.555
21,Bubalu,Becky G,1488954,https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,2019,1,7dNwJbsT0sg1le5kVugGJb,0.8,0.355,0.253
22,Adictiva,Daddy Yankee,1467216,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019,1,0z24gh2KYWSfahslybQC4O,0.787,0.771,0.701
23,Créeme,KAROL G,1452266,https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz,2019,1,0mqayP1Moez8gMZ06oq7rD,0.714,0.874,0.648
24,Reggaeton,J Balvin,1437729,https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2019,1,6yVkakCN460KOVol9ZazjH,0.694,0.796,0.515
25,Cuando Te Besé,Becky G,1352905,https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2019,1,2XXMDz7SPZ4mSFN1PXfHUy,0.772,0.732,0.295
26,In My Mind,Dynoro,1342047,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,2019,1,0E9ZjEAyAwOXZ7wJC0PD33,0.694,0.77,0.163
27,BEBE,6ix9ine,1321090,https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,2019,1,7D7EH7MGyNHWSkqrszerI1,0.862,0.72,0.965
28,NI BIEN NI MAL,Bad Bunny,1270147,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8,2019,1,278kSqsZIiYp8p3QjYAqa8,0.826,0.449,0.337
29,Ya No Tiene Novio,Sebastian Yatra,1250749,https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,2019,1,1riyn0cmi87k1YsBn4Lfwk,0.632,0.832,0.783
