Position,Track Name,Artist,Streams,URL,Year,Month,yyyy-mm,Stream %,Track ID,Danceability,Valence,Energy,Tempo,Danceability_Stream%,Valence_Stream%,Energy_Stream%,Tempo_Stream%
1,7 rings,Ariana Grande,5249057,https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF,2019,1,2019-01,0.03699049502589656,6ocbgoVGwYJhOv1GgI9NsF,0.778,0.327,0.317,140.048,0.028778605130147527,0.012095891873468176,0.01172598692320921,5.180444847386761
2,Sweet but Psycho,Ava Max,2874281,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,2019,1,2019-01,0.02025527195332971,7DnAm9FOTWE3cUvso43HhI,0.72,0.62,0.706,133.002,0.01458379580639739,0.012558268611064419,0.014300221999050773,2.693991680336758
3,Wow.,Post Malone,2865682,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,2019-01,0.020194674160863808,7xQAfvXzm3AkraOtGPWIZg,0.829,0.388,0.539,99.96,0.016741384879356096,0.007835533574415158,0.010884929372705594,2.018659629119946
4,Dancing With A Stranger (with Normani),Sam Smith,2746722,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019,1,2019-01,0.01935635419438589,6Qs4SXO9dwPj5GKvVOv8Ki,0.741,0.347,0.52,102.998,0.014343058458039943,0.0067166549054519025,0.010065304181080663,1.993665769313358
5,Giant (with Rag'n'Bone Man),Calvin Harris,2413175,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,2019,1,2019-01,0.017005823681114134,5itOtNx0WxtJmi1TQ3RuRd,0.807,0.606,0.887,122.015,0.013723699710659107,0.010305529150755164,0.015084165605148237,2.074965576451141
6,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,2156206,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,2019,1,2019-01,0.015194944028576619,3KkXRkHbMCARz0aVfEt68P,0.76,0.913,0.479,89.911,0.01154815746171823,0.013872983898090453,0.0072783781896882,1.3661926125533523
7,Without Me,Halsey,2125540,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,2019-01,0.014978838446095016,7lQ8MOhq6IN2w8EYcFNSUk,0.908,0.662,0.669,112.238,0.013600785309054276,0.009915991051314901,0.010020842920437567,1.6811948695128125
8,MIDDLE CHILD,J. Cole,2085001,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2019,1,2019-01,0.014693157098406313,2JvzF1RMd7lE3KmFlsyZD8,0.837,0.463,0.364,123.984,0.012298172491366083,0.006802931736562123,0.0053483091838198975,1.8217163896888082
9,"thank u, next",Ariana Grande,1927671,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2019,1,2019-01,0.0135844408885377,3e9HZxeyfWwjeyPAMmWSSQ,0.717,0.412,0.653,106.966,0.00974004411708153,0.005596789646077532,0.008870639900215119,1.4530733040833235
10,Don't Call Me Up,Mabel,1877170,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,2019,1,2019-01,0.0132285565860234,5WHTFyqSii0lmT9R21abT8,0.674,0.234,0.881,98.994,0.008916047138979772,0.003095482241129476,0.011654358352286617,1.3095477306768004
11,Options,NSG,1739794,https://open.spotify.com/track/2cytBOLpwFRX7J9URCrFIe,2019,1,2019-01,0.012260457698036936,1Q3HtTFGxjmEljAw7Y0CaR,0.808,0.328,0.768,141.006,0.009906449820013844,0.004021430124956115,0.009416031512092367,1.7287980981693962
12,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,1736829,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,2019,1,2019-01,0.012239563122544277,27rdGxbavYJeBphck5MZAF,0.601,0.244,0.794,114.066,0.007355977436649111,0.0029864534019008035,0.009718213119300156,1.3961180071361354
13,Someone You Loved,Lewis Capaldi,1619432,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc,2019,1,2019-01,0.011412257733299087,7qEHsqek33rTcFNT9PFqLf,0.501,0.446,0.405,109.891,0.005717541124382842,0.005089866949051392,0.00462196438198613,1.25410441456997
14,Play,Jax Jones,1502408,https://open.spotify.com/track/29R1IMTTbDDA3VNlk6UEW5,2019,1,2019-01,0.0105875809027921,4DpNNXFMMxQEKl7r0ykkWA,0.68,0.446,0.729,123.97,0.007199555013898629,0.004722061082645277,0.007718346478135441,1.3125424045191367
15,SICKO MODE,Travis Scott,1452188,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,1,2019-01,0.010233676828174406,2xLMifQCjDGFmkHkpNLD9h,0.834,0.446,0.73,155.008,0.008534886474697455,0.0045642198653657855,0.007470584084567316,1.5863017777816584
