Position,Track Name,Artist,Streams,URL,Year,Month,Track ID,Danceability,Energy,Valence,Stream %,Danceability_Stream%,Valence_Stream%,Energy_Stream%
1,7 rings,Ariana Grande,71486,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,2019,1,6ocbgoVGwYJhOv1GgI9NsF,0.778,0.317,0.327,6.60021664399102e-05,5.134968549025014e-05,2.1582708425850637e-05,2.0922686761451534e-05
2,Shallow,Lady Gaga,67267,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2019,1,2VxeLyX666F8uXCJ0dZF8B,0.5720000000000001,0.385,0.32299999999999995,6.210681434005876e-05,3.5525097802513615e-05,2.0060501031838974e-05,2.391112352092262e-05
3,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,65006,https://open.spotify.com/track/7dbka99KTWke5o9hRp0JoB,2019,1,3KkXRkHbMCARz0aVfEt68P,0.76,0.479,0.9129999999999999,6.0019260157132906e-05,4.5614637719421006e-05,5.479758452346234e-05,2.874922561526666e-05
4,"break up with your girlfriend, i'm bored",Ariana Grande,62512,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,2019,1,4kV4N9D1iKVxx1KLvtTpjS,0.726,0.5539999999999999,0.335,5.771657986866893e-05,4.190223698465364e-05,1.9335054256004092e-05,3.1974985247242585e-05
5,Con Calma,Daddy Yankee,59178,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,2019,1,5w9c2J52mkdntKOmRLeM2m,0.737,0.86,0.6559999999999999,5.463833765465974e-05,4.026845485148423e-05,3.584274950145678e-05,4.698897038300738e-05
6,Wow.,Post Malone,54174,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,2019,1,7xQAfvXzm3AkraOtGPWIZg,0.8290000000000001,0.539,0.38799999999999996,5.001820446962616e-05,4.146509150532009e-05,1.940706333421495e-05,2.6959812209128503e-05
7,Talk,Khalid,53779,https://open.spotify.com/track/0rTV5WefWd1J3OwIheTzxM,2019,1,161DnLWsx1i3u1JT05lzqU,0.523,0.606,0.065,4.965350570701859e-05,2.5968783484770726e-05,3.2274778709562087e-06,3.0090024458453266e-05
8,"Duniyaa (From ""Luka Chuppi"")",Akhil,47549,https://open.spotify.com/track/2tjWCe2W7sgvS3C8NHcdtI,2019,1,2tjWCe2W7sgvS3C8NHcdtI,0.435,0.6579999999999999,0.524,4.390142142589165e-05,1.909711832026287e-05,2.3004344827167226e-05,2.8887135298236705e-05
9,i'm so tired...,Lauv,46823,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,2019,1,4vjpLMyL3ZO6aphdYr8XYw,0.599,0.733,0.534,4.323111433309901e-05,2.5895437485526306e-05,2.3085415053874872e-05,3.168840680616158e-05
10,Don't Call Me Up,Mabel,46267,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,2019,1,5WHTFyqSii0lmT9R21abT8,0.674,0.8809999999999999,0.23399999999999999,4.271776620142861e-05,2.8791774419762884e-05,9.995957291134294e-06,3.76343520234586e-05
11,Dancing With A Stranger (with Normani),Sam Smith,44080,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,2019,1,6Qs4SXO9dwPj5GKvVOv8Ki,0.741,0.52,0.34700000000000003,4.069853533099127e-05,3.015761468026453e-05,1.4122391759853971e-05,2.116323837211546e-05
12,Without Me,Halsey,43764,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,2019,1,7lQ8MOhq6IN2w8EYcFNSUk,0.9079999999999999,0.669,0.662,4.040677632090522e-05,3.668935289938193e-05,2.6749285924439254e-05,2.703213335868559e-05
13,bury a friend,Billie Eilish,41816,https://open.spotify.com/track/4NzMOnvSJVNKF7nw5NkXIP,2019,1,4SSnFejRGlZikf02HLewEF,0.905,0.389,0.196,3.8608211284045625e-05,3.494043121206129e-05,7.567209411672943e-06,1.5018594189493748e-05
14,Apna Time Aayega,Ranveer Singh,41592,https://open.spotify.com/track/5uaIbU3oHHcSOK6WFNK5nj,2019,1,5uaIbU3oHHcSOK6WFNK5nj,0.7659999999999999,0.618,0.513,3.8401394770566904e-05,2.9415468394254246e-05,1.969991551730082e-05,2.3732061968210347e-05
15,BIBA,Marshmello,37911,https://open.spotify.com/track/0GVBPuCT3pBrXCdY3Uiy5B,2019,1,1gt8YXWknKt4sRNZ6SirVW,0.5870000000000001,0.963,0.491,3.500277161826702e-05,2.0546626939922743e-05,1.7186360864569107e-05,3.370766906839114e-05
16,No Sleep (feat. Bonn),Martin Garrix,35855,https://open.spotify.com/track/1ahVFh0ViDZr8LvkEVlq3B,2019,1,1ahVFh0ViDZr8LvkEVlq3B,0.44,0.635,0.327,3.3104491476694466e-05,1.4565976249745566e-05,1.082516871287909e-05,2.1021352087700985e-05
17,Happier,Marshmello,35115,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2019,1,2dpaYNEQHiRxtZbfNsse99,0.687,0.792,0.6709999999999999,3.24212583518094e-05,2.227340448769306e-05,2.1754664354064107e-05,2.5677636614633047e-05
18,Who Do You Love,The Chainsmokers,34325,https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8,2019,1,2fVHrSxsQbJUuj9MW9zG1e,0.51,0.846,0.475,3.169186082659427e-05,1.6162849021563078e-05,1.5053633892632278e-05,2.681131425929875e-05
19,Aankh Marey,Neha Kakkar,32044,https://open.spotify.com/track/2UE5pVmMGjfD5XUQTpYpD6,2019,1,63MvWd6T6yoS7h4AJ4Hjrm,0.7959999999999999,0.978,0.8,2.9585840883536395e-05,2.355032934329497e-05,2.3668672706829116e-05,2.8934952384098595e-05
20,She Move It Like,Badshah,31631,https://open.spotify.com/track/39vrbjCMTRXEdiIr2IsBgd,2019,1,39vrbjCMTRXEdiIr2IsBgd,0.8320000000000001,0.47700000000000004,0.8440000000000001,2.920452293681e-05,2.4298163083425924e-05,2.4648617358667644e-05,1.3930557440858371e-05
21,MIDDLE CHILD,J. Cole,28370,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2019,1,2JvzF1RMd7lE3KmFlsyZD8,0.8370000000000001,0.364,0.46299999999999997,2.619368074728272e-05,2.1924110785475637e-05,1.2127674185991899e-05,9.53449979201091e-06
22,Lamberghini,The Doorbeen,27301,https://open.spotify.com/track/45P9g6kUb7itdonjjGjDdS,2019,1,45P9g6kUb7itdonjjGjDdS,0.953,0.584,0.861,2.520668586822579e-05,2.4021971632419175e-05,2.1702956532542402e-05,1.472070454704386e-05
23,"Coca Cola (From ""Luka Chuppi"")",Tony Kakkar,26603,https://open.spotify.com/track/352wEkChkiClswqwDoM0nj,2019,1,352wEkChkiClswqwDoM0nj,0.722,0.867,0.893,2.4562230839617986e-05,1.7733930666204185e-05,2.193407213977886e-05,2.1295454137948793e-05
24,"thank u, next",Ariana Grande,26570,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,2019,1,3e9HZxeyfWwjeyPAMmWSSQ,0.7170000000000001,0.653,0.41200000000000003,2.4531762335400138e-05,1.7589273594481902e-05,1.0107086082184858e-05,1.601924080501629e-05
25,Sakhiyaan,Maninder Buttar,26505,https://open.spotify.com/track/3sqRODOZ1Z6hR4F2tnFAlg,2019,1,3sqRODOZ1Z6hR4F2tnFAlg,0.706,0.674,0.359,2.4471748614971046e-05,1.7277054522169556e-05,8.785357752774606e-06,1.6493958566490485e-05
26,Eastside (with Halsey & Khalid),benny blanco,24639,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,2019,1,0d2iYfpKoM0QCKvcLCkBao,0.56,0.68,0.319,2.2748893194652765e-05,1.273938018900555e-05,7.256896929094232e-06,1.5469247372363882e-05
27,Azadi,Dub Sharma,24325,https://open.spotify.com/track/07qSl2sNpFNILaYyZ6yIS9,2019,1,07qSl2sNpFNILaYyZ6yIS9,0.846,0.693,0.456,2.2458980760579914e-05,1.9000297723450607e-05,1.0241295226824442e-05,1.556407366708188e-05
28,Proper Patola,Badshah,22947,https://open.spotify.com/track/39ujbBjTwwqUFySaCYDMMT,2019,1,39ujbBjTwwqUFySaCYDMMT,0.77,0.8240000000000001,0.49,2.118668988748314e-05,1.6313751213362018e-05,1.0381478044866737e-05,1.7457832467286107e-05
29,The Humma Song,A.R. Rahman,22781,https://open.spotify.com/track/7heMX7gyHP0mhTlNgd7Lxd,2019,1,7heMX7gyHP0mhTlNgd7Lxd,0.721,0.65,0.391,2.10334240783873e-05,1.5165098760517242e-05,8.224068814649433e-06,1.3671725650951745e-05
30,Bohemian Rhapsody - Remastered 2011,Queen,22739,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,2019,1,7tFiyTwD0nx5a1eklYtX2J,0.392,0.402,0.228,2.099464598211004e-05,8.229901224987136e-06,4.786779283921089e-06,8.439847684808237e-06
31,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,22168,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,2019,1,4w8niZpiMy6qz1mntFA5uM,0.8420000000000001,0.8009999999999999,0.617,2.046744853034062e-05,1.7233591662546806e-05,1.2628415743220163e-05,1.6394426272802835e-05
32,Giant (with Rag'n'Bone Man),Calvin Harris,21674,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,2019,1,5itOtNx0WxtJmi1TQ3RuRd,0.807,0.887,0.606,2.001134425507951e-05,1.6149154813849166e-05,1.2126874618578183e-05,1.7750062354255525e-05
33,Mere Gully Mein,Ranveer Singh,20163,https://open.spotify.com/track/7fKywVasHSlshJQpkN2atd,2019,1,7fKywVasHSlshJQpkN2atd,0.8440000000000001,0.617,0.159,1.861625607710474e-05,1.5712120129076403e-05,2.959984716259654e-06,1.1486229999573625e-05
34,Better Now,Post Malone,20072,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,2019,1,7dt6x5M1jzdTEt8oCbisTK,0.68,0.578,0.341,1.853223686850401e-05,1.2601921070582728e-05,6.319492772159868e-06,1.0711632909995317e-05
35,Enna Sona,A.R. Rahman,19988,https://open.spotify.com/track/6bdpj89aYEBjhpsenXAsmO,2019,1,6bdpj89aYEBjhpsenXAsmO,0.7170000000000001,0.41600000000000004,0.381,1.845468067594949e-05,1.3232006044655786e-05,7.031233337536756e-06,7.677147161194988e-06
36,Asli Hip Hop,Ranveer Singh,19903,https://open.spotify.com/track/4ZIvqmpihn94QyFfGcQtdZ,2019,1,4ZIvqmpihn94QyFfGcQtdZ,0.667,0.6409999999999999,0.963,1.8376201195388368e-05,1.2256926197324042e-05,1.7696281751159e-05,1.1779144966243942e-05
37,"Dilbar (From ""Satyameva Jayate"")",Neha Kakkar,19819,https://open.spotify.com/track/4tjLYTXFqZhkUDga4bQ0yl,2019,1,4tjLYTXFqZhkUDga4bQ0yl,0.725,0.912,0.674,1.8298645002833848e-05,1.326651762705454e-05,1.2333286731910014e-05,1.668836424258447e-05
38,"Morni Banke (From ""Badhaai Ho"")",Guru Randhawa,19576,https://open.spotify.com/track/2Wu9PNpLUCBl3W1GaPqkhl,2019,1,2Wu9PNpLUCBl3W1GaPqkhl,0.816,0.922,0.887,1.80742860172297e-05,1.4748617390059434e-05,1.6031891697282743e-05,1.6664491707885785e-05
39,Girls Like You (feat. Cardi B),Maroon 5,18798,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2019,1,6V1bu6o1Yo5ZXnsCJU8Ovk,0.851,0.541,0.44799999999999995,1.7355967948093784e-05,1.476992872382781e-05,7.775473640746015e-06,9.389578659918738e-06
40,11 Minutes (with Halsey feat. Travis Barker),YUNGBLUD,18715,https://open.spotify.com/track/4mGdjNMo0RonTlOEb7cYg4,2019,1,4mGdjNMo0RonTlOEb7cYg4,0.46399999999999997,0.852,0.233,1.7279335043545864e-05,8.01761146020528e-06,4.026085065146187e-06,1.4721993457101076e-05
41,Thotiana,Blueface,18655,https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G,2019,1,5GBuCHuPKx6UC7VsSPK0t3,0.9059999999999999,0.382,0.391,1.7223937763149778e-05,1.5604887613413696e-05,6.734559665391563e-06,6.579544225523215e-06
42,365,Zedd,18226,https://open.spotify.com/track/2XWjPtKdi5sucFYtVav07d,2019,1,2XWjPtKdi5sucFYtVav07d,0.745,0.693,0.248,1.6827847208317762e-05,1.2536746170196733e-05,4.173306107662805e-06,1.1661698115364209e-05
43,rockstar (feat. 21 Savage),Post Malone,17966,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,2019,1,0e7ipj03S05BNilyu5bRzt,0.585,0.52,0.129,1.658779232660139e-05,9.703858511061812e-06,2.1398252101315794e-06,8.625652009832722e-06
44,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,17843,https://open.spotify.com/track/6yIdwnpDHufLWgQcveTPMk,2019,1,55n9yjI6qqXh5F2mYvUc2y,0.731,0.445,0.106,1.6474227901789412e-05,1.204266059620806e-05,1.7462681575896776e-06,7.331031416296288e-06
45,Pure Water (with Migos),Mustard,17721,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp,2019,1,3j84U36KvLeXNDPv4t5pI8,0.682,0.5589999999999999,0.13699999999999998,1.6361586764984038e-05,1.1158602173719114e-05,2.241537386802813e-06,9.146127001626075e-06
46,I Guess I Just Feel Like,John Mayer,17494,https://open.spotify.com/track/1HNywa8Bk0TmzRwQrzhtPo,2019,1,1HNywa8Bk0TmzRwQrzhtPo,0.556,0.528,0.163,1.6152000387485512e-05,8.980512215441945e-06,2.6327760631601385e-06,8.52825620459235e-06
47,Robbery,Juice WRLD,17078,https://open.spotify.com/track/44ShclXTOOnYtt5CnCDeGV,2019,1,6Hj9jySrnFppAI0sEMCZpJ,0.685,0.6920000000000001,0.578,1.5767912576739314e-05,1.0801020115066431e-05,9.113853469355322e-06,1.0911395503103606e-05
48,"Photo (From ""Luka Chuppi"")",Karan Sehmbi,16794,https://open.spotify.com/track/5wdlz4N7s1Xyr4y4RXhZJM,2019,1,5wdlz4N7s1Xyr4y4RXhZJM,0.7390000000000001,0.644,0.315,1.5505698782864507e-05,1.1458711400536872e-05,4.88429511660232e-06,9.985670016164742e-06
49,Treat You Better,Shawn Mendes,16770,https://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd,2019,1,3QGsuHI8jO1Rx4JWLUh9jd,0.444,0.8190000000000001,0.747,1.548353987070607e-05,6.874691702593495e-06,1.1566204283417435e-05,1.2681019154108273e-05
50,I Like Me Better,Lauv,16762,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2019,1,2P91MQbaiQOfbiz9VqhqKQ,0.752,0.505,0.419,1.547615356665326e-05,1.163806748212325e-05,6.484508344427715e-06,7.815457551159896e-06
51,FAKE LOVE,BTS,16624,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo,2019,1,343YBumqHu19cGoGARUTsd,0.9279999999999999,0.48100000000000004,0.613,1.5348739821742262e-05,1.4243630554576818e-05,9.408777510728007e-06,7.382743854258029e-06
52,Emiway-Samajh Mein Aaya Kya?,Emiway Bantai,16469,https://open.spotify.com/track/7n8xH63Whw5spavIWScPIh,2019,1,7n8xH63Whw5spavIWScPIh,0.784,0.45,0.608,1.5205630180719039e-05,1.1921214061683726e-05,9.245023149877176e-06,6.842533581323567e-06
53,"Dil Beparvah - The Dewarists, Season 5",Ankur Tewari,16418,https://open.spotify.com/track/4kXkT9HF9ZfDjuv3LIKcwJ,2019,1,4kXkT9HF9ZfDjuv3LIKcwJ,0.762,0.391,0.355,1.5158542492382367e-05,1.1550809379195364e-05,5.38128258479574e-06,5.926990114521506e-06
54,Hawayein,Pritam,15936,https://open.spotify.com/track/0l6g8Z8mqGbGXFOjigYetD,2019,1,0l6g8Z8mqGbGXFOjigYetD,0.606,0.601,0.45299999999999996,1.4713517673200474e-05,8.916391709959488e-06,6.665223505959814e-06,8.842824121593484e-06
55,Doori,Ranveer Singh,15577,https://open.spotify.com/track/3L1JZLKvULunqV2qkjBJsp,2019,1,5doYtCoJ8KpfkFczP3F2ad,0.517,0.716,0.594,1.438205727883056e-05,7.435523613155399e-06,8.542942023625352e-06,1.029755301164268e-05
56,Think About You,Kygo,15300,https://open.spotify.com/track/3Kuu5vASpXK8oRsxOvau6P,2019,1,3Kuu5vASpXK8oRsxOvau6P,0.6729999999999999,0.596,0.19,1.4126306501001962e-05,9.50700427517432e-06,2.683998235190373e-06,8.419278674597169e-06
57,a lot,21 Savage,15209,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,2019,1,2t8yVaLvJ0RenpXUIAC52d,0.8370000000000001,0.636,0.27399999999999997,1.404228729240123e-05,1.175339446373983e-05,3.847586718117936e-06,8.930894717967183e-06
58,MIA (feat. Drake),Bad Bunny,15047,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,2019,1,116H0KvKr2Zl4RPuVBruDO,0.8170000000000001,0.539,0.158,1.3892714635331799e-05,1.135034785706608e-05,2.195048912382424e-06,7.48817318844384e-06
59,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",benny blanco,14875,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt,2019,1,1WSGTYKLEpKfNQYYW5Oymt,0.541,0.46799999999999997,0.69,1.3733909098196352e-05,7.430044822124227e-06,9.476397277755483e-06,6.427469457955892e-06
60,High On Life (feat. Bonn),Martin Garrix,14826,https://open.spotify.com/track/4ut5G4rgB1ClpMTMfjoIuy,2019,1,4ut5G4rgB1ClpMTMfjoIuy,0.414,0.486,0.368,1.368866798587288e-05,5.667108546151372e-06,5.03742981880122e-06,6.65269264113422e-06
61,SICKO MODE,Travis Scott,14525,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2019,1,2xLMifQCjDGFmkHkpNLD9h,0.8340000000000001,0.73,0.446,1.341075829588585e-05,1.11845724187688e-05,5.981198199965089e-06,9.78985355599667e-06
62,Akh Lad Jaave,Badshah,14467,https://open.spotify.com/track/5SVpD60u9vjoQ2OeoKsTkb,2019,1,554Jv8PaaIVAwOOpoJ4YCm,0.867,0.705,0.285,1.3357207591502966e-05,1.158069898183307e-05,3.806804163578345e-06,9.41683135200959e-06
63,Dusk Till Dawn - Radio Edit,ZAYN,14385,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv,2019,1,1j4kHkkpqZRBwE0A4CN4Yv,0.258,0.43700000000000006,0.0967,1.3281497974961648e-05,3.4266264775401052e-06,1.2843208541787913e-06,5.804014615058241e-06
64,Tareefan,QARAN,14224,https://open.spotify.com/track/5QyOjKJhR1iyF0DHQM2IvW,2019,1,5QyOjKJhR1iyF0DHQM2IvW,0.8290000000000001,0.654,0.335,1.3132848605898817e-05,1.0887131494290121e-05,4.399504282976104e-06,8.588882988257826e-06
65,Closer,The Chainsmokers,14053,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,2019,1,7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,0.6609999999999999,1.2974966356769971e-05,9.705274834863939e-06,8.57645276182495e-06,6.798882370947465e-06
66,"Dekhte Dekhte (From ""Batti Gul Meter Chalu"")",Atif Aslam,14052,https://open.spotify.com/track/0Iz4CkptElGHo16r797Jsb,2019,1,0Iz4CkptElGHo16r797Jsb,0.799,0.828,0.627,1.297404306876337e-05,1.0366260411941934e-05,8.134725004114634e-06,1.074250766093607e-05
67,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,14003,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW,2019,1,4hQ6UGyWQIGJmHSo0J88JW,0.601,0.7240000000000001,0.508,1.29288019564399e-05,7.77020997582038e-06,6.56783139387147e-06,9.36045261646249e-06
68,Suit Suit,Guru Randhawa,13959,https://open.spotify.com/track/2pAP7p17mLPaMiFSSHDMrp,2019,1,2mwBSO58y92EYmEFpDfmS7,0.767,0.8690000000000001,0.7509999999999999,1.2888177284149437e-05,9.885231976942619e-06,9.679021140396225e-06,1.1199826059925862e-05
69,Blank Space,Taylor Swift,13900,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g,2019,1,1p80LdxRV74UKvL8gnD7ky,0.752,0.6779999999999999,0.583,1.2833703291759952e-05,9.650944875403484e-06,7.4820490190960516e-06,8.701250831813247e-06
71,Lost In Japan,Shawn Mendes,13796,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV,2019,1,79esEXlqqmq0GPz0xQSZTV,0.713,0.738,0.425,1.2737681339073402e-05,9.081966794759336e-06,5.413514569106196e-06,9.40040882823617e-06
72,Wolves,Selena Gomez,13777,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU,2019,1,33gwZOGJWEZ7dRWPqPxBEZ,0.7240000000000001,0.675,0.325,1.2720138866947975e-05,9.209380539670336e-06,4.134045131758092e-06,8.586093735189883e-06
73,Mere Gully Mein (feat. Naezy),DIVINE,13568,https://open.spotify.com/track/4NEdR5Yo8D2KwL7Y9KW7EH,2019,1,4NEdR5Yo8D2KwL7Y9KW7EH,0.7440000000000001,0.813,0.149,1.2527171673568275e-05,9.320215725134798e-06,1.8665485793616729e-06,1.0184590570611007e-05
74,Delicate,Taylor Swift,13473,https://open.spotify.com/track/5sOch9Cf4uxcMtwFzMtNqQ,2019,1,6NFyWDv5CjfwuzoCkw47Xf,0.75,0.40399999999999997,0.0499,1.2439459312941138e-05,9.329594484705854e-06,6.207290197157628e-07,5.025541562428219e-06
75,Laung Gawacha,Ravneet Singh,13407,https://open.spotify.com/track/5ol7uDVpF1pHQitme6AJpm,2019,1,11j7AtNPZNq6BUQhAYrWvC,0.573,0.9,0.415,1.2378522304505445e-05,7.092893280481619e-06,5.13708675636976e-06,1.1140670074054901e-05
76,Channa Mereya,Pritam,13403,https://open.spotify.com/track/0H2iJVgorRR0ZFgRqGUjUM,2019,1,0H2iJVgorRR0ZFgRqGUjUM,0.47600000000000003,0.7879999999999999,0.746,1.2374829152479039e-05,5.890418676580023e-06,9.231622547749363e-06,9.751365372153482e-06
77,Kya Baat Ay,Harrdy Sandhu,13383,https://open.spotify.com/track/1ZaeaGLhFSckG8sv1y7AWk,2019,1,1ZaeaGLhFSckG8sv1y7AWk,0.8490000000000001,0.5920000000000001,0.652,1.235636339234701e-05,1.0490552520102612e-05,8.05634893181025e-06,7.314967128269431e-06
78,Sher Aaya Sher,DIVINE,13271,https://open.spotify.com/track/2qPNdVlqZl1cYqsNc3MXnA,2019,1,2qPNdVlqZl1cYqsNc3MXnA,0.8320000000000001,0.657,0.7559999999999999,1.2252955135607649e-05,1.0194458672825565e-05,9.26323408251938e-06,8.050191524094226e-06
79,In the Name of Love,Martin Garrix,13265,https://open.spotify.com/track/23L5CiUhw2jV1OIMwthR3S,2019,1,23L5CiUhw2jV1OIMwthR3S,0.501,0.519,0.168,1.2247415407568041e-05,6.135955119191588e-06,2.057565788471431e-06,6.356408596527813e-06
80,This Feeling,The Chainsmokers,13123,https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl,2019,1,4NBTZtAt1F13VvlSKe6KTl,0.575,0.5710000000000001,0.449,1.2116308510630637e-05,6.9668773936126155e-06,5.440222521273156e-06,6.918412159570095e-06
81,Peer Pressure (feat. Julia Michaels),James Bay,13095,https://open.spotify.com/track/4JWQC6gyYoPRnxRxk0ta2M,2019,1,2hFFke3WXVA9mV31XNy0dP,0.664,0.45,0.512,1.2090456446445796e-05,8.02806308044001e-06,6.190313700580248e-06,5.440705400900608e-06
82,Waste It On Me (feat. BTS),Steve Aoki,13004,https://open.spotify.com/track/2J0X46UkpfLlWbuCXFgDLr,2019,1,7EGA4D5eRMEgoFZZRUMowW,0.763,0.9359999999999999,0.0359,1.2006437237845066e-05,9.160911612475786e-06,4.310310968386379e-07,1.1238025254622981e-05
