Position,Track Name,Artist,Streams,URL,Year,Month,yyyy-mm,Stream %,Track ID,Danceability,Valence,Energy,Tempo,Danceability_Stream%,Valence_Stream%,Energy_Stream%,Tempo_Stream%
1,Secreto,Anuel AA,2888172,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,2019,1,2019-01,0.028116087175045015,5W83ErFkO3aKAIS1WMi6u0,0.807,0.706,0.803,91.987,0.02268968235026133,0.01984995754558178,0.022577218001561147,2.5863145109708654
2,Baila Baila Baila,Ozuna,2693711,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG,2019,1,2019-01,0.026223027333682928,7mWFF4gPADjTQjC97CgFVt,0.785,0.49,0.572,100.016,0.0205850764569411,0.012849283393504635,0.014999571634866633,2.622722301805632
3,Adan y Eva,Paulo Londra,2448248,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,2019,1,2019-01,0.023833467741578275,6FyRXC8tJUh863JCkyWqtk,0.767,0.72,0.709,171.993,0.018280269757790537,0.017160096773936356,0.016897928628778997,4.099189617277272
4,Calma - Remix,Pedro Capó,2216229,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019,1,2019-01,0.02157478424548913,5iwz1NiezX7WWjnCgY5TH4,0.826,0.761,0.773,126.899,0.01782077178677402,0.016418410810817227,0.016677308221763096,2.737818545968325
5,NI BIEN NI MAL,Bad Bunny,2082242,https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8,2019,1,2019-01,0.02027043319841757,278kSqsZIiYp8p3QjYAqa8,0.826,0.337,0.449,128.028,0.01674337782189291,0.006831135987866722,0.00910142450608949,2.5951830215270046
6,Amanece,Anuel AA,1790819,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,2019,1,2019-01,0.017433457259029908,1LiN0Z98FkR1t0m8KmLcAH,0.79,0.889,0.631,94.039,0.013772431234633628,0.01549834350327759,0.011000511530447872,1.6394248871819135
7,Adictiva,Daddy Yankee,1762584,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,2019,1,2019-01,0.017158592146637924,0z24gh2KYWSfahslybQC4O,0.787,0.701,0.771,99.036,0.013503812019404047,0.012028173094793183,0.01322927454505784,1.6993183318344336
8,MALA,6ix9ine,1589371,https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE,2019,1,2019-01,0.015472379619180741,70uX4beGHc1nQikXveOknp,0.823,0.582,0.772,96.001,0.012733768426585749,0.00900492493836319,0.011944677066007532,1.4853639158209704
9,Mujer Bruja,Lola Indigo,1484372,https://open.spotify.com/track/4R8TsvDoKSSDVERlaphNBA,2019,1,2019-01,0.014450224069825454,4R8TsvDoKSSDVERlaphNBA,0.773,0.763,0.917,105.966,0.011170023205975077,0.01102552096527682,0.013250855472029942,1.531232443783124
10,Ella Quiere Beber - Remix,Anuel AA,1465922,https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2019,1,2019-01,0.014270615027019285,3f5lA8nnc4YYF1qf78WpHw,0.75,0.697,0.665,95.239,0.010702961270264464,0.00994661867383244,0.009489958992967824,1.3591191045582898
